Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCGWH1301,0,470,1920.0,107 Greenwich,1301,,,,,,,,
NYCGWH1301,1,405,1920.0,107 Greenwich,1301,,,,,,,,
NYCGWH1301,2,405,2125.0,107 Greenwich,1301,,,,,,,,
NYCGWH1301,3,600,2125.0,107 Greenwich,1301,,,,,,,,
NYCGWH1301,4,600,1970.0,107 Greenwich,1301,,,,,,,,
NYCGWH1301,5,470,1970.0,107 Greenwich,1301,,,,,,,,
NYCGWH1302,0,760,2345.0,107 Greenwich,1302,,,,,,,,
NYCGWH1302,1,760,2200.0,107 Greenwich,1302,,,,,,,,
NYCGWH1302,2,550,2200.0,107 Greenwich,1302,,,,,,,,
NYCGWH1302,3,550,2345.0,107 Greenwich,1302,,,,,,,,
NYCGWH1303,0,405,2125.0,107 Greenwich,1303,,,,,,,,
NYCGWH1303,1,405,2090.0,107 Greenwich,1303,,,,,,,,
NYCGWH1303,2,370,2090.0,107 Greenwich,1303,,,,,,,,
NYCGWH1303,3,325,2370.0,107 Greenwich,1303,,,,,,,,
NYCGWH1303,4,475,2370.0,107 Greenwich,1303,,,,,,,,
NYCGWH1303,5,475,2125.0,107 Greenwich,1303,,,,,,,,
NYCGWH1304,0,550,2345.0,107 Greenwich,1304,,,,,,,,
NYCGWH1304,1,550,2535.0,107 Greenwich,1304,,,,,,,,
NYCGWH1304,2,850,2535.0,107 Greenwich,1304,,,,,,,,
NYCGWH1304,3,850,2345.0,107 Greenwich,1304,,,,,,,,
NYCGWH1305,0,325,2370.0,107 Greenwich,1305,,,,,,,,
NYCGWH1305,1,295,2555.0,107 Greenwich,1305,,,,,,,,
NYCGWH1305,2,475,2555.0,107 Greenwich,1305,,,,,,,,
NYCGWH1305,3,475,2370.0,107 Greenwich,1305,,,,,,,,
NYCGWH1306,0,550,2535.0,107 Greenwich,1306,,,,,,,,
NYCGWH1306,1,550,2720.0,107 Greenwich,1306,,,,,,,,
NYCGWH1306,2,850,2720.0,107 Greenwich,1306,,,,,,,,
NYCGWH1306,3,850,2535.0,107 Greenwich,1306,,,,,,,,
NYCGWH1307,0,295,2555.0,107 Greenwich,1307,,,,,,,,
NYCGWH1307,1,260,2810.0,107 Greenwich,1307,,,,,,,,
NYCGWH1307,2,475,2810.0,107 Greenwich,1307,,,,,,,,
NYCGWH1307,3,475,2555.0,107 Greenwich,1307,,,,,,,,
NYCGWH1308,0,550,2720.0,107 Greenwich,1308,,,,,,,,
NYCGWH1308,1,550,2830.0,107 Greenwich,1308,,,,,,,,
NYCGWH1308,2,725,2830.0,107 Greenwich,1308,,,,,,,,
NYCGWH1308,3,725,2720.0,107 Greenwich,1308,,,,,,,,
NYCGWH1309,0,260,2810.0,107 Greenwich,1309,,,,,,,,
NYCGWH1309,1,195,3260.0,107 Greenwich,1309,,,,,,,,
NYCGWH1309,2,440,3260.0,107 Greenwich,1309,,,,,,,,
NYCGWH1309,3,445,3020.0,107 Greenwich,1309,,,,,,,,
NYCGWH1309,4,475,3020.0,107 Greenwich,1309,,,,,,,,
NYCGWH1309,5,475,2810.0,107 Greenwich,1309,,,,,,,,
NYCGWH1310,0,550,2830.0,107 Greenwich,1310,,,,,,,,
NYCGWH1310,1,550,2945.0,107 Greenwich,1310,,,,,,,,
NYCGWH1310,2,725,2945.0,107 Greenwich,1310,,,,,,,,
NYCGWH1310,3,725,2830.0,107 Greenwich,1310,,,,,,,,
NYCGWH1311,0,440,3260.0,107 Greenwich,1311,,,,,,,,
NYCGWH1311,1,705,3260.0,107 Greenwich,1311,,,,,,,,
NYCGWH1311,2,705,3020.0,107 Greenwich,1311,,,,,,,,
NYCGWH1311,3,445,3020.0,107 Greenwich,1311,,,,,,,,
NYCGWH1312,0,725,2945.0,107 Greenwich,1312,,,,,,,,
NYCGWH1312,1,900,2945.0,107 Greenwich,1312,,,,,,,,
NYCGWH1312,2,900,2720.0,107 Greenwich,1312,,,,,,,,
NYCGWH1312,3,725,2720.0,107 Greenwich,1312,,,,,,,,
NYCGWH1313,0,705,3260.0,107 Greenwich,1313,,,,,,,,
NYCGWH1313,1,980,3260.0,107 Greenwich,1313,,,,,,,,
NYCGWH1313,2,980,3020.0,107 Greenwich,1313,,,,,,,,
NYCGWH1313,3,705,3020.0,107 Greenwich,1313,,,,,,,,
NYCGWH1314,0,980,3260.0,107 Greenwich,1314,,,,,,,,
NYCGWH1314,1,"1,185",3260.0,107 Greenwich,1314,,,,,,,,
NYCGWH1314,2,"1,185",2935.0,107 Greenwich,1314,,,,,,,,
NYCGWH1314,3,980,2935.0,107 Greenwich,1314,,,,,,,,
NYCGWH1315,0,"1,185",3260.0,107 Greenwich,1315,,,,,,,,
NYCGWH1315,1,"1,700",3255.0,107 Greenwich,1315,,,,,,,,
NYCGWH1315,2,"1,700",2940.0,107 Greenwich,1315,,,,,,,,
NYCGWH1315,3,"1,680",2940.0,107 Greenwich,1315,,,,,,,,
NYCGWH1315,4,"1,680",2725.0,107 Greenwich,1315,,,,,,,,
NYCGWH1315,5,"1,185",2725.0,107 Greenwich,1315,,,,,,,,
NYCGWH1316,0,"1,700",3255.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,1,"2,170",3250.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,2,"2,170",3155.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,3,"2,235",3155.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,4,"2,235",3065.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,5,"2,290",3065.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,6,"2,290",2975.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,7,"2,345",2975.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,8,"2,345",2720.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,9,"1,680",2725.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,10,"1,680",2940.0,107 Greenwich,1316,,,,,,,,
NYCGWH1316,11,"1,700",2940.0,107 Greenwich,1316,,,,,,,,
NYCGWH1317,0,"2,345",2720.0,107 Greenwich,1317,,,,,,,,
NYCGWH1317,1,"2,345",2355.0,107 Greenwich,1317,,,,,,,,
NYCGWH1317,2,"2,110",2355.0,107 Greenwich,1317,,,,,,,,
NYCGWH1317,3,"2,110",2720.0,107 Greenwich,1317,,,,,,,,
NYCGWH1318,0,"2,035",2345.0,107 Greenwich,1318,,,,,,,,
NYCGWH1318,1,"1,690",2345.0,107 Greenwich,1318,,,,,,,,
NYCGWH1318,2,"1,690",2645.0,107 Greenwich,1318,,,,,,,,
NYCGWH1318,3,"2,035",2645.0,107 Greenwich,1318,,,,,,,,
NYCGWH1319,0,"2,345",2355.0,107 Greenwich,1319,,,,,,,,
NYCGWH1319,1,"2,350",1930.0,107 Greenwich,1319,,,,,,,,
NYCGWH1319,2,"2,315",1930.0,107 Greenwich,1319,,,,,,,,
NYCGWH1319,3,"2,315",1850.0,107 Greenwich,1319,,,,,,,,
NYCGWH1319,4,"2,110",1835.0,107 Greenwich,1319,,,,,,,,
NYCGWH1319,5,"2,110",2355.0,107 Greenwich,1319,,,,,,,,
NYCGWH1401,0,470,1150.0,107 Greenwich,1401,,,,,,,,
NYCGWH1401,1,470,875.0,107 Greenwich,1401,,,,,,,,
NYCGWH1401,2,310,875.0,107 Greenwich,1401,,,,,,,,
NYCGWH1401,3,265,1150.0,107 Greenwich,1401,,,,,,,,
NYCGWH1402,0,265,1150.0,107 Greenwich,1402,,,,,,,,
NYCGWH1402,1,200,1590.0,107 Greenwich,1402,,,,,,,,
NYCGWH1402,2,445,1590.0,107 Greenwich,1402,,,,,,,,
NYCGWH1402,3,445,1350.0,107 Greenwich,1402,,,,,,,,
NYCGWH1402,4,470,1350.0,107 Greenwich,1402,,,,,,,,
NYCGWH1402,5,470,1150.0,107 Greenwich,1402,,,,,,,,
NYCGWH1403,0,445,1590.0,107 Greenwich,1403,,,,,,,,
NYCGWH1403,1,705,1590.0,107 Greenwich,1403,,,,,,,,
NYCGWH1403,2,705,1350.0,107 Greenwich,1403,,,,,,,,
NYCGWH1403,3,445,1350.0,107 Greenwich,1403,,,,,,,,
NYCGWH1404,0,895,1275.0,107 Greenwich,1404,,,,,,,,
NYCGWH1404,1,895,1025.0,107 Greenwich,1404,,,,,,,,
NYCGWH1404,2,765,1025.0,107 Greenwich,1404,,,,,,,,
NYCGWH1404,3,765,1275.0,107 Greenwich,1404,,,,,,,,
NYCGWH1405,0,895,1275.0,107 Greenwich,1405,,,,,,,,
NYCGWH1405,1,"1,015",1275.0,107 Greenwich,1405,,,,,,,,
NYCGWH1405,2,"1,015",1025.0,107 Greenwich,1405,,,,,,,,
NYCGWH1405,3,895,1025.0,107 Greenwich,1405,,,,,,,,
NYCGWH1406,0,705,1590.0,107 Greenwich,1406,,,,,,,,
NYCGWH1406,1,990,1590.0,107 Greenwich,1406,,,,,,,,
NYCGWH1406,2,990,1350.0,107 Greenwich,1406,,,,,,,,
NYCGWH1406,3,705,1350.0,107 Greenwich,1406,,,,,,,,
NYCGWH1407,0,"1,015",1275.0,107 Greenwich,1407,,,,,,,,
NYCGWH1407,1,"1,140",1275.0,107 Greenwich,1407,,,,,,,,
NYCGWH1407,2,"1,140",1025.0,107 Greenwich,1407,,,,,,,,
NYCGWH1407,3,"1,015",1025.0,107 Greenwich,1407,,,,,,,,
NYCGWH1408,0,990,1590.0,107 Greenwich,1408,,,,,,,,
NYCGWH1408,1,"1,180",1590.0,107 Greenwich,1408,,,,,,,,
NYCGWH1408,2,"1,180",1350.0,107 Greenwich,1408,,,,,,,,
NYCGWH1408,3,990,1350.0,107 Greenwich,1408,,,,,,,,
NYCGWH1409,0,"1,140",1275.0,107 Greenwich,1409,,,,,,,,
NYCGWH1409,1,"1,265",1275.0,107 Greenwich,1409,,,,,,,,
NYCGWH1409,2,"1,265",1025.0,107 Greenwich,1409,,,,,,,,
NYCGWH1409,3,"1,140",1025.0,107 Greenwich,1409,,,,,,,,
NYCGWH1410,0,"1,180",1590.0,107 Greenwich,1410,,,,,,,,
NYCGWH1410,1,"1,335",1590.0,107 Greenwich,1410,,,,,,,,
NYCGWH1410,2,"1,335",1350.0,107 Greenwich,1410,,,,,,,,
NYCGWH1410,3,"1,180",1350.0,107 Greenwich,1410,,,,,,,,
NYCGWH1411,0,"1,265",1275.0,107 Greenwich,1411,,,,,,,,
NYCGWH1411,1,"1,390",1275.0,107 Greenwich,1411,,,,,,,,
NYCGWH1411,2,"1,390",1025.0,107 Greenwich,1411,,,,,,,,
NYCGWH1411,3,"1,265",1025.0,107 Greenwich,1411,,,,,,,,
NYCGWH1412,0,"1,390",1275.0,107 Greenwich,1412,,,,,,,,
NYCGWH1412,1,"1,545",1275.0,107 Greenwich,1412,,,,,,,,
NYCGWH1412,2,"1,545",1060.0,107 Greenwich,1412,,,,,,,,
NYCGWH1412,3,"1,390",1060.0,107 Greenwich,1412,,,,,,,,
NYCGWH1413,0,"1,335",1590.0,107 Greenwich,1413,,,,,,,,
NYCGWH1413,1,"1,525",1590.0,107 Greenwich,1413,,,,,,,,
NYCGWH1413,2,"1,525",1350.0,107 Greenwich,1413,,,,,,,,
NYCGWH1413,3,"1,335",1350.0,107 Greenwich,1413,,,,,,,,
NYCGWH1414,0,"1,525",1590.0,107 Greenwich,1414,,,,,,,,
NYCGWH1414,1,"1,670",1590.0,107 Greenwich,1414,,,,,,,,
NYCGWH1414,2,"1,670",1350.0,107 Greenwich,1414,,,,,,,,
NYCGWH1414,3,"1,525",1350.0,107 Greenwich,1414,,,,,,,,
NYCGWH1415,0,"1,545",1275.0,107 Greenwich,1415,,,,,,,,
NYCGWH1415,1,"1,700",1275.0,107 Greenwich,1415,,,,,,,,
NYCGWH1415,2,"1,700",1060.0,107 Greenwich,1415,,,,,,,,
NYCGWH1415,3,"1,545",1060.0,107 Greenwich,1415,,,,,,,,
NYCGWH1416,0,"1,670",1590.0,107 Greenwich,1416,,,,,,,,
NYCGWH1416,1,"1,865",1590.0,107 Greenwich,1416,,,,,,,,
NYCGWH1416,2,"1,865",1350.0,107 Greenwich,1416,,,,,,,,
NYCGWH1416,3,"1,670",1350.0,107 Greenwich,1416,,,,,,,,
NYCGWH1417,0,"1,700",1275.0,107 Greenwich,1417,,,,,,,,
NYCGWH1417,1,"1,860",1275.0,107 Greenwich,1417,,,,,,,,
NYCGWH1417,2,"1,860",1060.0,107 Greenwich,1417,,,,,,,,
NYCGWH1417,3,"1,700",1060.0,107 Greenwich,1417,,,,,,,,
NYCGWH1418,0,"1,865",1590.0,107 Greenwich,1418,,,,,,,,
NYCGWH1418,1,"2,170",1590.0,107 Greenwich,1418,,,,,,,,
