Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYC251W301,0,891.5,1747.0,251 W 30th,,,,,,,,,
NYC251W301,1,891.5,1714.0,251 W 30th,,,,,,,,,
NYC251W301,2,912.5,1714.0,251 W 30th,,,,,,,,,
NYC251W301,3,912.5,1488.0,251 W 30th,,,,,,,,,
NYC251W301,4,1131.5,1488.0,251 W 30th,,,,,,,,,
NYC251W301,5,1131.5,1748.0,251 W 30th,,,,,,,,,
NYC251W302,0,911.5,1553.0,251 W 30th,,,,,,,,,
NYC251W302,1,802.5,1553.0,251 W 30th,,,,,,,,,
NYC251W302,2,802.5,1620.0,251 W 30th,,,,,,,,,
NYC251W302,3,812.5,1634.0,251 W 30th,,,,,,,,,
NYC251W302,4,830.5,1640.0,251 W 30th,,,,,,,,,
NYC251W302,5,912.5,1640.0,251 W 30th,,,,,,,,,
NYC251W303,0,802.5,1553.0,251 W 30th,,,,,,,,,
NYC251W303,1,802.5,1467.0,251 W 30th,,,,,,,,,
NYC251W303,2,911.5,1467.0,251 W 30th,,,,,,,,,
NYC251W303,3,911.5,1553.0,251 W 30th,,,,,,,,,
NYC251W304,0,802.5,1467.0,251 W 30th,,,,,,,,,
NYC251W304,1,802.5,1402.0,251 W 30th,,,,,,,,,
NYC251W304,2,809.5,1387.0,251 W 30th,,,,,,,,,
NYC251W304,3,826.5,1380.0,251 W 30th,,,,,,,,,
NYC251W304,4,911.5,1380.0,251 W 30th,,,,,,,,,
NYC251W304,5,911.5,1467.0,251 W 30th,,,,,,,,,
NYC251W305,0,912.5,1488.0,251 W 30th,,,,,,,,,
NYC251W305,1,912.5,1290.0,251 W 30th,,,,,,,,,
NYC251W305,2,1132.5,1290.0,251 W 30th,,,,,,,,,
NYC251W305,3,1131.5,1488.0,251 W 30th,,,,,,,,,
NYC251W306,0,912.5,1290.0,251 W 30th,,,,,,,,,
NYC251W306,1,912.5,1096.0,251 W 30th,,,,,,,,,
NYC251W306,2,1132.5,1097.0,251 W 30th,,,,,,,,,
NYC251W306,3,1132.5,1290.0,251 W 30th,,,,,,,,,
NYC251W307,0,912.5,1096.0,251 W 30th,,,,,,,,,
NYC251W307,1,801.5,1096.0,251 W 30th,,,,,,,,,
NYC251W307,2,801.5,1013.0,251 W 30th,,,,,,,,,
NYC251W307,3,811.5,997.0,251 W 30th,,,,,,,,,
NYC251W307,4,829.5,992.0,251 W 30th,,,,,,,,,
NYC251W307,5,911.5,992.0,251 W 30th,,,,,,,,,
NYC251W308,0,912.5,1096.0,251 W 30th,,,,,,,,,
NYC251W308,1,912.5,836.0,251 W 30th,,,,,,,,,
NYC251W308,2,1131.5,836.0,251 W 30th,,,,,,,,,
NYC251W308,3,1132.5,1097.0,251 W 30th,,,,,,,,,
NYC251W309,0,912.5,836.0,251 W 30th,,,,,,,,,
NYC251W309,1,817.5,836.0,251 W 30th,,,,,,,,,
NYC251W309,2,817.5,924.0,251 W 30th,,,,,,,,,
NYC251W309,3,912.5,924.0,251 W 30th,,,,,,,,,
NYC251W310,0,817.5,924.0,251 W 30th,,,,,,,,,
NYC251W310,1,666.5,924.0,251 W 30th,,,,,,,,,
NYC251W310,2,666.5,835.0,251 W 30th,,,,,,,,,
NYC251W310,3,817.5,836.0,251 W 30th,,,,,,,,,
NYC251W311,0,666.5,924.0,251 W 30th,,,,,,,,,
NYC251W311,1,448.5,924.0,251 W 30th,,,,,,,,,
NYC251W311,2,448.5,835.0,251 W 30th,,,,,,,,,
NYC251W311,3,666.5,835.0,251 W 30th,,,,,,,,,
NYC251W312,0,448.5,924.0,251 W 30th,,,,,,,,,
NYC251W312,1,352.5,924.0,251 W 30th,,,,,,,,,
NYC251W312,2,352.5,833.0,251 W 30th,,,,,,,,,
NYC251W312,3,448.5,835.0,251 W 30th,,,,,,,,,
NYC251W313,0,352.5,833.0,251 W 30th,,,,,,,,,
NYC251W313,1,90.5,833.0,251 W 30th,,,,,,,,,
NYC251W313,2,90.5,1012.0,251 W 30th,,,,,,,,,
NYC251W313,3,352.5,1012.0,251 W 30th,,,,,,,,,
NYC251W314,0,269.5,1267.0,251 W 30th,,,,,,,,,
NYC251W314,1,353.5,1267.0,251 W 30th,,,,,,,,,
NYC251W314,2,353.5,1163.0,251 W 30th,,,,,,,,,
NYC251W314,3,269.5,1163.0,251 W 30th,,,,,,,,,
NYC251W315,0,353.5,1267.0,251 W 30th,,,,,,,,,
NYC251W315,1,353.5,1348.0,251 W 30th,,,,,,,,,
NYC251W315,2,348.5,1362.0,251 W 30th,,,,,,,,,
NYC251W315,3,331.5,1370.0,251 W 30th,,,,,,,,,
NYC251W315,4,269.5,1370.0,251 W 30th,,,,,,,,,
NYC251W315,5,269.5,1267.0,251 W 30th,,,,,,,,,
NYC251W316,0,269.5,1163.0,251 W 30th,,,,,,,,,
NYC251W316,1,89.5,1163.0,251 W 30th,,,,,,,,,
NYC251W316,2,89.5,1398.0,251 W 30th,,,,,,,,,
NYC251W316,3,207.5,1398.0,251 W 30th,,,,,,,,,
