Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCMAD901,0,2453.5,2084.0,261 Madison Ave,102 E,,,,,,,,
NYCMAD901,1,2453.5,2193.0,261 Madison Ave,102 E,,,,,,,,
NYCMAD901,2,2366.5,2193.0,261 Madison Ave,102 F,,,,,,,,
NYCMAD901,3,2366.5,2083.0,261 Madison Ave,102 F,,,,,,,,
NYCMAD901,4,2453.5,2084.0,261 Madison Ave,102 F,,,,,,,,
NYCMAD902,0,2453.5,2193.0,261 Madison Ave,102 F,,,,,,,,
NYCMAD902,1,2520.5,2193.0,261 Madison Ave,201,,,,,,,,
NYCMAD902,2,2520.5,2085.0,261 Madison Ave,201,,,,,,,,
NYCMAD902,3,2453.5,2084.0,261 Madison Ave,201,,,,,,,,
NYCMAD902,4,2453.5,2193.0,261 Madison Ave,201,,,,,,,,
NYCMAD903,0,2520.5,2085.0,261 Madison Ave,202,,,,,,,,
NYCMAD903,1,2520.5,1996.0,261 Madison Ave,202,,,,,,,,
NYCMAD903,2,2367.5,1996.0,261 Madison Ave,202,,,,,,,,
NYCMAD903,3,2366.5,2083.0,261 Madison Ave,202,,,,,,,,
NYCMAD903,4,2520.5,2085.0,261 Madison Ave,203,,,,,,,,
NYCMAD904,0,2518.5,1880.0,261 Madison Ave,203,,,,,,,,
NYCMAD904,1,2386.5,1880.0,261 Madison Ave,203,,,,,,,,
NYCMAD904,2,2386.5,1748.0,261 Madison Ave,203,,,,,,,,
NYCMAD904,3,2518.5,1748.0,261 Madison Ave,204,,,,,,,,
NYCMAD904,4,2518.5,1880.0,261 Madison Ave,204,,,,,,,,
NYCMAD905,0,2518.5,1748.0,261 Madison Ave,204,,,,,,,,
NYCMAD905,1,2518.5,1648.0,261 Madison Ave,204,,,,,,,,
NYCMAD905,2,2337.5,1648.0,261 Madison Ave,204,,,,,,,,
NYCMAD905,3,2337.5,1748.0,261 Madison Ave,204,,,,,,,,
