Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ARLCLA003,0,3266,562.0,3100 Clarendon,,,,,,,,,
ARLCLA003,1,3220.5,441.5,3100 Clarendon,,,,,,,,,
ARLCLA003,2,3317.5,406.5,3100 Clarendon,,,,,,,,,
ARLCLA003,3,3362.5,526.5,3100 Clarendon,,,,,,,,,
ARLCLA004,0,3266,562.0,3100 Clarendon,,,,,,,,,
ARLCLA004,1,3166.5,601.5,3100 Clarendon,,,,,,,,,
ARLCLA004,2,3121.5,479.5,3100 Clarendon,,,,,,,,,
ARLCLA004,3,3220.5,441.5,3100 Clarendon,,,,,,,,,
ARLCLA005,0,3166.5,601.5,3100 Clarendon,,,,,,,,,
ARLCLA005,1,3078,635.5,3100 Clarendon,,,,,,,,,
ARLCLA005,2,3034,509.5,3100 Clarendon,,,,,,,,,
ARLCLA005,3,3121.5,479.5,3100 Clarendon,,,,,,,,,
ARLCLA006,0,3078,635.5,3100 Clarendon,,,,,,,,,
ARLCLA006,1,2983,668.5,3100 Clarendon,,,,,,,,,
ARLCLA006,2,2942,545.5,3100 Clarendon,,,,,,,,,
ARLCLA006,3,3034,509.5,3100 Clarendon,,,,,,,,,
ARLCLA007,0,2884,696.5,3100 Clarendon,,,,,,,,,
ARLCLA007,1,2981,662.5,3100 Clarendon,,,,,,,,,
ARLCLA007,2,2942,545.5,3100 Clarendon,,,,,,,,,
ARLCLA007,3,2844,577.5,3100 Clarendon,,,,,,,,,
ARLCLA008,0,2884,696.5,3100 Clarendon,,,,,,,,,
ARLCLA008,1,2793.5,726.0,3100 Clarendon,,,,,,,,,
ARLCLA008,2,2755.5,607.0,3100 Clarendon,,,,,,,,,
ARLCLA008,3,2844,577.5,3100 Clarendon,,,,,,,,,
ARLCLA009,0,2793.5,726.0,3100 Clarendon,,,,,,,,,
ARLCLA009,1,2703.5,756.0,3100 Clarendon,,,,,,,,,
ARLCLA009,2,2665.5,635.0,3100 Clarendon,,,,,,,,,
ARLCLA009,3,2755.5,607.0,3100 Clarendon,,,,,,,,,
