Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCPAS1801,0,"1,875",2420.0,386 Park Ave S,1801,,,,,,,,
NYCPAS1801,1,"2,005",2420.0,386 Park Ave S,1801,,,,,,,,
NYCPAS1801,2,"2,005",2285.0,386 Park Ave S,1801,,,,,,,,
NYCPAS1801,3,"1,910",2285.0,386 Park Ave S,1801,,,,,,,,
NYCPAS1801,4,"1,910",2375.0,386 Park Ave S,1801,,,,,,,,
NYCPAS1801,5,"1,875",2375.0,386 Park Ave S,1801,,,,,,,,
NYCPAS1802,0,"2,005",2420.0,386 Park Ave S,1802,,,,,,,,
NYCPAS1802,1,"2,130",2420.0,386 Park Ave S,1802,,,,,,,,
NYCPAS1802,2,"2,130",2285.0,386 Park Ave S,1802,,,,,,,,
NYCPAS1802,3,"2,005",2285.0,386 Park Ave S,1802,,,,,,,,
NYCPAS1803,0,"2,130",2420.0,386 Park Ave S,1803,,,,,,,,
NYCPAS1803,1,"2,365",2420.0,386 Park Ave S,1803,,,,,,,,
NYCPAS1803,2,"2,365",2245.0,386 Park Ave S,1803,,,,,,,,
NYCPAS1803,3,"2,200",2245.0,386 Park Ave S,1803,,,,,,,,
NYCPAS1803,4,"2,200",2285.0,386 Park Ave S,1803,,,,,,,,
NYCPAS1803,5,"2,130",2285.0,386 Park Ave S,1803,,,,,,,,
NYCPAS1804,0,"2,200",2245.0,386 Park Ave S,1804,,,,,,,,
NYCPAS1804,1,"2,365",2245.0,386 Park Ave S,1804,,,,,,,,
NYCPAS1804,2,"2,365",2115.0,386 Park Ave S,1804,,,,,,,,
NYCPAS1804,3,"2,200",2115.0,386 Park Ave S,1804,,,,,,,,
NYCPAS1805,0,"2,200",2115.0,386 Park Ave S,1805,,,,,,,,
NYCPAS1805,1,"2,365",2115.0,386 Park Ave S,1805,,,,,,,,
NYCPAS1805,2,"2,365",1985.0,386 Park Ave S,1805,,,,,,,,
NYCPAS1805,3,"2,200",1985.0,386 Park Ave S,1805,,,,,,,,
NYCPAS1806,0,"2,200",1985.0,386 Park Ave S,1806,,,,,,,,
NYCPAS1806,1,"2,365",1985.0,386 Park Ave S,1806,,,,,,,,
NYCPAS1806,2,"2,365",1805.0,386 Park Ave S,1806,,,,,,,,
NYCPAS1806,3,"2,200",1805.0,386 Park Ave S,1806,,,,,,,,
NYCPAS1807,0,640,1950.0,386 Park Ave S,1807,,,,,,,,
NYCPAS1807,1,805,1950.0,386 Park Ave S,1807,,,,,,,,
NYCPAS1807,2,810,1805.0,386 Park Ave S,1807,,,,,,,,
NYCPAS1807,3,640,1805.0,386 Park Ave S,1807,,,,,,,,
NYCPAS1808,0,475,1950.0,386 Park Ave S,1808,,,,,,,,
NYCPAS1808,1,640,1950.0,386 Park Ave S,1808,,,,,,,,
NYCPAS1808,2,640,1805.0,386 Park Ave S,1808,,,,,,,,
NYCPAS1808,3,475,1805.0,386 Park Ave S,1808,,,,,,,,
NYCPAS1809,0,455,2190.0,386 Park Ave S,1809,,,,,,,,
NYCPAS1809,1,610,2190.0,386 Park Ave S,1809,,,,,,,,
