Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCCOL1601,0,"1,365",60.0,5 Columbus Circle,1601,,,,,,,,
NYCCOL1601,1,"1,065",60.0,5 Columbus Circle,1601,,,,,,,,
NYCCOL1601,2,905,460.0,5 Columbus Circle,1601,,,,,,,,
NYCCOL1601,3,"1,190",570.0,5 Columbus Circle,1601,,,,,,,,
NYCCOL1602,0,905,460.0,5 Columbus Circle,1602,,,,,,,,
NYCCOL1602,1,800,720.0,5 Columbus Circle,1602,,,,,,,,
NYCCOL1602,2,"1,165",870.0,5 Columbus Circle,1602,,,,,,,,
NYCCOL1602,3,"1,270",600.0,5 Columbus Circle,1602,,,,,,,,
NYCCOL1603,0,800,720.0,5 Columbus Circle,1603,,,,,,,,
NYCCOL1603,1,690,990.0,5 Columbus Circle,1603,,,,,,,,
NYCCOL1603,2,"1,050",1135.0,5 Columbus Circle,1603,,,,,,,,
NYCCOL1603,3,"1,165",870.0,5 Columbus Circle,1603,,,,,,,,
NYCCOL1604,0,690,990.0,5 Columbus Circle,1604,,,,,,,,
NYCCOL1604,1,595,1225.0,5 Columbus Circle,1604,,,,,,,,
NYCCOL1604,2,960,1375.0,5 Columbus Circle,1604,,,,,,,,
NYCCOL1604,3,"1,050",1135.0,5 Columbus Circle,1604,,,,,,,,
NYCCOL1605,0,595,1225.0,5 Columbus Circle,1605,,,,,,,,
NYCCOL1605,1,500,1460.0,5 Columbus Circle,1605,,,,,,,,
NYCCOL1605,2,860,1610.0,5 Columbus Circle,1605,,,,,,,,
NYCCOL1605,3,960,1375.0,5 Columbus Circle,1605,,,,,,,,
NYCCOL1606,0,500,1460.0,5 Columbus Circle,1606,,,,,,,,
NYCCOL1606,1,410,1685.0,5 Columbus Circle,1606,,,,,,,,
NYCCOL1606,2,775,1835.0,5 Columbus Circle,1606,,,,,,,,
NYCCOL1606,3,860,1610.0,5 Columbus Circle,1606,,,,,,,,
NYCCOL1607,0,410,1685.0,5 Columbus Circle,1607,,,,,,,,
NYCCOL1607,1,255,2065.0,5 Columbus Circle,1607,,,,,,,,
NYCCOL1607,2,680,2065.0,5 Columbus Circle,1607,,,,,,,,
NYCCOL1607,3,775,1835.0,5 Columbus Circle,1607,,,,,,,,
