Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYC5MAD2301,0,35,2705.0,540 Madison,2301,,,,,,,,
NYC5MAD2301,1,415,2705.0,540 Madison,2301,,,,,,,,
NYC5MAD2301,2,415,2430.0,540 Madison,2301,,,,,,,,
NYC5MAD2301,3,35,2430.0,540 Madison,2301,,,,,,,,
NYC5MAD2302,0,35,2705.0,540 Madison,2302,,,,,,,,
NYC5MAD2302,1,35,3285.0,540 Madison,2302,,,,,,,,
NYC5MAD2302,2,415,3285.0,540 Madison,2302,,,,,,,,
NYC5MAD2302,3,415,2705.0,540 Madison,2302,,,,,,,,
NYC5MAD2303,0,415,3285.0,540 Madison,2303,,,,,,,,
NYC5MAD2303,1,"2,505",3285.0,540 Madison,2303,,,,,,,,
NYC5MAD2303,2,"2,505",2805.0,540 Madison,2303,,,,,,,,
NYC5MAD2303,3,"1,910",2805.0,540 Madison,2303,,,,,,,,
NYC5MAD2303,4,"1,910",2705.0,540 Madison,2303,,,,,,,,
NYC5MAD2303,5,"1,610",2705.0,540 Madison,2303,,,,,,,,
NYC5MAD2303,6,"1,610",2805.0,540 Madison,2303,,,,,,,,
NYC5MAD2303,7,415,2805.0,540 Madison,2303,,,,,,,,
NYC5MAD2304,0,"2,505",2805.0,540 Madison,2304,,,,,,,,
NYC5MAD2304,1,"2,505",2670.0,540 Madison,2304,,,,,,,,
NYC5MAD2304,2,"2,435",2670.0,540 Madison,2304,,,,,,,,
NYC5MAD2304,3,"2,435",1690.0,540 Madison,2304,,,,,,,,
NYC5MAD2304,4,"2,030",1690.0,540 Madison,2304,,,,,,,,
NYC5MAD2304,5,"2,030",2445.0,540 Madison,2304,,,,,,,,
NYC5MAD2304,6,"1,910",2445.0,540 Madison,2304,,,,,,,,
NYC5MAD2304,7,"1,910",2805.0,540 Madison,2304,,,,,,,,
NYC5MAD2401,0,45,1275.0,540 Madison,2401,,,,,,,,
NYC5MAD2401,1,45,1635.0,540 Madison,2401,,,,,,,,
NYC5MAD2401,2,620,1635.0,540 Madison,2401,,,,,,,,
NYC5MAD2401,3,620,1210.0,540 Madison,2401,,,,,,,,
NYC5MAD2401,4,125,1210.0,540 Madison,2401,,,,,,,,
NYC5MAD2401,5,125,1275.0,540 Madison,2401,,,,,,,,
NYC5MAD2402,0,620,1635.0,540 Madison,2402,,,,,,,,
NYC5MAD2402,1,"1,460",1635.0,540 Madison,2402,,,,,,,,
NYC5MAD2402,2,"1,460",1210.0,540 Madison,2402,,,,,,,,
NYC5MAD2402,3,620,1210.0,540 Madison,2402,,,,,,,,
NYC5MAD2403,0,"1,460",1635.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,1,"2,515",1635.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,2,"2,515",1020.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,3,"2,445",1020.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,4,"2,445",505.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,5,"2,040",505.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,6,"2,040",805.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,7,"1,915",805.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,8,"1,915",1095.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,9,"1,625",1095.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,10,"1,625",1210.0,540 Madison,2403,,,,,,,,
NYC5MAD2403,11,"1,460",1210.0,540 Madison,2403,,,,,,,,
NYC5MAD2404,0,"2,445",505.0,540 Madison,2404,,,,,,,,
NYC5MAD2404,1,"2,445",35.0,540 Madison,2404,,,,,,,,
NYC5MAD2404,2,"2,035",40.0,540 Madison,2404,,,,,,,,
NYC5MAD2404,3,"2,040",505.0,540 Madison,2404,,,,,,,,
