Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AUSDTN023,0,470,3280.0,5th & Congress RETRACE,23,,,,,,,,
AUSDTN023,1,470,3080.0,5th & Congress RETRACE,23,,,,,,,,
AUSDTN023,2,110,3080.0,5th & Congress RETRACE,23,,,,,,,,
AUSDTN023,3,110,3280.0,5th & Congress RETRACE,23,,,,,,,,
AUSDTN022,0,470,3280.0,5th & Congress RETRACE,22,,,,,,,,
AUSDTN022,1,745,3280.0,5th & Congress RETRACE,22,,,,,,,,
AUSDTN022,2,745,3080.0,5th & Congress RETRACE,22,,,,,,,,
AUSDTN022,3,470,3080.0,5th & Congress RETRACE,22,,,,,,,,
AUSDTN021,0,745,3280.0,5th & Congress RETRACE,21,,,,,,,,
AUSDTN021,1,1025,3280.0,5th & Congress RETRACE,21,,,,,,,,
AUSDTN021,2,1025,3080.0,5th & Congress RETRACE,21,,,,,,,,
AUSDTN021,3,745,3080.0,5th & Congress RETRACE,21,,,,,,,,
AUSDTN020,0,1025,3280.0,5th & Congress RETRACE,20,,,,,,,,
AUSDTN020,1,1160,3280.0,5th & Congress RETRACE,20,,,,,,,,
AUSDTN020,2,1160,3080.0,5th & Congress RETRACE,20,,,,,,,,
AUSDTN020,3,1025,3080.0,5th & Congress RETRACE,20,,,,,,,,
AUSDTN019,0,1160,3280.0,5th & Congress RETRACE,19,,,,,,,,
AUSDTN019,1,1300,3280.0,5th & Congress RETRACE,19,,,,,,,,
AUSDTN019,2,1300,3080.0,5th & Congress RETRACE,19,,,,,,,,
AUSDTN019,3,1160,3080.0,5th & Congress RETRACE,19,,,,,,,,
AUSDTN018,0,1300,3280.0,5th & Congress RETRACE,18,,,,,,,,
AUSDTN018,1,1580,3280.0,5th & Congress RETRACE,18,,,,,,,,
AUSDTN018,2,1580,3080.0,5th & Congress RETRACE,18,,,,,,,,
AUSDTN018,3,1300,3080.0,5th & Congress RETRACE,18,,,,,,,,
AUSDTN017,0,1580,3280.0,5th & Congress RETRACE,17,,,,,,,,
AUSDTN017,1,1715,3280.0,5th & Congress RETRACE,17,,,,,,,,
AUSDTN017,2,1715,3080.0,5th & Congress RETRACE,17,,,,,,,,
AUSDTN017,3,1580,3080.0,5th & Congress RETRACE,17,,,,,,,,
AUSDTN016,0,1715,3280.0,5th & Congress RETRACE,16,,,,,,,,
AUSDTN016,1,1995,3280.0,5th & Congress RETRACE,16,,,,,,,,
AUSDTN016,2,1995,3080.0,5th & Congress RETRACE,16,,,,,,,,
AUSDTN016,3,1715,3080.0,5th & Congress RETRACE,16,,,,,,,,
AUSDTN015,0,1995,3280.0,5th & Congress RETRACE,15,,,,,,,,
AUSDTN015,1,2135,3280.0,5th & Congress RETRACE,15,,,,,,,,
AUSDTN015,2,2135,3080.0,5th & Congress RETRACE,15,,,,,,,,
AUSDTN015,3,1995,3080.0,5th & Congress RETRACE,15,,,,,,,,
AUSDTN014,0,2135,3280.0,5th & Congress RETRACE,14,,,,,,,,
AUSDTN014,1,2270,3280.0,5th & Congress RETRACE,14,,,,,,,,
AUSDTN014,2,2270,3135.0,5th & Congress RETRACE,14,,,,,,,,
AUSDTN014,3,2135,3135.0,5th & Congress RETRACE,14,,,,,,,,
AUSDTN013,0,2270,3280.0,5th & Congress RETRACE,13,,,,,,,,
AUSDTN013,1,2425,3280.0,5th & Congress RETRACE,13,,,,,,,,
AUSDTN013,2,2425,3070.0,5th & Congress RETRACE,13,,,,,,,,
AUSDTN013,3,2240,3070.0,5th & Congress RETRACE,13,,,,,,,,
AUSDTN013,4,2240,3135.0,5th & Congress RETRACE,13,,,,,,,,
AUSDTN013,5,2270,3135.0,5th & Congress RETRACE,13,,,,,,,,
AUSDTN012,0,2425,3070.0,5th & Congress RETRACE,12,,,,,,,,
AUSDTN012,1,2425,2940.0,5th & Congress RETRACE,12,,,,,,,,
AUSDTN012,2,2240,2940.0,5th & Congress RETRACE,12,,,,,,,,
AUSDTN012,3,2240,3070.0,5th & Congress RETRACE,12,,,,,,,,
AUSDTN011,0,2425,2940.0,5th & Congress RETRACE,11,,,,,,,,
AUSDTN011,1,2425,2800.0,5th & Congress RETRACE,11,,,,,,,,
AUSDTN011,2,2240,2800.0,5th & Congress RETRACE,11,,,,,,,,
AUSDTN011,3,2240,2940.0,5th & Congress RETRACE,11,,,,,,,,
AUSDTN010,0,2425,2800.0,5th & Congress RETRACE,10,,,,,,,,
AUSDTN010,1,2425,2660.0,5th & Congress RETRACE,10,,,,,,,,
AUSDTN010,2,2240,2660.0,5th & Congress RETRACE,10,,,,,,,,
AUSDTN010,3,2240,2800.0,5th & Congress RETRACE,10,,,,,,,,
AUSDTN009,0,2425,2660.0,5th & Congress RETRACE,9,,,,,,,,
AUSDTN009,1,2425,2520.0,5th & Congress RETRACE,9,,,,,,,,
AUSDTN009,2,2240,2520.0,5th & Congress RETRACE,9,,,,,,,,
AUSDTN009,3,2240,2660.0,5th & Congress RETRACE,9,,,,,,,,
AUSDTN008,0,2425,2520.0,5th & Congress RETRACE,8,,,,,,,,
AUSDTN008,1,2425,2385.0,5th & Congress RETRACE,8,,,,,,,,
AUSDTN008,2,2240,2385.0,5th & Congress RETRACE,8,,,,,,,,
AUSDTN008,3,2240,2520.0,5th & Congress RETRACE,8,,,,,,,,
AUSDTN007,0,2425,2385.0,5th & Congress RETRACE,7,,,,,,,,
AUSDTN007,1,2425,2245.0,5th & Congress RETRACE,7,,,,,,,,
AUSDTN007,2,2240,2245.0,5th & Congress RETRACE,7,,,,,,,,
AUSDTN007,3,2240,2385.0,5th & Congress RETRACE,7,,,,,,,,
AUSDTN006,0,2425,2245.0,5th & Congress RETRACE,6,,,,,,,,
AUSDTN006,1,2425,2105.0,5th & Congress RETRACE,6,,,,,,,,
AUSDTN006,2,2240,2105.0,5th & Congress RETRACE,6,,,,,,,,
AUSDTN006,3,2240,2245.0,5th & Congress RETRACE,6,,,,,,,,
AUSDTN005,0,2425,2105.0,5th & Congress RETRACE,5,,,,,,,,
AUSDTN005,1,2425,1970.0,5th & Congress RETRACE,5,,,,,,,,
AUSDTN005,2,2240,1970.0,5th & Congress RETRACE,5,,,,,,,,
AUSDTN005,3,2240,2105.0,5th & Congress RETRACE,5,,,,,,,,
AUSDTN004,0,2425,1970.0,5th & Congress RETRACE,4,,,,,,,,
AUSDTN004,1,2425,1830.0,5th & Congress RETRACE,4,,,,,,,,
AUSDTN004,2,2240,1830.0,5th & Congress RETRACE,4,,,,,,,,
AUSDTN004,3,2240,1970.0,5th & Congress RETRACE,4,,,,,,,,
AUSDTN003,0,2425,1830.0,5th & Congress RETRACE,3,,,,,,,,
