Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCTIM1901,0,"1,120",1675.0,9 Times Sq,1901,,,,,,,,
NYCTIM1901,1,"1,120",1460.0,9 Times Sq,1901,,,,,,,,
NYCTIM1901,2,900,1460.0,9 Times Sq,1901,,,,,,,,
NYCTIM1901,3,900,1675.0,9 Times Sq,1901,,,,,,,,
NYCTIM1902,0,900,1675.0,9 Times Sq,1902,,,,,,,,
NYCTIM1902,1,900,1830.0,9 Times Sq,1902,,,,,,,,
NYCTIM1902,2,"1,120",1830.0,9 Times Sq,1902,,,,,,,,
NYCTIM1902,3,"1,120",1675.0,9 Times Sq,1902,,,,,,,,
NYCTIM1903,0,900,1830.0,9 Times Sq,1903,,,,,,,,
NYCTIM1903,1,900,2120.0,9 Times Sq,1903,,,,,,,,
NYCTIM1903,2,"1,120",2120.0,9 Times Sq,1903,,,,,,,,
NYCTIM1903,3,"1,120",1830.0,9 Times Sq,1903,,,,,,,,
NYCTIM2001,0,295,535.0,9 Times Sq,2001,,,,,,,,
NYCTIM2001,1,295,105.0,9 Times Sq,2001,,,,,,,,
NYCTIM2001,2,35,105.0,9 Times Sq,2001,,,,,,,,
NYCTIM2001,3,35,535.0,9 Times Sq,2001,,,,,,,,
NYCTIM2002,0,295,840.0,9 Times Sq,2002,,,,,,,,
NYCTIM2002,1,35,840.0,9 Times Sq,2002,,,,,,,,
NYCTIM2002,2,35,990.0,9 Times Sq,2002,,,,,,,,
NYCTIM2002,3,295,990.0,9 Times Sq,2002,,,,,,,,
NYCTIM2003,0,35,990.0,9 Times Sq,2003,,,,,,,,
NYCTIM2003,1,35,1215.0,9 Times Sq,2003,,,,,,,,
NYCTIM2003,2,425,1215.0,9 Times Sq,2003,,,,,,,,
NYCTIM2003,3,425,990.0,9 Times Sq,2003,,,,,,,,
NYCTIM2004,0,"1,370",960.0,9 Times Sq,2004,,,,,,,,
NYCTIM2004,1,"1,370",1215.0,9 Times Sq,2004,,,,,,,,
NYCTIM2004,2,"1,630",1215.0,9 Times Sq,2004,,,,,,,,
NYCTIM2004,3,"1,630",980.0,9 Times Sq,2004,,,,,,,,
NYCTIM2004,4,"1,445",980.0,9 Times Sq,2004,,,,,,,,
NYCTIM2004,5,"1,445",960.0,9 Times Sq,2004,,,,,,,,
NYCTIM2005,0,"1,630",980.0,9 Times Sq,2005,,,,,,,,
NYCTIM2005,1,"1,630",775.0,9 Times Sq,2005,,,,,,,,
NYCTIM2005,2,"1,445",775.0,9 Times Sq,2005,,,,,,,,
NYCTIM2005,3,"1,445",980.0,9 Times Sq,2005,,,,,,,,
NYCTIM2006,0,"1,630",775.0,9 Times Sq,2006,,,,,,,,
NYCTIM2006,1,"1,630",570.0,9 Times Sq,2006,,,,,,,,
NYCTIM2006,2,"1,445",570.0,9 Times Sq,2006,,,,,,,,
NYCTIM2006,3,"1,445",775.0,9 Times Sq,2006,,,,,,,,
NYCTIM2007,0,"1,630",570.0,9 Times Sq,2007,,,,,,,,
NYCTIM2007,1,"1,630",365.0,9 Times Sq,2007,,,,,,,,
NYCTIM2007,2,"1,445",365.0,9 Times Sq,2007,,,,,,,,
NYCTIM2007,3,"1,445",570.0,9 Times Sq,2007,,,,,,,,
NYCTIM2008,0,"1,630",365.0,9 Times Sq,2008,,,,,,,,
NYCTIM2008,1,"1,625",105.0,9 Times Sq,2008,,,,,,,,
NYCTIM2008,2,"1,270",105.0,9 Times Sq,2008,,,,,,,,
NYCTIM2008,3,"1,270",365.0,9 Times Sq,2008,,,,,,,,
NYCTIM2009,0,"1,270",365.0,9 Times Sq,2009,,,,,,,,
NYCTIM2009,1,"1,105",365.0,9 Times Sq,2009,,,,,,,,
NYCTIM2009,2,"1,105",105.0,9 Times Sq,2009,,,,,,,,
NYCTIM2009,3,"1,270",105.0,9 Times Sq,2009,,,,,,,,
NYCTIM2010,0,"1,105",365.0,9 Times Sq,2010,,,,,,,,
NYCTIM2010,1,945,365.0,9 Times Sq,2010,,,,,,,,
NYCTIM2010,2,945,105.0,9 Times Sq,2010,,,,,,,,
NYCTIM2010,3,"1,105",105.0,9 Times Sq,2010,,,,,,,,
NYCTIM2011,0,945,365.0,9 Times Sq,2011,,,,,,,,
NYCTIM2011,1,780,365.0,9 Times Sq,2011,,,,,,,,
NYCTIM2011,2,780,105.0,9 Times Sq,2011,,,,,,,,
NYCTIM2011,3,945,105.0,9 Times Sq,2011,,,,,,,,
NYCTIM2012,0,780,365.0,9 Times Sq,2012,,,,,,,,
NYCTIM2012,1,620,365.0,9 Times Sq,2012,,,,,,,,
NYCTIM2012,2,620,105.0,9 Times Sq,2012,,,,,,,,
NYCTIM2012,3,780,105.0,9 Times Sq,2012,,,,,,,,
NYCTIM2013,0,620,365.0,9 Times Sq,2013,,,,,,,,
NYCTIM2013,1,460,365.0,9 Times Sq,2013,,,,,,,,
NYCTIM2013,2,460,105.0,9 Times Sq,2013,,,,,,,,
NYCTIM2013,3,620,105.0,9 Times Sq,2013,,,,,,,,
NYCTIM2014,0,460,365.0,9 Times Sq,2014,,,,,,,,
NYCTIM2014,1,295,365.0,9 Times Sq,2014,,,,,,,,
NYCTIM2014,2,295,105.0,9 Times Sq,2014,,,,,,,,
NYCTIM2014,3,460,105.0,9 Times Sq,2014,,,,,,,,
NYCTIM2101,0,"3,275",105.0,9 Times Sq,2101,,,,,,,,
NYCTIM2101,1,"3,015",105.0,9 Times Sq,2101,,,,,,,,
NYCTIM2101,2,"3,015",315.0,9 Times Sq,2101,,,,,,,,
NYCTIM2101,3,"3,040",315.0,9 Times Sq,2101,,,,,,,,
NYCTIM2101,4,"3,040",400.0,9 Times Sq,2101,,,,,,,,
NYCTIM2101,5,"3,275",400.0,9 Times Sq,2101,,,,,,,,
