Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCNOM701,0,"1,625",1355.0,902 Broadway,701,,,,,,,,
NYCNOM701,1,"1,625",1155.0,902 Broadway,701,,,,,,,,
NYCNOM701,2,"1,270",1155.0,902 Broadway,701,,,,,,,,
NYCNOM701,3,"1,270",1355.0,902 Broadway,701,,,,,,,,
NYCNOM702,0,"1,270",1155.0,902 Broadway,702,,,,,,,,
NYCNOM702,1,"1,080",1155.0,902 Broadway,702,,,,,,,,
NYCNOM702,2,"1,080",1355.0,902 Broadway,702,,,,,,,,
NYCNOM702,3,"1,270",1355.0,902 Broadway,702,,,,,,,,
NYCNOM703,0,"1,080",1355.0,902 Broadway,703,,,,,,,,
NYCNOM703,1,"1,080",1125.0,902 Broadway,703,,,,,,,,
NYCNOM703,2,795,1125.0,902 Broadway,703,,,,,,,,
NYCNOM703,3,795,1355.0,902 Broadway,703,,,,,,,,
NYCNOM704,0,795,1125.0,902 Broadway,704,,,,,,,,
NYCNOM704,1,515,1125.0,902 Broadway,704,,,,,,,,
NYCNOM704,2,515,1355.0,902 Broadway,704,,,,,,,,
NYCNOM704,3,795,1355.0,902 Broadway,704,,,,,,,,
NYCNOM705,0,440,1125.0,902 Broadway,705,,,,,,,,
NYCNOM705,1,70,1125.0,902 Broadway,705,,,,,,,,
NYCNOM705,2,70,1740.0,902 Broadway,705,,,,,,,,
NYCNOM705,3,440,1740.0,902 Broadway,705,,,,,,,,
NYCNOM706,0,440,1740.0,902 Broadway,706,,,,,,,,
NYCNOM706,1,605,1740.0,902 Broadway,706,,,,,,,,
NYCNOM706,2,605,1555.0,902 Broadway,706,,,,,,,,
NYCNOM706,3,440,1555.0,902 Broadway,706,,,,,,,,
NYCNOM707,0,515,1355.0,902 Broadway,707,,,,,,,,
NYCNOM707,1,515,1490.0,902 Broadway,707,,,,,,,,
NYCNOM707,2,745,1490.0,902 Broadway,707,,,,,,,,
NYCNOM707,3,745,1355.0,902 Broadway,707,,,,,,,,
NYCNOM708,0,605,1740.0,902 Broadway,708,,,,,,,,
NYCNOM708,1,780,1740.0,902 Broadway,708,,,,,,,,
NYCNOM708,2,780,1555.0,902 Broadway,708,,,,,,,,
NYCNOM708,3,605,1555.0,902 Broadway,708,,,,,,,,
NYCNOM709,0,745,1490.0,902 Broadway,709,,,,,,,,
NYCNOM709,1,"1,030",1490.0,902 Broadway,709,,,,,,,,
NYCNOM709,2,"1,030",1355.0,902 Broadway,709,,,,,,,,
NYCNOM709,3,745,1355.0,902 Broadway,709,,,,,,,,
NYCNOM710,0,780,1740.0,902 Broadway,710,,,,,,,,
NYCNOM710,1,"1,015",1740.0,902 Broadway,710,,,,,,,,
NYCNOM710,2,"1,015",1555.0,902 Broadway,710,,,,,,,,
NYCNOM710,3,780,1555.0,902 Broadway,710,,,,,,,,
NYCNOM711,0,"1,030",1490.0,902 Broadway,711,,,,,,,,
NYCNOM711,1,"1,270",1490.0,902 Broadway,711,,,,,,,,
NYCNOM711,2,"1,270",1355.0,902 Broadway,711,,,,,,,,
NYCNOM711,3,"1,030",1355.0,902 Broadway,711,,,,,,,,
NYCNOM712,0,"1,015",1740.0,902 Broadway,712,,,,,,,,
NYCNOM712,1,"1,165",1740.0,902 Broadway,712,,,,,,,,
NYCNOM712,2,"1,165",1555.0,902 Broadway,712,,,,,,,,
NYCNOM712,3,"1,015",1555.0,902 Broadway,712,,,,,,,,
NYCNOM713,0,"1,270",1490.0,902 Broadway,713,,,,,,,,
NYCNOM713,1,"1,440",1490.0,902 Broadway,713,,,,,,,,
NYCNOM713,2,"1,440",1355.0,902 Broadway,713,,,,,,,,
NYCNOM713,3,"1,270",1355.0,902 Broadway,713,,,,,,,,
NYCNOM714,0,"1,165",1740.0,902 Broadway,714,,,,,,,,
NYCNOM714,1,"1,310",1740.0,902 Broadway,714,,,,,,,,
NYCNOM714,2,"1,310",1555.0,902 Broadway,714,,,,,,,,
NYCNOM714,3,"1,165",1555.0,902 Broadway,714,,,,,,,,
NYCNOM715,0,"1,440",1490.0,902 Broadway,715,,,,,,,,
NYCNOM715,1,"1,660",1490.0,902 Broadway,715,,,,,,,,
NYCNOM715,2,"1,660",1355.0,902 Broadway,715,,,,,,,,
NYCNOM715,3,"1,440",1355.0,902 Broadway,715,,,,,,,,
NYCNOM716,0,"1,310",1740.0,902 Broadway,716,,,,,,,,
NYCNOM716,1,"1,495",1740.0,902 Broadway,716,,,,,,,,
NYCNOM716,2,"1,495",1555.0,902 Broadway,716,,,,,,,,
NYCNOM716,3,"1,310",1555.0,902 Broadway,716,,,,,,,,
NYCNOM717,0,"1,660",1490.0,902 Broadway,717,,,,,,,,
NYCNOM717,1,"1,820",1490.0,902 Broadway,717,,,,,,,,
NYCNOM717,2,"1,820",1380.0,902 Broadway,717,,,,,,,,
NYCNOM717,3,"1,660",1380.0,902 Broadway,717,,,,,,,,
NYCNOM718,0,"1,495",1740.0,902 Broadway,718,,,,,,,,
NYCNOM718,1,"1,680",1740.0,902 Broadway,718,,,,,,,,
NYCNOM718,2,"1,680",1555.0,902 Broadway,718,,,,,,,,
NYCNOM718,3,"1,495",1555.0,902 Broadway,718,,,,,,,,
NYCNOM719,0,"1,820",1490.0,902 Broadway,719,,,,,,,,
NYCNOM719,1,"1,990",1490.0,902 Broadway,719,,,,,,,,
NYCNOM719,2,"1,990",1380.0,902 Broadway,719,,,,,,,,
NYCNOM719,3,"1,820",1380.0,902 Broadway,719,,,,,,,,
NYCNOM720,0,"1,680",1740.0,902 Broadway,720,,,,,,,,
NYCNOM720,1,"1,925",1740.0,902 Broadway,720,,,,,,,,
NYCNOM720,2,"1,925",1555.0,902 Broadway,720,,,,,,,,
NYCNOM720,3,"1,680",1555.0,902 Broadway,720,,,,,,,,
NYCNOM721,0,"1,990",1490.0,902 Broadway,721,,,,,,,,
NYCNOM721,1,"2,160",1490.0,902 Broadway,721,,,,,,,,
NYCNOM721,2,"2,160",1380.0,902 Broadway,721,,,,,,,,
NYCNOM721,3,"1,990",1380.0,902 Broadway,721,,,,,,,,
NYCNOM722,0,"1,925",1740.0,902 Broadway,722,,,,,,,,
NYCNOM722,1,"2,150",1740.0,902 Broadway,722,,,,,,,,
NYCNOM722,2,"2,150",1555.0,902 Broadway,722,,,,,,,,
NYCNOM722,3,"1,925",1555.0,902 Broadway,722,,,,,,,,
NYCNOM723,0,"2,895",1755.0,902 Broadway,723,,,,,,,,
NYCNOM723,1,"3,230",1755.0,902 Broadway,723,,,,,,,,
NYCNOM723,2,"3,230",1590.0,902 Broadway,723,,,,,,,,
NYCNOM723,3,"2,895",1590.0,902 Broadway,723,,,,,,,,
NYCNOM724,0,"2,805",1690.0,902 Broadway,724,,,,,,,,
NYCNOM724,1,"2,485",1690.0,902 Broadway,724,,,,,,,,
NYCNOM724,2,"2,485",1970.0,902 Broadway,724,,,,,,,,
NYCNOM724,3,"2,580",1970.0,902 Broadway,724,,,,,,,,
NYCNOM724,4,"2,580",1905.0,902 Broadway,724,,,,,,,,
NYCNOM724,5,"2,805",1905.0,902 Broadway,724,,,,,,,,
NYCNOM725,0,"2,895",1755.0,902 Broadway,725,,,,,,,,
NYCNOM725,1,"2,895",1960.0,902 Broadway,725,,,,,,,,
NYCNOM725,2,"3,230",1960.0,902 Broadway,725,,,,,,,,
NYCNOM725,3,"3,230",1755.0,902 Broadway,725,,,,,,,,
NYCNOM726,0,"2,580",1905.0,902 Broadway,726,,,,,,,,
NYCNOM726,1,"2,580",2055.0,902 Broadway,726,,,,,,,,
NYCNOM726,2,"2,805",2055.0,902 Broadway,726,,,,,,,,
NYCNOM726,3,"2,805",1905.0,902 Broadway,726,,,,,,,,
NYCNOM727,0,"2,895",1960.0,902 Broadway,727,,,,,,,,
NYCNOM727,1,"2,895",2280.0,902 Broadway,727,,,,,,,,
NYCNOM727,2,"3,235",2280.0,902 Broadway,727,,,,,,,,
NYCNOM727,3,"3,230",1960.0,902 Broadway,727,,,,,,,,
NYCNOM728,0,"2,580",2055.0,902 Broadway,728,,,,,,,,
NYCNOM728,1,"2,580",2280.0,902 Broadway,728,,,,,,,,
NYCNOM728,2,"2,720",2275.0,902 Broadway,728,,,,,,,,
NYCNOM728,3,"2,720",2255.0,902 Broadway,728,,,,,,,,
NYCNOM728,4,"2,805",2255.0,902 Broadway,728,,,,,,,,
NYCNOM728,5,"2,805",2055.0,902 Broadway,728,,,,,,,,
NYCNOM729,0,"2,495",1080.0,902 Broadway,729,,,,,,,,
NYCNOM729,1,"2,705",1080.0,902 Broadway,729,,,,,,,,
NYCNOM729,2,"2,705",970.0,902 Broadway,729,,,,,,,,
NYCNOM729,3,"2,495",970.0,902 Broadway,729,,,,,,,,
NYCNOM730,0,"3,230",1590.0,902 Broadway,730,,,,,,,,
NYCNOM730,1,"3,230",1160.0,902 Broadway,730,,,,,,,,
NYCNOM730,2,"2,600",1160.0,902 Broadway,730,,,,,,,,
NYCNOM730,3,"2,600",1595.0,902 Broadway,730,,,,,,,,
NYCNOM731,0,"3,230",1160.0,902 Broadway,731,,,,,,,,
NYCNOM731,1,"3,230",695.0,902 Broadway,731,,,,,,,,
NYCNOM731,2,"3,010",695.0,902 Broadway,731,,,,,,,,
NYCNOM731,3,"3,010",1160.0,902 Broadway,731,,,,,,,,
NYCNOM732,0,"2,705",1080.0,902 Broadway,732,,,,,,,,
NYCNOM732,1,"2,935",1080.0,902 Broadway,732,,,,,,,,
NYCNOM732,2,"2,935",750.0,902 Broadway,732,,,,,,,,
NYCNOM732,3,"2,705",680.0,902 Broadway,732,,,,,,,,
NYCNOM733,0,"3,230",695.0,902 Broadway,733,,,,,,,,
NYCNOM733,1,"3,230",545.0,902 Broadway,733,,,,,,,,
NYCNOM733,2,"2,945",460.0,902 Broadway,733,,,,,,,,
NYCNOM733,3,"2,880",655.0,902 Broadway,733,,,,,,,,
NYCNOM733,4,"3,010",695.0,902 Broadway,733,,,,,,,,
NYCNOM734,0,"2,705",680.0,902 Broadway,734,,,,,,,,
NYCNOM734,1,"2,495",615.0,902 Broadway,734,,,,,,,,
NYCNOM734,2,"2,495",970.0,902 Broadway,734,,,,,,,,
NYCNOM734,3,"2,705",970.0,902 Broadway,734,,,,,,,,
NYCNOM735,0,"2,945",460.0,902 Broadway,735,,,,,,,,
NYCNOM735,1,"2,800",415.0,902 Broadway,735,,,,,,,,
NYCNOM735,2,"2,740",610.0,902 Broadway,735,,,,,,,,
NYCNOM735,3,"2,880",655.0,902 Broadway,735,,,,,,,,
NYCNOM736,0,"2,800",415.0,902 Broadway,736,,,,,,,,
NYCNOM736,1,"2,620",360.0,902 Broadway,736,,,,,,,,
NYCNOM736,2,"2,560",555.0,902 Broadway,736,,,,,,,,
NYCNOM736,3,"2,740",610.0,902 Broadway,736,,,,,,,,
NYCNOM737,0,"2,620",360.0,902 Broadway,737,,,,,,,,
NYCNOM737,1,"2,385",290.0,902 Broadway,737,,,,,,,,
NYCNOM737,2,"2,385",500.0,902 Broadway,737,,,,,,,,
