Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AUSCON001,0,620,2030.0,9th and Congress,1,,,,,,,,
AUSCON001,1,700,2030.0,9th and Congress,1,,,,,,,,
AUSCON001,2,700,1945.0,9th and Congress,1,,,,,,,,
AUSCON001,3,620,1945.0,9th and Congress,1,,,,,,,,
AUSCON002,0,700,2030.0,9th and Congress,2,,,,,,,,
AUSCON002,1,785,2030.0,9th and Congress,2,,,,,,,,
AUSCON002,2,785,1945.0,9th and Congress,2,,,,,,,,
AUSCON002,3,700,1945.0,9th and Congress,2,,,,,,,,
AUSCON003,0,785,2030.0,9th and Congress,3,,,,,,,,
AUSCON003,1,870,2030.0,9th and Congress,3,,,,,,,,
AUSCON003,2,870,1945.0,9th and Congress,3,,,,,,,,
AUSCON003,3,785,1945.0,9th and Congress,3,,,,,,,,
AUSCON004,0,870,2030.0,9th and Congress,4,,,,,,,,
AUSCON004,1,1040,2030.0,9th and Congress,4,,,,,,,,
AUSCON004,2,1040,1945.0,9th and Congress,4,,,,,,,,
AUSCON004,3,870,1945.0,9th and Congress,4,,,,,,,,
AUSCON005,0,1040,2030.0,9th and Congress,5,,,,,,,,
AUSCON005,1,1210,2030.0,9th and Congress,5,,,,,,,,
AUSCON005,2,1210,1945.0,9th and Congress,5,,,,,,,,
AUSCON005,3,1040,1945.0,9th and Congress,5,,,,,,,,
AUSCON006,0,905,2065.0,9th and Congress,6,,,,,,,,
AUSCON006,1,905,2120.0,9th and Congress,6,,,,,,,,
AUSCON006,2,965,2120.0,9th and Congress,6,,,,,,,,
AUSCON006,3,965,2065.0,9th and Congress,6,,,,,,,,
AUSCON007,0,965,2065.0,9th and Congress,7,,,,,,,,
AUSCON007,1,1030,2065.0,9th and Congress,7,,,,,,,,
AUSCON007,2,1030,2120.0,9th and Congress,7,,,,,,,,
AUSCON007,3,965,2120.0,9th and Congress,7,,,,,,,,
AUSCON008,0,1030,2120.0,9th and Congress,8,,,,,,,,
AUSCON008,1,1090,2120.0,9th and Congress,8,,,,,,,,
AUSCON008,2,1090,2065.0,9th and Congress,8,,,,,,,,
AUSCON008,3,1030,2065.0,9th and Congress,8,,,,,,,,
AUSCON009,0,1000,2120.0,9th and Congress,9,,,,,,,,
AUSCON009,1,1000,2175.0,9th and Congress,9,,,,,,,,
AUSCON009,2,1090,2175.0,9th and Congress,9,,,,,,,,
AUSCON009,3,1090,2120.0,9th and Congress,9,,,,,,,,
AUSCON010,0,1000,2175.0,9th and Congress,10,,,,,,,,
AUSCON010,1,1000,2235.0,9th and Congress,10,,,,,,,,
AUSCON010,2,1090,2235.0,9th and Congress,10,,,,,,,,
AUSCON010,3,1090,2175.0,9th and Congress,10,,,,,,,,
AUSCON011,0,1000,2235.0,9th and Congress,11,,,,,,,,
AUSCON011,1,1000,2290.0,9th and Congress,11,,,,,,,,
AUSCON011,2,1090,2290.0,9th and Congress,11,,,,,,,,
AUSCON011,3,1090,2235.0,9th and Congress,11,,,,,,,,
AUSCON012,0,1000,2290.0,9th and Congress,12,,,,,,,,
AUSCON012,1,1000,2345.0,9th and Congress,12,,,,,,,,
