Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AEXEIS901,0,2089,474.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS001,0,2389.515625,1063.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS001,1,2524.515625,1063.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS001,2,2524.515625,1190.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS001,3,2390.515625,1190.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS002,0,2524.515625,1190.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS002,1,2524.515625,1306.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS002,2,2390.515625,1306.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS002,3,2390.515625,1190.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS003,0,2596.515625,763.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS003,1,2744.515625,763.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS003,2,2744.515625,931.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS003,3,2596.515625,931.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS004,0,2596.515625,931.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS004,1,2596.515625,1109.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS004,2,2744.515625,1109.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS004,3,2744.515625,931.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS005,0,2596.515625,1109.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS005,1,2596.515625,1283.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS005,2,2744.515625,1283.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS005,3,2744.515625,1109.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS006,0,2596.515625,1283.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS006,1,2596.515625,1460.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS006,2,2743.515625,1460.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS006,3,2744.515625,1283.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS007,0,2596.515625,1460.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS007,1,2596.515625,1633.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS007,2,2743.515625,1633.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS007,3,2743.515625,1460.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS008,0,2743.515625,1633.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS008,1,2893.515625,1633.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS008,2,2893.515625,1460.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS008,3,2743.515625,1460.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS009,0,2893.515625,1460.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS009,1,2893.515625,1284.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS009,2,2744.515625,1283.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS009,3,2743.515625,1460.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS010,0,2893.515625,1284.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS010,1,2894.515625,1109.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS010,2,2744.515625,1109.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS010,3,2744.515625,1283.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS011,0,2893.515625,1107.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS011,1,2892.515625,931.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS011,2,2744.515625,931.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS011,3,2744.515625,1109.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS012,0,2892.515625,931.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS012,1,2892.515625,764.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS012,2,2744.515625,763.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS012,3,2744.515625,931.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS013,0,2297.515625,519.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS013,1,2604.515625,519.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS013,2,2604.515625,267.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS013,3,2295.515625,264.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS014,0,2604.515625,519.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS014,1,2768.515625,519.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS014,2,2768.515625,267.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS014,3,2604.515625,267.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS015,0,2768.515625,519.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS015,1,3016.515625,519.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS015,2,3016.515625,266.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS015,3,2768.515625,267.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS016,0,3016.515625,266.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS016,1,3227.515625,266.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS016,2,3227.515625,655.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS016,3,2966.515625,655.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS016,4,2966.515625,519.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS016,5,3016.515625,519.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS017,0,2966.515625,655.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS017,1,2966.515625,924.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS017,2,3226.515625,924.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS017,3,3227.515625,655.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS018,0,2966.515625,924.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS018,1,2966.515625,1115.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS018,2,3225.515625,1115.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS018,3,3226.515625,924.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS019,0,2966.515625,1115.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS019,1,2966.515625,1334.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS019,2,3226.515625,1334.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS019,3,3225.515625,1115.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS020,0,2966.515625,1334.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS020,1,2966.515625,1518.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS020,2,3225.515625,1518.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS020,3,3226.515625,1334.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS021,0,2966.515625,1518.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS021,1,2966.515625,1664.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS021,2,3226.515625,1664.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS021,3,3225.515625,1518.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS022,0,2966.515625,1664.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS022,1,2966.515625,1935.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS022,2,3224.515625,1935.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS022,3,3226.515625,1664.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS023,0,2966.515625,1935.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS023,1,2966.515625,2064.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS023,2,2935.515625,2064.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS023,3,2935.515625,2322.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS023,4,3224.515625,2322.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS023,5,3224.515625,1935.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS024,0,2897.515625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS024,1,2707.515625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS024,2,2707.515625,1849.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS024,3,2896.515625,1849.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS025,0,2707.515625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS025,1,2517.515625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS025,2,2517.515625,1849.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS025,3,2707.515625,1849.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS026,0,2517.515625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS026,1,2393.015625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS026,2,2393.015625,1848.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS026,3,2517.515625,1849.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS027,0,2393.015625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS027,1,2257.515625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS027,2,2257.515625,1849.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS027,3,2393.015625,1848.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS028,0,2257.515625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS028,1,2129.515625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS028,2,2129.515625,1847.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS028,3,2257.515625,1849.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS029,0,2129.515625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS029,1,1844.015625,1704.0,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS029,2,1844.015625,1847.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS029,3,2129.515625,1847.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS030,0,1844.015625,1847.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS030,1,1844.015625,1994.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS030,2,2128.015625,1994.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS030,3,2129.515625,1847.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS031,0,2128.015625,1994.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS031,1,2258.015625,1994.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS031,2,2257.515625,1849.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS031,3,2129.515625,1847.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS032,0,2258.015625,1994.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS032,1,2393.515625,1994.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS032,2,2393.015625,1848.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS032,3,2257.515625,1849.5,Alexandria - 2461 Eisenhower,,,,,,,,,
AEXEIS033,0,2393.515625,1994.5,Alexandria - 2461 Eisenhower,,,,,,,,,
