Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ARLCLRCafe/Lounge,0,380,1228.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLRCafe/Lounge,1,686,1228.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLRCafe/Lounge,2,686,861.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLRCafe/Lounge,3,381,860.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR002,0,1134,1313.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR002,1,1043,1313.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR002,2,1043,1418.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR002,3,1134,1419.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR003,0,1043,1313.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR003,1,944,1313.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR003,2,944,1419.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR003,3,1043,1418.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR004,0,944,1313.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR004,1,844,1313.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR004,2,844,1419.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR004,3,944,1419.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR005,0,844,1313.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR005,1,747,1313.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR005,2,747,1419.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR005,3,844,1419.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR006,0,686,1228.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR006,1,686,1553.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR006,2,381,1553.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR006,3,380,1228.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR007,0,381,1553.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR007,1,381,1889.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR007,2,671,1889.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR007,3,671,1555.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR008,0,671,1889.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR008,1,812,1889.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR008,2,812,1681.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR008,3,673,1681.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR009,0,747,1419.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR009,1,747,1610.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR009,2,844,1610.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR009,3,844,1419.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR010,0,812,1681.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR010,1,955,1681.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR010,2,955,1888.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR010,3,812,1889.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR011,0,844,1610.0,Arlington - 2221 S. Clark St,,,,,,,,,
ARLCLR011,1,946,1610.0,Arlington - 2221 S. Clark St,,,,,,,,,
