Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ARLCOU901,0,1839,1941.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU001,0,1994,2239.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU001,1,2268,2285.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU001,2,2288,2077.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU001,3,2021,2035.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU002,0,2288,2077.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU002,1,2551,2121.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU002,2,2526,2326.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU002,3,2268,2285.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU003,0,2551,2121.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU003,1,2743,2146.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU003,2,2721,2340.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU003,3,2528,2306.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU004,0,2721,2340.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU004,1,2743,2146.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU004,2,2726,2145.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU004,3,2715,2051.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU004,4,2895,2000.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU004,5,2968,2380.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU005,0,2715,2051.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU005,1,2696,1894.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU005,2,2871,1865.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU005,3,2895,2000.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU006,0,2696,1894.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU006,1,2663,1591.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU006,2,2832,1562.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU006,3,2871,1865.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU007,0,2831,1561.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU007,1,2815,1405.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU007,2,2642,1434.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU007,3,2663,1591.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU007,4,2831,1562.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU008,0,2300,2015.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU008,1,2181,1994.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU008,2,2181,1729.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU008,3,2301,1729.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU009,0,2300,2015.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU009,1,2469,2043.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU009,2,2469,1728.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU009,3,2301,1729.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU010,0,2469,2043.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU010,1,2662,2070.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU010,2,2620,1727.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU010,3,2469,1728.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU011,0,2620,1727.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU011,1,2606,1575.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU011,2,2444,1575.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU011,3,2444,1730.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU012,0,2444,1730.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU012,1,2444,1524.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU012,2,2300,1524.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU012,3,2301,1729.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU013,0,2300,1524.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU013,1,2181,1524.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU013,2,2181,1729.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU013,3,2301,1729.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU014,0,2218,1459.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
ARLCOU014,1,2338,1459.0,Arlington - 2311 Wilson Boulevard,,,,,,,,,
