Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ATLCON8001,0,1934,1506.0,Atlanta - 1 Concourse Pkwy,8001,,,,,,,,
ATLCON8001,1,2053,1389.0,Atlanta - 1 Concourse Pkwy,8001,,,,,,,,
ATLCON8001,2,2112,1448.0,Atlanta - 1 Concourse Pkwy,8001,,,,,,,,
ATLCON8001,3,1992,1565.0,Atlanta - 1 Concourse Pkwy,8001,,,,,,,,
ATLCON8003,0,2158,1439.0,Atlanta - 1 Concourse Pkwy,8003,,,,,,,,
ATLCON8003,1,2255,1343.0,Atlanta - 1 Concourse Pkwy,8003,,,,,,,,
ATLCON8003,2,2325,1412.0,Atlanta - 1 Concourse Pkwy,8003,,,,,,,,
ATLCON8003,3,2229,1508.0,Atlanta - 1 Concourse Pkwy,8003,,,,,,,,
ATLCON8004,0,1992,1565.0,Atlanta - 1 Concourse Pkwy,8004,,,,,,,,
ATLCON8004,1,2112,1448.0,Atlanta - 1 Concourse Pkwy,8004,,,,,,,,
ATLCON8004,2,2202,1535.0,Atlanta - 1 Concourse Pkwy,8004,,,,,,,,
ATLCON8004,3,2078,1655.0,Atlanta - 1 Concourse Pkwy,8004,,,,,,,,
ATLCON8005,0,2078,1655.0,Atlanta - 1 Concourse Pkwy,8005,,,,,,,,
ATLCON8005,1,2202,1535.0,Atlanta - 1 Concourse Pkwy,8005,,,,,,,,
ATLCON8005,2,2319,1654.0,Atlanta - 1 Concourse Pkwy,8005,,,,,,,,
ATLCON8005,3,2201,1773.0,Atlanta - 1 Concourse Pkwy,8005,,,,,,,,
ATLCON8006,0,2229,1508.0,Atlanta - 1 Concourse Pkwy,8006,,,,,,,,
ATLCON8006,1,2325,1412.0,Atlanta - 1 Concourse Pkwy,8006,,,,,,,,
ATLCON8006,2,2397,1485.0,Atlanta - 1 Concourse Pkwy,8006,,,,,,,,
ATLCON8006,3,2301,1579.0,Atlanta - 1 Concourse Pkwy,8006,,,,,,,,
ATLCON8007,0,2301,1579.0,Atlanta - 1 Concourse Pkwy,8007,,,,,,,,
ATLCON8007,1,2397,1485.0,Atlanta - 1 Concourse Pkwy,8007,,,,,,,,
ATLCON8007,2,2468,1555.0,Atlanta - 1 Concourse Pkwy,8007,,,,,,,,
ATLCON8007,3,2370,1651.0,Atlanta - 1 Concourse Pkwy,8007,,,,,,,,
ATLCON8008,0,2201,1773.0,Atlanta - 1 Concourse Pkwy,8008,,,,,,,,
ATLCON8008,1,2319,1654.0,Atlanta - 1 Concourse Pkwy,8008,,,,,,,,
ATLCON8008,2,2379,1713.0,Atlanta - 1 Concourse Pkwy,8008,,,,,,,,
ATLCON8008,3,2259,1831.0,Atlanta - 1 Concourse Pkwy,8008,,,,,,,,
ATLCON8009,0,2399,1680.0,Atlanta - 1 Concourse Pkwy,8009,,,,,,,,
ATLCON8009,1,2447,1632.0,Atlanta - 1 Concourse Pkwy,8009,,,,,,,,
ATLCON8009,2,2514,1696.0,Atlanta - 1 Concourse Pkwy,8009,,,,,,,,
ATLCON8009,3,2464,1745.0,Atlanta - 1 Concourse Pkwy,8009,,,,,,,,
ATLCON8010,0,2464,1745.0,Atlanta - 1 Concourse Pkwy,8010,,,,,,,,
ATLCON8010,1,2514,1696.0,Atlanta - 1 Concourse Pkwy,8010,,,,,,,,
ATLCON8010,2,2568,1753.0,Atlanta - 1 Concourse Pkwy,8010,,,,,,,,
ATLCON8010,3,2520,1802.0,Atlanta - 1 Concourse Pkwy,8010,,,,,,,,
ATLCON8011,0,2259,1830.0,Atlanta - 1 Concourse Pkwy,8011,,,,,,,,
ATLCON8011,1,2379,1713.0,Atlanta - 1 Concourse Pkwy,8011,,,,,,,,
ATLCON8011,2,2468,1802.0,Atlanta - 1 Concourse Pkwy,8011,,,,,,,,
ATLCON8011,3,2346,1923.0,Atlanta - 1 Concourse Pkwy,8011,,,,,,,,
ATLCON8012,0,2346,1923.0,Atlanta - 1 Concourse Pkwy,8012,,,,,,,,
ATLCON8012,1,2468,1802.0,Atlanta - 1 Concourse Pkwy,8012,,,,,,,,
ATLCON8012,2,2557,1892.0,Atlanta - 1 Concourse Pkwy,8012,,,,,,,,
ATLCON8012,3,2573,1892.0,Atlanta - 1 Concourse Pkwy,8012,,,,,,,,
ATLCON8012,4,2573,2017.0,Atlanta - 1 Concourse Pkwy,8012,,,,,,,,
ATLCON8012,5,2443,2017.0,Atlanta - 1 Concourse Pkwy,8012,,,,,,,,
ATLCON8013,0,2520,1802.0,Atlanta - 1 Concourse Pkwy,8013,,,,,,,,
ATLCON8013,1,2615,1703.0,Atlanta - 1 Concourse Pkwy,8013,,,,,,,,
ATLCON8013,2,2754,1842.0,Atlanta - 1 Concourse Pkwy,8013,,,,,,,,
ATLCON8013,3,2740,1855.0,Atlanta - 1 Concourse Pkwy,8013,,,,,,,,
ATLCON8013,4,2577,1855.0,Atlanta - 1 Concourse Pkwy,8013,,,,,,,,
ATLCON8014,0,2573,2017.0,Atlanta - 1 Concourse Pkwy,8014,,,,,,,,
