Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ATLPAC901,0,925,2365.0,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC001,0,439.9,2896.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC001,1,439.9,2784.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC001,2,665,2784.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC001,3,665,2896.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC002,0,668.6,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC002,1,779.3,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC002,2,779.3,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC002,3,668.6,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC003,0,668.6,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC003,1,559.7,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC003,2,559.7,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC003,3,668.6,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC004,0,559.7,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC004,1,445.4,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC004,2,445.4,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC004,3,559.7,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC005,0,445.4,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC005,1,332.2,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC005,2,332.2,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC005,3,445.4,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC006,0,332.2,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC006,1,93.8,3085.4,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC006,2,93.8,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC006,3,332.2,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC007,0,93.8,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC007,1,93.8,2860.3,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC007,2,273.5,2860.3,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC007,3,273.5,2951.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC008,0,273.5,2860.3,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC008,1,273.5,2765.9,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC008,2,93.8,2765.9,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC008,3,93.8,2860.3,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC009,0,273.5,2765.9,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC009,1,273.5,2675.2,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC009,2,93.8,2675.2,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC009,3,93.8,2765.9,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC010,0,273.5,2675.2,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC010,1,273.5,2569.3,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC010,2,93.8,2569.3,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC010,3,93.8,2675.2,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC011,0,273.5,2569.3,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC011,1,273.5,2473.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC011,2,95.7,2473.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC011,3,93.8,2569.3,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC012,0,273.5,2473.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC012,1,273.5,2383.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC012,2,93.8,2383.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC012,3,95.7,2473.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC013,0,273.5,2383.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC013,1,273.5,2326.7,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC013,2,333.4,2326.7,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC013,3,333.4,2148.8,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC013,4,93.8,2148.8,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC013,5,93.8,2383.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC014,0,439.9,2896.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC014,1,326.8,2896.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC014,2,326.8,2671.0,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC014,3,442.9,2671.0,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC015,0,442.9,2671.0,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC015,1,666.2,2671.0,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC015,2,665,2784.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC015,3,439.9,2784.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC016,0,722.5,2617.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC016,1,452,2617.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC016,2,452,2386.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC016,3,722.5,2386.6,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC017,0,452,2617.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
ATLPAC017,1,323.8,2617.1,Atlanta - 309 E Paces Ferry,4,,,,,,,,
