Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ATLMON001,0,2144,1003.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON001,1,2144,894.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON001,2,2245,910.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON001,3,2245,1002.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON002,0,1831,808.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON002,1,1831,648.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON002,2,2073,674.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON002,3,2073,832.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON003,0,2073,832.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON003,1,2073,674.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON003,2,2221,689.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON003,3,2221,847.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON004,0,2221,847.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON004,1,2221,689.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON004,2,2366,707.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON004,3,2366,867.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON005,0,2366,867.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON005,1,2366,707.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON005,2,2463,717.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON005,3,2463,879.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON006,0,2463,879.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON006,1,2463,717.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON006,2,2608,740.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON006,3,2608,899.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON007,0,2608,899.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON007,1,2608,740.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON007,2,2840,776.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON007,3,2840,934.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON008,0,2583,1200.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON008,1,2583,949.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON008,2,2792,980.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON008,3,2792,1202.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON009,0,2921,1028.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON009,1,2794,1028.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON009,2,2794,1113.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON009,3,2920,1113.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON0010,0,2920,1113.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON0010,1,2794,1113.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON0010,2,2794,1198.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON0010,3,2921,1198.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON011,0,2921,1198.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON011,1,2794,1198.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON011,2,2794,1291.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON011,3,2921,1291.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON012,0,2921,1291.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON012,1,2794,1291.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON012,2,2794,1389.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON012,3,2921,1389.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON013,0,2794,1389.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON013,1,2792,1202.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON013,2,2585,1202.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON013,3,2585,1390.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON014,0,2248,1259.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON014,1,2517,1259.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON014,2,2517,1090.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON014,3,2247,1090.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON015,0,2977,1195.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON015,1,3227,1195.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON015,2,3227,974.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON015,3,2975,974.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON016,0,2977,1195.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON016,1,3227,1195.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON016,2,3227,1419.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON016,3,3032,1419.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON016,4,3032,1442.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON016,5,2977,1442.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON017,0,2855,1652.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON017,1,3031,1652.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON017,2,3032,1442.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON017,3,2853,1442.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON018,0,2791,1598.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON018,1,2791,1444.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON018,2,2566,1444.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON018,3,2566,1599.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON019,0,2566,1599.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON019,1,2566,1444.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
ATLMON019,2,2428,1444.0,Atlanta - 3424 Peachtree Road NE,,,,,,,,,
