Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ATLPCM001BNH,0,780,6000.0,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM901,0,1622,5729.0,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM001,0,1640.754,5250.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM001,1,1759.754,5250.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM001,2,1759.754,5116.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM001,3,1639.754,5117.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM002,0,1759.754,5250.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM002,1,1914.754,5250.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM002,2,1914.754,5116.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM002,3,1759.754,5116.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM003,0,1914.754,5250.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM003,1,2095.504,5251.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM003,2,2095.504,5116.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM003,3,1914.754,5116.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM004,0,2095.504,5116.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM004,1,2299.504,5116.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM004,2,2299.504,5407.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM004,3,2094.504,5407.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM005,0,2094.504,5407.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM005,1,2094.504,5510.5,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM005,2,2299.504,5506.75,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM005,3,2299.504,5407.25,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM006,0,2094.504,5510.5,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM006,1,2094.504,5612.5,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM006,2,2299.504,5613.0,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM006,3,2299.504,5506.75,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM007,0,2094.504,5612.5,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM007,1,2094.504,5716.0,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM007,2,2300.504,5716.0,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM007,3,2299.504,5613.0,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM008,0,2094.504,5716.0,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM008,1,2094.504,5840.5,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM008,2,2300.504,5840.5,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM008,3,2300.504,5716.0,Atlanta - 675 Ponce de Leon,8,,,,,,,,
ATLPCM009,0,2094.504,5840.5,Atlanta - 675 Ponce de Leon,8,,,,,,,,
