Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ATLCEN901,0,1577,2835.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN001,0,1706.1,2991.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN001,1,1849.1,2991.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN001,2,1849.1,2866.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN001,3,1703.5,2866.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN002,0,1849.1,2866.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN002,1,1992.1,2866.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN002,2,1992.1,2991.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN002,3,1849.1,2991.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN003,0,1992.1,2991.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN003,1,2102.2,2991.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN003,2,2138.6,2957.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN003,3,2138.6,2856.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN003,4,2089.2,2809.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN003,5,2034.6,2866.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN003,6,1992.1,2866.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN004,0,2138.6,2856.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN004,1,2240,2856.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN004,2,2271.2,2824.8,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN004,3,2271.2,2723.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN004,4,2224.4,2676.6,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN004,5,2089.2,2809.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN005,0,1912.4,2739.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN005,1,1847.4,2739.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN005,2,1847.4,2819.6,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN005,3,1915,2819.6,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN006,0,1915,2819.6,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN006,1,1980,2819.6,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN006,2,1980,2739.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN006,3,1912.4,2739.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN007,0,1980,2819.6,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN007,1,2016.4,2819.6,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN007,2,2089.2,2744.2,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN007,3,2089.2,2658.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN007,4,1977.4,2658.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN008,0,1977.4,2658.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN008,1,1847.4,2658.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN008,2,1847.4,2739.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN008,3,1980,2739.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN009,0,2058,2528.4,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN009,1,2058,2609.0,Atlanta - 7000 Central Parkway,,,,,,,,,
ATLCEN009,2,1993,2609.0,Atlanta - 7000 Central Parkway,,,,,,,,,
