Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ATLBRA901,0,2227,825.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA001,0,1831,842.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA001,1,1691,842.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA001,2,1691,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA001,3,1831,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA002,0,1691,842.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA002,1,1548.666626,842.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA002,2,1548.666626,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA002,3,1691,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA003,0,1548.666626,842.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA003,1,1406.666626,842.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA003,2,1406.666626,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA003,3,1548.666626,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA004,0,1352.666687,841.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA004,1,1215.666687,841.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA004,2,1215.666687,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA004,3,1352.666687,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA005,0,1215.666687,841.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA005,1,1080,841.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA005,2,1080,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA005,3,1215.666687,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA006,0,1080,841.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA006,1,990.6666565,841.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA006,2,990.6666565,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA006,3,1080,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA007,0,990.6666565,841.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA007,1,904.6666565,841.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA007,2,904.6666565,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA007,3,990.6666565,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA008,0,901.6666565,891.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA008,1,821.6666565,891.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA008,2,724.6666565,1019.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA008,3,724.6666565,1072.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA008,4,903.6666565,1071.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA008,5,903.6666565,890.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA009,0,903.6666565,1071.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA009,1,990.6666565,1071.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA009,2,990.6666565,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA009,3,904.6666565,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA010,0,990.6666565,1071.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA010,1,1080.333313,1070.666656,Atlanta - 976 Brady,,,,,,,,,
ATLBRA010,2,1080,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA010,3,990.6666565,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA011,0,1080.333313,1070.666656,Atlanta - 976 Brady,,,,,,,,,
ATLBRA011,1,1216.333313,1070.666656,Atlanta - 976 Brady,,,,,,,,,
ATLBRA011,2,1215.666687,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA011,3,1080,959.0,Atlanta - 976 Brady,,,,,,,,,
ATLBRA012,0,1216.333313,1070.666656,Atlanta - 976 Brady,,,,,,,,,
ATLBRA012,1,1353.333313,1070.666656,Atlanta - 976 Brady,,,,,,,,,
ATLBRA012,2,1352.666687,959.0,Atlanta - 976 Brady,,,,,,,,,
