Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ATLPEA301,0,1338,2185.0,Atlanta - 999 Peachtree,1002,,,,,,,,
ATLPEA301,1,1395,2185.0,Atlanta - 999 Peachtree,1002,,,,,,,,
ATLPEA301,2,1395,2256.0,Atlanta - 999 Peachtree,1002,,,,,,,,
ATLPEA301,3,1338,2256.0,Atlanta - 999 Peachtree,1003,,,,,,,,
ATLPEA302,0,1339,2257.0,Atlanta - 999 Peachtree,1003,,,,,,,,
ATLPEA302,1,1395,2256.0,Atlanta - 999 Peachtree,1003,,,,,,,,
ATLPEA302,2,1395,2327.0,Atlanta - 999 Peachtree,1003,,,,,,,,
ATLPEA302,3,1337,2327.0,Atlanta - 999 Peachtree,1004,,,,,,,,
ATLPEA303,0,1395,2327.0,Atlanta - 999 Peachtree,1004,,,,,,,,
ATLPEA303,1,1469,2329.0,Atlanta - 999 Peachtree,1004,,,,,,,,
ATLPEA303,2,1470,2485.0,Atlanta - 999 Peachtree,1004,,,,,,,,
ATLPEA303,3,1396,2485.0,Atlanta - 999 Peachtree,1005,,,,,,,,
ATLPEA304,0,1469,2329.0,Atlanta - 999 Peachtree,1005,,,,,,,,
ATLPEA304,1,1470,2485.0,Atlanta - 999 Peachtree,1005,,,,,,,,
ATLPEA304,2,1546,2485.0,Atlanta - 999 Peachtree,1005,,,,,,,,
ATLPEA304,3,1546,2327.0,Atlanta - 999 Peachtree,1005,,,,,,,,
ATLPEA305,0,1546,2327.0,Atlanta - 999 Peachtree,1005,,,,,,,,
ATLPEA305,1,1546,2485.0,Atlanta - 999 Peachtree,1006,,,,,,,,
ATLPEA305,2,1655,2485.0,Atlanta - 999 Peachtree,1006,,,,,,,,
ATLPEA305,3,1655,2326.0,Atlanta - 999 Peachtree,1006,,,,,,,,
ATLPEA306,0,1655,2485.0,Atlanta - 999 Peachtree,1006,,,,,,,,
ATLPEA306,1,1655,2326.0,Atlanta - 999 Peachtree,1007,,,,,,,,
ATLPEA306,2,1728,2326.0,Atlanta - 999 Peachtree,1007,,,,,,,,
ATLPEA306,3,1728,2486.0,Atlanta - 999 Peachtree,1007,,,,,,,,
ATLPEA307,0,1728,2486.0,Atlanta - 999 Peachtree,1007,,,,,,,,
ATLPEA307,1,1728,2326.0,Atlanta - 999 Peachtree,1008,,,,,,,,
ATLPEA307,2,1905,2326.0,Atlanta - 999 Peachtree,1008,,,,,,,,
ATLPEA307,3,1905,2484.0,Atlanta - 999 Peachtree,1008,,,,,,,,
ATLPEA308,0,1905,2326.0,Atlanta - 999 Peachtree,1008,,,,,,,,
ATLPEA308,1,1905,2256.0,Atlanta - 999 Peachtree,1009,,,,,,,,
ATLPEA308,2,1847,2256.0,Atlanta - 999 Peachtree,1009,,,,,,,,
ATLPEA308,3,1847,2326.0,Atlanta - 999 Peachtree,1009,,,,,,,,
ATLPEA309,0,1847,2256.0,Atlanta - 999 Peachtree,1009,,,,,,,,
ATLPEA309,1,1905,2256.0,Atlanta - 999 Peachtree,1010,,,,,,,,
ATLPEA309,2,1905,2184.0,Atlanta - 999 Peachtree,1010,,,,,,,,
ATLPEA309,3,1846,2184.0,Atlanta - 999 Peachtree,1010,,,,,,,,
