Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ATLMARSTE-A,0,1428,1921.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-A,1,1428,1822.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-A,2,1477,1822.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-A,3,1477,1469.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-A,4,1426,1469.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-A,5,1426,1367.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-A,6,1474,1367.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-A,7,1474,800.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-A,8,881,800.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-A,9,662,1923.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,0,1579,2200.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,1,1478,2200.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,2,1478,2153.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,3,1285,2153.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,4,1285,1921.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,5,662,1923.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,6,498,2755.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,7,2787,2755.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,8,2787,2151.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,9,2588,2151.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,10,2588,2201.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,11,2492,2201.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,12,2492,2150.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-B,13,1579,2150.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-C,0,3114,1317.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-C,1,3928,1317.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-C,2,3826,800.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-C,3,3116,800.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-D,0,3114,1317.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-D,1,2346,1317.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-D,2,2346,800.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMARSTE-D,3,3116,800.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR001,0,2787,2755.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR001,1,3211,2755.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR001,2,3211,2479.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR001,3,2787,2479.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR002,0,3211,2479.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR002,1,3587,2479.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR002,2,3587,2753.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR002,3,3211,2755.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR003,0,3587,2479.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR003,1,4152,2479.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR003,2,4210,2752.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR003,3,3587,2753.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR004,0,3328,2389.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR004,1,3516,2389.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR004,2,3516,2150.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR004,3,3329,2150.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR005,0,3516,2389.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR005,1,3647,2389.0,Atlanta 101 Marietta St,,,,,,,,,
ATLMAR005,2,3647,2152.0,Atlanta 101 Marietta St,,,,,,,,,
