Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ATLWAR201,0,2880,1165.0,Atlanta Old Fourth,201,,,,,,,,
ATLWAR201,1,2880,1040.0,Atlanta Old Fourth,201,,,,,,,,
ATLWAR201,2,2760,1040.0,Atlanta Old Fourth,201,,,,,,,,
ATLWAR201,3,2760,1165.0,Atlanta Old Fourth,201,,,,,,,,
ATLWAR202,0,2880,1040.0,Atlanta Old Fourth,202,,,,,,,,
ATLWAR202,1,2880,910.0,Atlanta Old Fourth,202,,,,,,,,
ATLWAR202,2,2760,910.0,Atlanta Old Fourth,202,,,,,,,,
ATLWAR202,3,2760,1040.0,Atlanta Old Fourth,202,,,,,,,,
ATLWAR203,0,2880,910.0,Atlanta Old Fourth,203,,,,,,,,
ATLWAR203,1,2880,775.0,Atlanta Old Fourth,203,,,,,,,,
ATLWAR203,2,2760,775.0,Atlanta Old Fourth,203,,,,,,,,
ATLWAR203,3,2760,910.0,Atlanta Old Fourth,203,,,,,,,,
ATLWAR204,0,2880,775.0,Atlanta Old Fourth,204,,,,,,,,
ATLWAR204,1,2880,650.0,Atlanta Old Fourth,204,,,,,,,,
ATLWAR204,2,2760,650.0,Atlanta Old Fourth,204,,,,,,,,
ATLWAR204,3,2760,775.0,Atlanta Old Fourth,204,,,,,,,,
ATLWAR2X1,0,2760,650.0,Atlanta Old Fourth,2X1,,,,,,,,
ATLWAR2X1,1,2760,505.0,Atlanta Old Fourth,2X1,,,,,,,,
ATLWAR2X1,2,2825,505.0,Atlanta Old Fourth,2X1,,,,,,,,
ATLWAR2X1,3,2825,650.0,Atlanta Old Fourth,2X1,,,,,,,,
ATLWAR2ACC1,0,2760,1165.0,Atlanta Old Fourth,2ACC1,,,,,,,,
ATLWAR2ACC1,1,2620,1165.0,Atlanta Old Fourth,2ACC1,,,,,,,,
ATLWAR2ACC1,2,2625,505.0,Atlanta Old Fourth,2ACC1,,,,,,,,
ATLWAR2ACC1,3,2760,505.0,Atlanta Old Fourth,2ACC1,,,,,,,,
ATLWAR331,0,60,1965.0,Atlanta Old Fourth,331,,,,,,,,
ATLWAR331,1,60,1800.0,Atlanta Old Fourth,331,,,,,,,,
ATLWAR331,2,330,1800.0,Atlanta Old Fourth,331,,,,,,,,
ATLWAR331,3,330,1965.0,Atlanta Old Fourth,331,,,,,,,,
ATLWAR330,0,60,1800.0,Atlanta Old Fourth,330,,,,,,,,
ATLWAR330,1,60,1620.0,Atlanta Old Fourth,330,,,,,,,,
ATLWAR330,2,270,1620.0,Atlanta Old Fourth,330,,,,,,,,
ATLWAR330,3,270,1800.0,Atlanta Old Fourth,330,,,,,,,,
ATLWAR329,0,60,1620.0,Atlanta Old Fourth,329,,,,,,,,
ATLWAR329,1,60,1455.0,Atlanta Old Fourth,329,,,,,,,,
ATLWAR329,2,270,1455.0,Atlanta Old Fourth,329,,,,,,,,
ATLWAR329,3,270,1620.0,Atlanta Old Fourth,329,,,,,,,,
ATLWAR322,0,60,1455.0,Atlanta Old Fourth,322,,,,,,,,
ATLWAR322,1,60,1265.0,Atlanta Old Fourth,322,,,,,,,,
ATLWAR322,2,270,1265.0,Atlanta Old Fourth,322,,,,,,,,
ATLWAR322,3,270,1455.0,Atlanta Old Fourth,322,,,,,,,,
ATLWAR321,0,60,1265.0,Atlanta Old Fourth,321,,,,,,,,
ATLWAR321,1,60,1150.0,Atlanta Old Fourth,321,,,,,,,,
ATLWAR321,2,270,1150.0,Atlanta Old Fourth,321,,,,,,,,
ATLWAR321,3,270,1265.0,Atlanta Old Fourth,321,,,,,,,,
ATLWAR319,0,60,1150.0,Atlanta Old Fourth,319,,,,,,,,
ATLWAR319,1,60,1040.0,Atlanta Old Fourth,319,,,,,,,,
ATLWAR319,2,270,1040.0,Atlanta Old Fourth,319,,,,,,,,
ATLWAR319,3,270,1150.0,Atlanta Old Fourth,319,,,,,,,,
ATLWAR316,0,60,1040.0,Atlanta Old Fourth,316,,,,,,,,
ATLWAR316,1,60,915.0,Atlanta Old Fourth,316,,,,,,,,
ATLWAR316,2,270,915.0,Atlanta Old Fourth,316,,,,,,,,
ATLWAR316,3,270,1040.0,Atlanta Old Fourth,316,,,,,,,,
ATLWAR315,0,60,915.0,Atlanta Old Fourth,315,,,,,,,,
ATLWAR315,1,60,795.0,Atlanta Old Fourth,315,,,,,,,,
ATLWAR315,2,270,795.0,Atlanta Old Fourth,315,,,,,,,,
ATLWAR315,3,270,915.0,Atlanta Old Fourth,315,,,,,,,,
ATLWAR313,0,60,795.0,Atlanta Old Fourth,313,,,,,,,,
ATLWAR313,1,60,615.0,Atlanta Old Fourth,313,,,,,,,,
ATLWAR313,2,270,615.0,Atlanta Old Fourth,313,,,,,,,,
ATLWAR313,3,270,795.0,Atlanta Old Fourth,313,,,,,,,,
ATLWAR311,0,60,615.0,Atlanta Old Fourth,311,,,,,,,,
ATLWAR311,1,60,470.0,Atlanta Old Fourth,311,,,,,,,,
ATLWAR311,2,330,470.0,Atlanta Old Fourth,311,,,,,,,,
ATLWAR311,3,330,615.0,Atlanta Old Fourth,311,,,,,,,,
ATLWAR310,0,330,470.0,Atlanta Old Fourth,310,,,,,,,,
ATLWAR310,1,330,640.0,Atlanta Old Fourth,310,,,,,,,,
ATLWAR310,2,445,640.0,Atlanta Old Fourth,310,,,,,,,,
ATLWAR310,3,445,470.0,Atlanta Old Fourth,310,,,,,,,,
ATLWAR309,0,445,640.0,Atlanta Old Fourth,309,,,,,,,,
ATLWAR309,1,565,640.0,Atlanta Old Fourth,309,,,,,,,,
ATLWAR309,2,565,470.0,Atlanta Old Fourth,309,,,,,,,,
ATLWAR309,3,445,470.0,Atlanta Old Fourth,309,,,,,,,,
ATLWAR307,0,565,640.0,Atlanta Old Fourth,307,,,,,,,,
ATLWAR307,1,680,640.0,Atlanta Old Fourth,307,,,,,,,,
ATLWAR307,2,680,470.0,Atlanta Old Fourth,307,,,,,,,,
ATLWAR307,3,565,470.0,Atlanta Old Fourth,307,,,,,,,,
ATLWAR305,0,680,640.0,Atlanta Old Fourth,305,,,,,,,,
ATLWAR305,1,800,640.0,Atlanta Old Fourth,305,,,,,,,,
