Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AUS3RD1227,0,590,1765.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,1,570,1770.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,2,570,1965.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,3,520,1965.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,4,520,2015.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,5,395,2015.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,6,395,1895.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,7,410,1895.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,8,410,1845.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,9,360,1845.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,10,360,1860.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,11,235,1860.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,12,235,1740.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,13,290,1740.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,14,290,1685.0,Austin 301 Congress,1227,,,,,,,,
AUS3RD1227,15,590,1685.0,Austin 301 Congress,1227,,,,,,,,
AUS3RDPHN5,0,590,1685.0,Austin 301 Congress,PHN5,,,,,,,,
AUS3RDPHN5,1,495,1685.0,Austin 301 Congress,PHN5,,,,,,,,
AUS3RDPHN5,2,495,1510.0,Austin 301 Congress,PHN5,,,,,,,,
AUS3RDPHN5,3,590,1510.0,Austin 301 Congress,PHN5,,,,,,,,
AUS3RD1225,0,495,1685.0,Austin 301 Congress,1225,,,,,,,,
AUS3RD1225,1,370,1685.0,Austin 301 Congress,1225,,,,,,,,
AUS3RD1225,2,370,1510.0,Austin 301 Congress,1225,,,,,,,,
AUS3RD1225,3,495,1510.0,Austin 301 Congress,1225,,,,,,,,
AUS3RD1224,0,370,1685.0,Austin 301 Congress,1224,,,,,,,,
AUS3RD1224,1,370,1510.0,Austin 301 Congress,1224,,,,,,,,
AUS3RD1224,2,245,1510.0,Austin 301 Congress,1224,,,,,,,,
AUS3RD1224,3,245,1685.0,Austin 301 Congress,1224,,,,,,,,
AUS3RD1223,0,245,1685.0,Austin 301 Congress,1223,,,,,,,,
AUS3RD1223,1,245,1415.0,Austin 301 Congress,1223,,,,,,,,
AUS3RD1223,2,125,1415.0,Austin 301 Congress,1223,,,,,,,,
AUS3RD1223,3,125,1460.0,Austin 301 Congress,1223,,,,,,,,
AUS3RD1223,4,75,1460.0,Austin 301 Congress,1223,,,,,,,,
AUS3RD1223,5,75,1705.0,Austin 301 Congress,1223,,,,,,,,
AUS3RD1223,6,200,1705.0,Austin 301 Congress,1223,,,,,,,,
AUS3RD1223,7,200,1685.0,Austin 301 Congress,1223,,,,,,,,
AUS3RD1222,0,420,1410.0,Austin 301 Congress,1222,,,,,,,,
AUS3RD1222,1,420,1280.0,Austin 301 Congress,1222,,,,,,,,
AUS3RD1222,2,235,1280.0,Austin 301 Congress,1222,,,,,,,,
AUS3RD1222,3,235,1395.0,Austin 301 Congress,1222,,,,,,,,
AUS3RD1222,4,250,1395.0,Austin 301 Congress,1222,,,,,,,,
AUS3RD1222,5,250,1410.0,Austin 301 Congress,1222,,,,,,,,
AUS3RDCRM-D,0,420,1410.0,Austin 301 Congress,CRM-D,,,,,,,,
AUS3RDCRM-D,1,585,1410.0,Austin 301 Congress,CRM-D,,,,,,,,
AUS3RDCRM-D,2,585,1280.0,Austin 301 Congress,CRM-D,,,,,,,,
AUS3RDCRM-D,3,420,1280.0,Austin 301 Congress,CRM-D,,,,,,,,
AUS3RD1221,0,235,1280.0,Austin 301 Congress,1221,,,,,,,,
AUS3RD1221,1,235,1170.0,Austin 301 Congress,1221,,,,,,,,
