Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AUSBUR219,0,355,2975.0,Austin 7001 Burnet,219,,,,,,,,
AUSBUR219,1,355,2705.0,Austin 7001 Burnet,219,,,,,,,,
AUSBUR219,2,85,2705.0,Austin 7001 Burnet,219,,,,,,,,
AUSBUR219,3,85,2975.0,Austin 7001 Burnet,219,,,,,,,,
AUSBUR220,0,85,2705.0,Austin 7001 Burnet,220,,,,,,,,
AUSBUR220,1,85,2190.0,Austin 7001 Burnet,220,,,,,,,,
AUSBUR220,2,355,2190.0,Austin 7001 Burnet,220,,,,,,,,
AUSBUR220,3,355,2705.0,Austin 7001 Burnet,220,,,,,,,,
AUSBUR218,0,355,2975.0,Austin 7001 Burnet,218,,,,,,,,
AUSBUR218,1,480,2975.0,Austin 7001 Burnet,218,,,,,,,,
AUSBUR218,2,480,2790.0,Austin 7001 Burnet,218,,,,,,,,
AUSBUR218,3,355,2790.0,Austin 7001 Burnet,218,,,,,,,,
AUSBUR216,0,480,2975.0,Austin 7001 Burnet,216,,,,,,,,
AUSBUR216,1,610,2975.0,Austin 7001 Burnet,216,,,,,,,,
AUSBUR216,2,610,2790.0,Austin 7001 Burnet,216,,,,,,,,
AUSBUR216,3,480,2790.0,Austin 7001 Burnet,216,,,,,,,,
AUSBUR214,0,610,2975.0,Austin 7001 Burnet,214,,,,,,,,
AUSBUR214,1,735,2975.0,Austin 7001 Burnet,214,,,,,,,,
AUSBUR214,2,735,2865.0,Austin 7001 Burnet,214,,,,,,,,
AUSBUR214,3,780,2865.0,Austin 7001 Burnet,214,,,,,,,,
AUSBUR214,4,780,2790.0,Austin 7001 Burnet,214,,,,,,,,
AUSBUR214,5,610,2790.0,Austin 7001 Burnet,214,,,,,,,,
AUSBUR217,0,590,2580.0,Austin 7001 Burnet,217,,,,,,,,
AUSBUR217,1,590,2710.0,Austin 7001 Burnet,217,,,,,,,,
AUSBUR217,2,440,2710.0,Austin 7001 Burnet,217,,,,,,,,
AUSBUR217,3,440,2580.0,Austin 7001 Burnet,217,,,,,,,,
AUSBUR222,0,440,2580.0,Austin 7001 Burnet,222,,,,,,,,
AUSBUR222,1,440,2385.0,Austin 7001 Burnet,222,,,,,,,,
AUSBUR222,2,590,2385.0,Austin 7001 Burnet,222,,,,,,,,
AUSBUR222,3,590,2580.0,Austin 7001 Burnet,222,,,,,,,,
AUSBUR215,0,590,2580.0,Austin 7001 Burnet,215,,,,,,,,
AUSBUR215,1,705,2580.0,Austin 7001 Burnet,215,,,,,,,,
AUSBUR215,2,705,2710.0,Austin 7001 Burnet,215,,,,,,,,
AUSBUR215,3,590,2710.0,Austin 7001 Burnet,215,,,,,,,,
AUSBUR223,0,590,2580.0,Austin 7001 Burnet,223,,,,,,,,
AUSBUR223,1,705,2580.0,Austin 7001 Burnet,223,,,,,,,,
AUSBUR223,2,705,2385.0,Austin 7001 Burnet,223,,,,,,,,
AUSBUR223,3,590,2385.0,Austin 7001 Burnet,223,,,,,,,,
AUSBUR221,0,355,2300.0,Austin 7001 Burnet,221,,,,,,,,
AUSBUR221,1,725,2305.0,Austin 7001 Burnet,221,,,,,,,,
AUSBUR221,2,725,2065.0,Austin 7001 Burnet,221,,,,,,,,
AUSBUR221,3,355,2065.0,Austin 7001 Burnet,221,,,,,,,,
AUSBUR205,0,1610,2570.0,Austin 7001 Burnet,205,,,,,,,,
AUSBUR205,1,1775,2570.0,Austin 7001 Burnet,205,,,,,,,,
AUSBUR205,2,1775,2710.0,Austin 7001 Burnet,205,,,,,,,,
AUSBUR205,3,1610,2710.0,Austin 7001 Burnet,205,,,,,,,,
AUSBUR201,0,1775,2570.0,Austin 7001 Burnet,201,,,,,,,,
AUSBUR201,1,1340,2570.0,Austin 7001 Burnet,201,,,,,,,,
AUSBUR201,2,1340,2130.0,Austin 7001 Burnet,201,,,,,,,,
AUSBUR201,3,1775,2130.0,Austin 7001 Burnet,201,,,,,,,,
AUSBUR207,0,1610,2570.0,Austin 7001 Burnet,207,,,,,,,,
AUSBUR207,1,1490,2570.0,Austin 7001 Burnet,207,,,,,,,,
AUSBUR207,2,1490,2710.0,Austin 7001 Burnet,207,,,,,,,,
AUSBUR207,3,1610,2710.0,Austin 7001 Burnet,207,,,,,,,,
AUSBUR209,0,1490,2570.0,Austin 7001 Burnet,209,,,,,,,,
AUSBUR209,1,1365,2570.0,Austin 7001 Burnet,209,,,,,,,,
AUSBUR209,2,1365,2710.0,Austin 7001 Burnet,209,,,,,,,,
AUSBUR209,3,1490,2710.0,Austin 7001 Burnet,209,,,,,,,,
AUSBUR211,0,1365,2570.0,Austin 7001 Burnet,211,,,,,,,,
AUSBUR211,1,1245,2570.0,Austin 7001 Burnet,211,,,,,,,,
AUSBUR211,2,1245,2710.0,Austin 7001 Burnet,211,,,,,,,,
AUSBUR211,3,1365,2710.0,Austin 7001 Burnet,211,,,,,,,,
AUSBUR212,0,1245,2570.0,Austin 7001 Burnet,212,,,,,,,,
AUSBUR212,1,1125,2570.0,Austin 7001 Burnet,212,,,,,,,,
AUSBUR212,2,1125,2710.0,Austin 7001 Burnet,212,,,,,,,,
AUSBUR212,3,1245,2710.0,Austin 7001 Burnet,212,,,,,,,,
AUSBUR213,0,1125,2570.0,Austin 7001 Burnet,213,,,,,,,,
AUSBUR213,1,1000,2570.0,Austin 7001 Burnet,213,,,,,,,,
AUSBUR213,2,1000,2710.0,Austin 7001 Burnet,213,,,,,,,,
AUSBUR213,3,1125,2710.0,Austin 7001 Burnet,213,,,,,,,,
AUSBUR224,0,960,2560.0,Austin 7001 Burnet,224,,,,,,,,
AUSBUR224,1,960,2120.0,Austin 7001 Burnet,224,,,,,,,,
AUSBUR224,2,1340,2120.0,Austin 7001 Burnet,224,,,,,,,,
AUSBUR224,3,1340,2580.0,Austin 7001 Burnet,224,,,,,,,,
AUSBUR210,0,1465,2790.0,Austin 7001 Burnet,210,,,,,,,,
AUSBUR210,1,1340,2790.0,Austin 7001 Burnet,210,,,,,,,,
AUSBUR210,2,1340,2975.0,Austin 7001 Burnet,210,,,,,,,,
AUSBUR210,3,1465,2975.0,Austin 7001 Burnet,210,,,,,,,,
AUSBUR208,0,1465,2975.0,Austin 7001 Burnet,208,,,,,,,,
AUSBUR208,1,1595,2975.0,Austin 7001 Burnet,208,,,,,,,,
AUSBUR208,2,1595,2790.0,Austin 7001 Burnet,208,,,,,,,,
