Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AUSSEV238,0,340,1990.0,Austin E 7th St,238,,,,,,,,
AUSSEV238,1,345,1655.0,Austin E 7th St,238,,,,,,,,
AUSSEV238,2,145,1655.0,Austin E 7th St,238,,,,,,,,
AUSSEV238,3,160,1990.0,Austin E 7th St,238,,,,,,,,
AUSSEV239,0,340,1990.0,Austin E 7th St,239,,,,,,,,
AUSSEV239,1,530,1990.0,Austin E 7th St,239,,,,,,,,
AUSSEV239,2,530,1730.0,Austin E 7th St,239,,,,,,,,
AUSSEV239,3,345,1730.0,Austin E 7th St,239,,,,,,,,
AUSSEV237,0,530,1730.0,Austin E 7th St,237,,,,,,,,
AUSSEV237,1,530,1610.0,Austin E 7th St,237,,,,,,,,
AUSSEV237,2,405,1610.0,Austin E 7th St,237,,,,,,,,
AUSSEV237,3,405,1730.0,Austin E 7th St,237,,,,,,,,
AUSSEV236,0,345,1655.0,Austin E 7th St,236,,,,,,,,
AUSSEV236,1,345,1495.0,Austin E 7th St,236,,,,,,,,
AUSSEV236,2,145,1495.0,Austin E 7th St,236,,,,,,,,
AUSSEV236,3,145,1655.0,Austin E 7th St,236,,,,,,,,
AUSSEV234,0,345,1495.0,Austin E 7th St,234,,,,,,,,
AUSSEV234,1,345,1265.0,Austin E 7th St,234,,,,,,,,
AUSSEV234,2,140,1265.0,Austin E 7th St,234,,,,,,,,
AUSSEV234,3,145,1495.0,Austin E 7th St,234,,,,,,,,
AUSSEV232,0,345,1265.0,Austin E 7th St,232,,,,,,,,
AUSSEV232,1,345,1105.0,Austin E 7th St,232,,,,,,,,
AUSSEV232,2,135,1105.0,Austin E 7th St,232,,,,,,,,
AUSSEV232,3,140,1265.0,Austin E 7th St,232,,,,,,,,
AUSSEV229,0,345,1105.0,Austin E 7th St,229,,,,,,,,
AUSSEV229,1,345,955.0,Austin E 7th St,229,,,,,,,,
AUSSEV229,2,130,955.0,Austin E 7th St,229,,,,,,,,
AUSSEV229,3,135,1105.0,Austin E 7th St,229,,,,,,,,
AUSSEV228,0,345,955.0,Austin E 7th St,228,,,,,,,,
AUSSEV228,1,345,755.0,Austin E 7th St,228,,,,,,,,
AUSSEV228,2,125,755.0,Austin E 7th St,228,,,,,,,,
AUSSEV228,3,130,955.0,Austin E 7th St,228,,,,,,,,
AUSSEV227,0,345,755.0,Austin E 7th St,227,,,,,,,,
AUSSEV227,1,345,625.0,Austin E 7th St,227,,,,,,,,
AUSSEV227,2,380,625.0,Austin E 7th St,227,,,,,,,,
AUSSEV227,3,380,400.0,Austin E 7th St,227,,,,,,,,
AUSSEV227,4,120,390.0,Austin E 7th St,227,,,,,,,,
AUSSEV227,5,165,755.0,Austin E 7th St,227,,,,,,,,
AUSSEV226,0,380,625.0,Austin E 7th St,226,,,,,,,,
AUSSEV226,1,600,625.0,Austin E 7th St,226,,,,,,,,
AUSSEV226,2,600,410.0,Austin E 7th St,226,,,,,,,,
AUSSEV226,3,380,400.0,Austin E 7th St,226,,,,,,,,
AUSSEV224,0,600,625.0,Austin E 7th St,224,,,,,,,,
AUSSEV224,1,745,625.0,Austin E 7th St,224,,,,,,,,
AUSSEV224,2,745,415.0,Austin E 7th St,224,,,,,,,,
AUSSEV224,3,600,410.0,Austin E 7th St,224,,,,,,,,
AUSSEV223,0,745,625.0,Austin E 7th St,223,,,,,,,,
AUSSEV223,1,895,625.0,Austin E 7th St,223,,,,,,,,
AUSSEV223,2,895,420.0,Austin E 7th St,223,,,,,,,,
AUSSEV223,3,745,415.0,Austin E 7th St,223,,,,,,,,
AUSSEV221,0,895,625.0,Austin E 7th St,221,,,,,,,,
AUSSEV221,1,1090,625.0,Austin E 7th St,221,,,,,,,,
AUSSEV221,2,1090,430.0,Austin E 7th St,221,,,,,,,,
AUSSEV221,3,895,420.0,Austin E 7th St,221,,,,,,,,
AUSSEV235,0,525,1525.0,Austin E 7th St,235,,,,,,,,
AUSSEV235,1,525,1360.0,Austin E 7th St,235,,,,,,,,
AUSSEV235,2,410,1360.0,Austin E 7th St,235,,,,,,,,
AUSSEV235,3,410,1525.0,Austin E 7th St,235,,,,,,,,
AUSSEV233,0,410,1360.0,Austin E 7th St,233,,,,,,,,
AUSSEV233,1,410,1180.0,Austin E 7th St,233,,,,,,,,
AUSSEV233,2,575,1180.0,Austin E 7th St,233,,,,,,,,
AUSSEV233,3,575,1360.0,Austin E 7th St,233,,,,,,,,
AUSSEV00C,0,575,1360.0,Austin E 7th St,C,,,,,,,,
AUSSEV00C,1,730,1360.0,Austin E 7th St,C,,,,,,,,
AUSSEV00C,2,730,1180.0,Austin E 7th St,C,,,,,,,,
AUSSEV00C,3,575,1180.0,Austin E 7th St,C,,,,,,,,
AUSSEV00B,0,730,1360.0,Austin E 7th St,B,,,,,,,,
AUSSEV00B,1,975,1360.0,Austin E 7th St,B,,,,,,,,
AUSSEV00B,2,975,1180.0,Austin E 7th St,B,,,,,,,,
AUSSEV00B,3,730,1180.0,Austin E 7th St,B,,,,,,,,
