Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BEL108901,0,1262,3019.0,Bellevue - 500 108th,,,,,,,,,
BEL108001,0,1459.015625,3209.0,Bellevue - 500 108th,11,,,,,,,,
BEL108001,1,1643.015625,3209.0,Bellevue - 500 108th,11,,,,,,,,
BEL108001,2,1644.015625,2993.0,Bellevue - 500 108th,11,,,,,,,,
BEL108001,3,1459.015625,2993.0,Bellevue - 500 108th,11,,,,,,,,
BEL108002,0,1643.015625,3209.0,Bellevue - 500 108th,11,,,,,,,,
BEL108002,1,1764.015625,3209.0,Bellevue - 500 108th,11,,,,,,,,
BEL108002,2,1764.015625,2994.0,Bellevue - 500 108th,11,,,,,,,,
BEL108002,3,1643.015625,2993.0,Bellevue - 500 108th,11,,,,,,,,
BEL108003,0,1764.015625,3209.0,Bellevue - 500 108th,11,,,,,,,,
BEL108003,1,1886.015625,3209.0,Bellevue - 500 108th,11,,,,,,,,
BEL108003,2,1887.015625,2995.0,Bellevue - 500 108th,11,,,,,,,,
BEL108003,3,1764.015625,2994.0,Bellevue - 500 108th,11,,,,,,,,
BEL108004,0,1886.015625,2995.0,Bellevue - 500 108th,11,,,,,,,,
BEL108004,1,2055.015625,2995.0,Bellevue - 500 108th,11,,,,,,,,
BEL108004,2,2055.015625,3027.0,Bellevue - 500 108th,11,,,,,,,,
BEL108004,3,2069.015625,3027.0,Bellevue - 500 108th,11,,,,,,,,
BEL108004,4,2069.015625,3210.0,Bellevue - 500 108th,11,,,,,,,,
BEL108004,5,1886.015625,3209.0,Bellevue - 500 108th,11,,,,,,,,
BEL108005,0,1675.015625,2941.5,Bellevue - 500 108th,11,,,,,,,,
BEL108005,1,1775,2941.5,Bellevue - 500 108th,11,,,,,,,,
BEL108005,2,1775,2745.0,Bellevue - 500 108th,11,,,,,,,,
BEL108005,3,1675.015625,2745.0,Bellevue - 500 108th,11,,,,,,,,
BEL108006,0,1875.015625,2745.0,Bellevue - 500 108th,11,,,,,,,,
BEL108006,1,1775,2745.0,Bellevue - 500 108th,11,,,,,,,,
BEL108006,2,1775,2941.5,Bellevue - 500 108th,11,,,,,,,,
BEL108006,3,1875.015625,2941.5,Bellevue - 500 108th,11,,,,,,,,
BEL108007,0,1875.015625,2941.5,Bellevue - 500 108th,11,,,,,,,,
BEL108007,1,2012,2941.5,Bellevue - 500 108th,11,,,,,,,,
BEL108007,2,2012,2745.0,Bellevue - 500 108th,11,,,,,,,,
BEL108007,3,1875.015625,2745.0,Bellevue - 500 108th,11,,,,,,,,
BEL108008,0,2012,2941.5,Bellevue - 500 108th,11,,,,,,,,
BEL108008,1,2137.515625,2941.0,Bellevue - 500 108th,11,,,,,,,,
BEL108008,2,2137.515625,2841.0,Bellevue - 500 108th,11,,,,,,,,
BEL108008,3,2012,2841.0,Bellevue - 500 108th,11,,,,,,,,
BEL108009,0,2137.515625,2841.0,Bellevue - 500 108th,11,,,,,,,,
BEL108009,1,2137.515625,2745.0,Bellevue - 500 108th,11,,,,,,,,
BEL108009,2,2012,2745.0,Bellevue - 500 108th,11,,,,,,,,
BEL108009,3,2012,2841.0,Bellevue - 500 108th,11,,,,,,,,
BEL108010,0,1984.015625,2693.5,Bellevue - 500 108th,11,,,,,,,,
BEL108010,1,2137.015625,2693.5,Bellevue - 500 108th,11,,,,,,,,
BEL108010,2,2137.015625,2512.5,Bellevue - 500 108th,11,,,,,,,,
BEL108010,3,1982.015625,2512.5,Bellevue - 500 108th,11,,,,,,,,
BEL108011,0,2192.015625,3026.0,Bellevue - 500 108th,11,,,,,,,,
BEL108011,1,2372.015625,3026.0,Bellevue - 500 108th,11,,,,,,,,
