Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BETWIS901,0,2120,575.0,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,0,2533.5,522.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,1,2721.5,522.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,2,2721.5,370.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,3,2689.5,370.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,4,2689.5,343.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,5,2547.5,343.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,6,2535.5,377.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,7,2515.5,371.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,8,2483.5,461.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS001,9,2533.5,461.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS002,0,2721.5,522.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS002,1,2819,522.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS002,2,2819,344.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS002,3,2723,344.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS003,0,2819,522.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS003,1,2974.8,522.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS003,2,2974.8,370.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS003,3,2944.8,370.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS003,4,2944.8,343.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS003,5,2819,344.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS004,0,2974.8,522.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS004,1,3215.7,522.4,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS004,2,3215.7,369.2,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS004,3,3195.7,369.2,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
BETWIS004,4,3195.7,343.2,Bethesda - 7200 Wisconsin Ave,,,,,,,,,
