Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BETEAS101,0,431,1569.0,Bethesda East West,101,,,,,,,,
BETEAS101,1,555,1571.0,Bethesda East West,101,,,,,,,,
BETEAS101,2,555,1425.0,Bethesda East West,101,,, ,,,,,
BETEAS101,3,430,1426.0,Bethesda East West,101,,,,,,,,
BETEAS102,0,428,1716.0,Bethesda East West,102,,,,,,,,
BETEAS102,1,556,1717.0,Bethesda East West,102,,,,,,,,
BETEAS102,2,555,1571.0,Bethesda East West,102,,,,,,,,
BETEAS102,3,431,1569.0,Bethesda East West,102,,,,,,,,
BETEAS103,0,430,1795.0,Bethesda East West,103,,,,,,,,
BETEAS103,1,429,1717.0,Bethesda East West,103,,,,,,,,
BETEAS103,2,556,1717.0,Bethesda East West,103,,,,,,,,
BETEAS103,3,557,1794.0,Bethesda East West,103,,,,,,,,
BETEASSTE A,0,58,1573.0,Bethesda East West,104 (Suite A),,,,,,,,
BETEASSTE A,1,347,1572.0,Bethesda East West,104 (Suite A),,,,,,,,
BETEASSTE A,2,347,1497.0,Bethesda East West,104 (Suite A),,,,,,,,
BETEASSTE A,3,390,1497.0,Bethesda East West,104 (Suite A),,,,,,,,
BETEASSTE A,4,392,1426.0,Bethesda East West,104 (Suite A),,,,,,,,
BETEASSTE A,5,357,1426.0,Bethesda East West,104 (Suite A),,,,,,,,
BETEASSTE A,6,357,1349.0,Bethesda East West,104 (Suite A),,,,,,,,
BETEASSTE A,7,58,1348.0,Bethesda East West,104 (Suite A),,,,,,,,
BETEASSTE B,0,58,1744.0,Bethesda East West,105 (Suite B),,,,,,,,
BETEASSTE B,1,346,1744.0,Bethesda East West,105 (Suite B),,,,,,,,
BETEASSTE B,2,347,1668.0,Bethesda East West,105 (Suite B),,,,,,,,
BETEASSTE B,3,393,1668.0,Bethesda East West,105 (Suite B),,,,,,,,
BETEASSTE B,4,392,1574.0,Bethesda East West,105 (Suite B),,,,,,,,
BETEASSTE B,5,58,1573.0,Bethesda East West,105 (Suite B),,,,,,,,
BETEASSTE C,0,59,2074.0,Bethesda East West,106 (Suite C),,,,,,,,
BETEASSTE C,1,58,1744.0,Bethesda East West,106 (Suite C),,,,,,,,
BETEASSTE C,2,394,1746.0,Bethesda East West,106 (Suite C),,,,,,,,
BETEASSTE C,3,393,2076.0,Bethesda East West,106 (Suite C),,,,,,,,
BETEASSTE D,0,727,1745.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,1,724,1568.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,2,964,1571.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,3,963,1639.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,4,1041,1640.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,5,1041,1715.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,6,961,1717.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,7,957,1795.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,8,900,1795.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,9,899,1734.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,10,772,1734.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEASSTE D,11,770,1748.0,Bethesda East West,107 (Suite D),,,,,,,,
BETEAS201,0,1874,190.0,Bethesda East West,201,,,,,,,,
