Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXBEV101,0,"2,105",855.0,Beverly Hills,101,,,,,,,,
LAXBEV101,1,"2,105",695.0,Beverly Hills,101,,,,,,,,
LAXBEV101,2,"2,140",695.0,Beverly Hills,101,,,,,,,,
LAXBEV101,3,"2,140",650.0,Beverly Hills,101,,,,,,,,
LAXBEV101,4,"1,975",650.0,Beverly Hills,101,,,,,,,,
LAXBEV101,5,"1,970",855.0,Beverly Hills,101,,,,,,,,
LAXBEV102,0,"2,105",855.0,Beverly Hills,102,,,,,,,,
LAXBEV102,1,"2,205",855.0,Beverly Hills,102,,,,,,,,
LAXBEV102,2,"2,205",695.0,Beverly Hills,102,,,,,,,,
LAXBEV102,3,"2,105",695.0,Beverly Hills,102,,,,,,,,
LAXBEV103,0,"2,205",855.0,Beverly Hills,103,,,,,,,,
LAXBEV103,1,"2,315",855.0,Beverly Hills,103,,,,,,,,
LAXBEV103,2,"2,315",695.0,Beverly Hills,103,,,,,,,,
LAXBEV103,3,"2,205",695.0,Beverly Hills,103,,,,,,,,
LAXBEV104,0,"2,315",855.0,Beverly Hills,104,,,,,,,,
LAXBEV104,1,"2,435",855.0,Beverly Hills,104,,,,,,,,
LAXBEV104,2,"2,435",695.0,Beverly Hills,104,,,,,,,,
LAXBEV104,3,"2,315",695.0,Beverly Hills,104,,,,,,,,
LAXBEV105,0,"2,400",1045.0,Beverly Hills,105,,,,,,,,
LAXBEV105,1,"2,400",900.0,Beverly Hills,105,,,,,,,,
LAXBEV105,2,"2,325",900.0,Beverly Hills,105,,,,,,,,
LAXBEV105,3,"2,325",1045.0,Beverly Hills,105,,,,,,,,
LAXBEV106,0,"2,400",1045.0,Beverly Hills,106,,,,,,,,
LAXBEV106,1,"2,475",1045.0,Beverly Hills,106,,,,,,,,
LAXBEV106,2,"2,475",900.0,Beverly Hills,106,,,,,,,,
LAXBEV106,3,"2,400",900.0,Beverly Hills,106,,,,,,,,
LAXBEV107,0,"2,435",855.0,Beverly Hills,107,,,,,,,,
LAXBEV107,1,"2,545",855.0,Beverly Hills,107,,,,,,,,
LAXBEV107,2,"2,545",695.0,Beverly Hills,107,,,,,,,,
LAXBEV107,3,"2,435",695.0,Beverly Hills,107,,,,,,,,
LAXBEV108,0,"2,475",1045.0,Beverly Hills,108,,,,,,,,
LAXBEV108,1,"2,550",1045.0,Beverly Hills,108,,,,,,,,
LAXBEV108,2,"2,550",900.0,Beverly Hills,108,,,,,,,,
LAXBEV108,3,"2,475",900.0,Beverly Hills,108,,,,,,,,
LAXBEV109,0,"2,545",855.0,Beverly Hills,109,,,,,,,,
LAXBEV109,1,"2,625",855.0,Beverly Hills,109,,,,,,,,
LAXBEV109,2,"2,625",695.0,Beverly Hills,109,,,,,,,,
LAXBEV109,3,"2,545",695.0,Beverly Hills,109,,,,,,,,
LAXBEV110,0,"2,550",1045.0,Beverly Hills,110,,,,,,,,
LAXBEV110,1,"2,620",1045.0,Beverly Hills,110,,,,,,,,
LAXBEV110,2,"2,620",900.0,Beverly Hills,110,,,,,,,,
LAXBEV110,3,"2,550",900.0,Beverly Hills,110,,,,,,,,
LAXBEV111,0,"2,625",855.0,Beverly Hills,111,,,,,,,,
LAXBEV111,1,"2,700",855.0,Beverly Hills,111,,,,,,,,
LAXBEV111,2,"2,700",695.0,Beverly Hills,111,,,,,,,,
LAXBEV111,3,"2,625",695.0,Beverly Hills,111,,,,,,,,
LAXBEV112,0,"2,700",855.0,Beverly Hills,112,,,,,,,,
LAXBEV112,1,"2,780",855.0,Beverly Hills,112,,,,,,,,
LAXBEV112,2,"2,780",695.0,Beverly Hills,112,,,,,,,,
LAXBEV112,3,"2,700",695.0,Beverly Hills,112,,,,,,,,
LAXBEV113,0,"2,620",1045.0,Beverly Hills,113,,,,,,,,
LAXBEV113,1,"2,760",1045.0,Beverly Hills,113,,,,,,,,
LAXBEV113,2,"2,760",900.0,Beverly Hills,113,,,,,,,,
LAXBEV113,3,"2,620",900.0,Beverly Hills,113,,,,,,,,
LAXBEV114,0,"2,780",855.0,Beverly Hills,114,,,,,,,,
LAXBEV114,1,"2,885",855.0,Beverly Hills,114,,,,,,,,
LAXBEV114,2,"2,885",695.0,Beverly Hills,114,,,,,,,,
LAXBEV114,3,"2,780",695.0,Beverly Hills,114,,,,,,,,
LAXBEV115,0,"2,760",1045.0,Beverly Hills,115,,,,,,,,
LAXBEV115,1,"2,845",1045.0,Beverly Hills,115,,,,,,,,
LAXBEV115,2,"2,845",900.0,Beverly Hills,115,,,,,,,,
LAXBEV115,3,"2,760",900.0,Beverly Hills,115,,,,,,,,
LAXBEV116,0,"2,885",855.0,Beverly Hills,116,,,,,,,,
LAXBEV116,1,"3,020",855.0,Beverly Hills,116,,,,,,,,
LAXBEV116,2,"3,020",650.0,Beverly Hills,116,,,,,,,,
LAXBEV116,3,"2,845",650.0,Beverly Hills,116,,,,,,,,
LAXBEV116,4,"2,845",695.0,Beverly Hills,116,,,,,,,,
LAXBEV116,5,"2,885",695.0,Beverly Hills,116,,,,,,,,
LAXBEV117,0,"2,845",1045.0,Beverly Hills,117,,,,,,,,
LAXBEV117,1,"2,990",1045.0,Beverly Hills,117,,,,,,,,
LAXBEV117,2,"2,990",900.0,Beverly Hills,117,,,,,,,,
LAXBEV117,3,"2,845",900.0,Beverly Hills,117,,,,,,,,
LAXBEV118,0,"2,990",1045.0,Beverly Hills,118,,,,,,,,
LAXBEV118,1,"3,090",1045.0,Beverly Hills,118,,,,,,,,
LAXBEV118,2,"3,090",900.0,Beverly Hills,118,,,,,,,,
LAXBEV118,3,"2,990",900.0,Beverly Hills,118,,,,,,,,
LAXBEV119,0,"3,265",965.0,Beverly Hills,119,,,,,,,,
LAXBEV119,1,"3,265",855.0,Beverly Hills,119,,,,,,,,
LAXBEV119,2,"3,140",855.0,Beverly Hills,119,,,,,,,,
LAXBEV119,3,"3,140",965.0,Beverly Hills,119,,,,,,,,
LAXBEV120,0,"3,140",965.0,Beverly Hills,120,,,,,,,,
LAXBEV120,1,"3,140",1055.0,Beverly Hills,120,,,,,,,,
LAXBEV120,2,"3,265",1055.0,Beverly Hills,120,,,,,,,,
LAXBEV120,3,"3,265",965.0,Beverly Hills,120,,,,,,,,
LAXBEV121,0,"3,090",1045.0,Beverly Hills,121,,,,,,,,
LAXBEV121,1,"3,090",1185.0,Beverly Hills,121,,,,,,,,
LAXBEV121,2,"2,990",1185.0,Beverly Hills,121,,,,,,,,
LAXBEV121,3,"2,990",1045.0,Beverly Hills,121,,,,,,,,
LAXBEV122,0,"3,140",1055.0,Beverly Hills,122,,,,,,,,
LAXBEV122,1,"3,140",1140.0,Beverly Hills,122,,,,,,,,
LAXBEV122,2,"3,265",1140.0,Beverly Hills,122,,,,,,,,
LAXBEV122,3,"3,265",1055.0,Beverly Hills,122,,,,,,,,
LAXBEV123,0,"3,140",1140.0,Beverly Hills,123,,,,,,,,
