Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOCAFS101,0,"1,165",405.0,Boca Raton Fountain Sq,101,,,,,,,,
BOCAFS101,1,"1,165",70.0,Boca Raton Fountain Sq,101,,,,,,,,
BOCAFS101,2,805,70.0,Boca Raton Fountain Sq,101,,,,,,,,
BOCAFS101,3,805,405.0,Boca Raton Fountain Sq,101,,,,,,,,
BOCAFS102,0,"1,165",405.0,Boca Raton Fountain Sq,102,,,,,,,,
BOCAFS102,1,"1,430",405.0,Boca Raton Fountain Sq,102,,,,,,,,
BOCAFS102,2,"1,430",70.0,Boca Raton Fountain Sq,102,,,,,,,,
BOCAFS102,3,"1,165",70.0,Boca Raton Fountain Sq,102,,,,,,,,
BOCAFS103,0,"1,430",405.0,Boca Raton Fountain Sq,103,,,,,,,,
BOCAFS103,1,"1,705",405.0,Boca Raton Fountain Sq,103,,,,,,,,
BOCAFS103,2,"1,705",70.0,Boca Raton Fountain Sq,103,,,,,,,,
BOCAFS103,3,"1,430",70.0,Boca Raton Fountain Sq,103,,,,,,,,
BOCAFS104,0,"1,705",405.0,Boca Raton Fountain Sq,104,,,,,,,,
BOCAFS104,1,"1,980",405.0,Boca Raton Fountain Sq,104,,,,,,,,
BOCAFS104,2,"1,980",70.0,Boca Raton Fountain Sq,104,,,,,,,,
BOCAFS104,3,"1,705",70.0,Boca Raton Fountain Sq,104,,,,,,,,
BOCAFS105,0,"1,980",405.0,Boca Raton Fountain Sq,105,,,,,,,,
BOCAFS105,1,"2,265",405.0,Boca Raton Fountain Sq,105,,,,,,,,
BOCAFS105,2,"2,265",70.0,Boca Raton Fountain Sq,105,,,,,,,,
BOCAFS105,3,"1,980",70.0,Boca Raton Fountain Sq,105,,,,,,,,
BOCAFS106,0,"2,265",405.0,Boca Raton Fountain Sq,106,,,,,,,,
BOCAFS106,1,"2,545",405.0,Boca Raton Fountain Sq,106,,,,,,,,
BOCAFS106,2,"2,545",70.0,Boca Raton Fountain Sq,106,,,,,,,,
BOCAFS106,3,"2,265",70.0,Boca Raton Fountain Sq,106,,,,,,,,
BOCAFS107,0,"2,545",405.0,Boca Raton Fountain Sq,107,,,,,,,,
BOCAFS107,1,"2,790",405.0,Boca Raton Fountain Sq,107,,,,,,,,
BOCAFS107,2,"2,790",70.0,Boca Raton Fountain Sq,107,,,,,,,,
BOCAFS107,3,"2,545",70.0,Boca Raton Fountain Sq,107,,,,,,,,
BOCAFS108,0,"2,790",70.0,Boca Raton Fountain Sq,108,,,,,,,,
BOCAFS108,1,"3,130",70.0,Boca Raton Fountain Sq,108,,,,,,,,
BOCAFS108,2,"3,130",490.0,Boca Raton Fountain Sq,108,,,,,,,,
BOCAFS108,3,"2,790",495.0,Boca Raton Fountain Sq,108,,,,,,,,
BOCAFS109,0,"3,130",490.0,Boca Raton Fountain Sq,109,,,,,,,,
BOCAFS109,1,"3,130",770.0,Boca Raton Fountain Sq,109,,,,,,,,
BOCAFS109,2,"2,790",770.0,Boca Raton Fountain Sq,109,,,,,,,,
BOCAFS109,3,"2,790",495.0,Boca Raton Fountain Sq,109,,,,,,,,
BOCAFS110,0,"3,130",770.0,Boca Raton Fountain Sq,110,,,,,,,,
BOCAFS110,1,"3,130",1050.0,Boca Raton Fountain Sq,110,,,,,,,,
BOCAFS110,2,"2,790",1050.0,Boca Raton Fountain Sq,110,,,,,,,,
BOCAFS110,3,"2,790",770.0,Boca Raton Fountain Sq,110,,,,,,,,
BOCAFS111,0,"3,130",1050.0,Boca Raton Fountain Sq,111,,,,,,,,
BOCAFS111,1,"3,130",1305.0,Boca Raton Fountain Sq,111,,,,,,,,
BOCAFS111,2,"2,790",1305.0,Boca Raton Fountain Sq,111,,,,,,,,
BOCAFS111,3,"2,790",1050.0,Boca Raton Fountain Sq,111,,,,,,,,
BOCAFS112,0,"3,130",1305.0,Boca Raton Fountain Sq,112,,,,,,,,
BOCAFS112,1,"3,130",1610.0,Boca Raton Fountain Sq,112,,,,,,,,
BOCAFS112,2,"2,790",1615.0,Boca Raton Fountain Sq,112,,,,,,,,
BOCAFS112,3,"2,790",1305.0,Boca Raton Fountain Sq,112,,,,,,,,
BOCAFS113,0,"3,130",1610.0,Boca Raton Fountain Sq,113,,,,,,,,
BOCAFS113,1,"3,130",1945.0,Boca Raton Fountain Sq,113,,,,,,,,
BOCAFS113,2,"2,790",1945.0,Boca Raton Fountain Sq,113,,,,,,,,
BOCAFS113,3,"2,790",1615.0,Boca Raton Fountain Sq,113,,,,,,,,
BOCAFS114,0,"3,130",1945.0,Boca Raton Fountain Sq,114,,,,,,,,
BOCAFS114,1,"3,130",2375.0,Boca Raton Fountain Sq,114,,,,,,,,
BOCAFS114,2,"2,790",2375.0,Boca Raton Fountain Sq,114,,,,,,,,
BOCAFS114,3,"2,790",1945.0,Boca Raton Fountain Sq,114,,,,,,,,
BOCAFS115,0,"2,790",2375.0,Boca Raton Fountain Sq,115,,,,,,,,
BOCAFS115,1,"2,545",2375.0,Boca Raton Fountain Sq,115,,,,,,,,
BOCAFS115,2,"2,545",2030.0,Boca Raton Fountain Sq,115,,,,,,,,
BOCAFS115,3,"2,790",2030.0,Boca Raton Fountain Sq,115,,,,,,,,
BOCAFS116,0,"2,545",2375.0,Boca Raton Fountain Sq,116,,,,,,,,
BOCAFS116,1,"2,265",2375.0,Boca Raton Fountain Sq,116,,,,,,,,
BOCAFS116,2,"2,265",2030.0,Boca Raton Fountain Sq,116,,,,,,,,
BOCAFS116,3,"2,545",2030.0,Boca Raton Fountain Sq,116,,,,,,,,
BOCAFS117,0,"2,265",2375.0,Boca Raton Fountain Sq,117,,,,,,,,
BOCAFS117,1,"1,985",2375.0,Boca Raton Fountain Sq,117,,,,,,,,
BOCAFS117,2,"1,985",2030.0,Boca Raton Fountain Sq,117,,,,,,,,
BOCAFS117,3,"2,265",2030.0,Boca Raton Fountain Sq,117,,,,,,,,
BOCAFS118,0,"1,985",2375.0,Boca Raton Fountain Sq,118,,,,,,,,
BOCAFS118,1,"1,705",2375.0,Boca Raton Fountain Sq,118,,,,,,,,
BOCAFS118,2,"1,705",2030.0,Boca Raton Fountain Sq,118,,,,,,,,
BOCAFS118,3,"1,985",2030.0,Boca Raton Fountain Sq,118,,,,,,,,
