Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOSSUM901,0,1131,1261.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM001,0,340.7539063,851.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM001,1,476.7539063,851.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM001,2,476.7539063,724.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM001,3,339.7539063,723.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM001,4,339.7539063,849.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM002,0,339.7539063,723.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM002,1,339.7539063,567.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM002,2,476.7539063,567.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM002,3,476.7539063,724.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM003,0,339.7539063,567.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM003,1,339.7539063,355.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM003,2,476.7539063,355.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM003,3,476.7539063,567.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM004,0,476.7539063,355.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM004,1,610.7539063,355.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM004,2,610.7539063,568.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM004,3,476.7539063,567.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM005,0,610.7539063,568.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM005,1,610.7539063,724.75,Boston - 100 Summer,16,,,,,,,,
BOSSUM005,2,476.7539063,724.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM005,3,476.7539063,567.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM006,0,610.7539063,724.75,Boston - 100 Summer,16,,,,,,,,
BOSSUM006,1,610.7539063,851.5,Boston - 100 Summer,16,,,,,,,,
BOSSUM006,2,476.7539063,851.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM006,3,476.7539063,724.0,Boston - 100 Summer,16,,,,,,,,
BOSSUM007,0,665.0039063,851.25,Boston - 100 Summer,16,,,,,,,,
BOSSUM007,1,786.0039063,849.75,Boston - 100 Summer,16,,,,,,,,
BOSSUM007,2,786.0039063,756.25,Boston - 100 Summer,16,,,,,,,,
BOSSUM007,3,665.0039063,756.25,Boston - 100 Summer,16,,,,,,,,
BOSSUM008,0,665.0039063,756.25,Boston - 100 Summer,16,,,,,,,,
BOSSUM008,1,665.0039063,662.25,Boston - 100 Summer,16,,,,,,,,
BOSSUM008,2,786.0039063,663.25,Boston - 100 Summer,16,,,,,,,,
BOSSUM008,3,786.0039063,756.25,Boston - 100 Summer,16,,,,,,,,
