Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOSWHA001,0,431.3333359,183.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA001,1,388.3333359,183.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA001,2,388.3333359,134.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA001,3,423.3333359,134.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA001,4,423.3333359,125.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA001,5,432.3333359,125.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA001,6,432.3333359,183.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA002,0,388.3333359,183.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA002,1,329.3333359,183.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA002,2,329.3333359,111.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA002,3,379.3333359,111.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA002,4,379.3333359,134.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA002,5,388.3333359,134.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA003,0,309.3333359,183.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA003,1,246.3333359,183.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA003,2,246.3333359,111.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA003,3,309.3333359,111.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA004,0,246.3333359,183.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA004,1,194,183.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA004,2,194,110.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA004,3,246.3333359,111.0,Boston - 22 Boston Wharf,,,,,,,,,
BOSWHA005,0,194,183.0,Boston - 22 Boston Wharf,,,,,,,,,
