Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOSBOY901,0,1650,735.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,0,1229.515625,411.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,1,1229.515625,558.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,2,880.015625,558.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,3,880.015625,232.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,4,1123.015625,232.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,5,1122.015625,247.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,6,1155.015625,247.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,7,1155.015625,297.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,8,1204.015625,297.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY001,9,1204.015625,412.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY002,0,880.015625,558.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY002,1,648.515625,558.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY002,2,648.515625,268.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY002,3,880.515625,268.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY003,0,648.515625,558.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY003,1,426.015625,558.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY003,2,426.015625,267.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY003,3,648.515625,268.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY004,0,424.015625,236.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY004,1,424.015625,683.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY004,2,127.015625,683.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY004,3,127.015625,581.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY004,4,80.015625,581.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY004,5,80.015625,471.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY004,6,127.015625,472.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY004,7,127.015625,236.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY005,0,424.015625,683.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY005,1,424.015625,989.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY005,2,87.015625,989.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY005,3,87.015625,874.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY005,4,127.015625,874.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY005,5,127.015625,683.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY006,0,424.015625,989.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY006,1,424.015625,1221.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY006,2,87.015625,1221.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY006,3,87.015625,989.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY007,0,424.015625,1221.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY007,1,424.015625,1488.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY007,2,128.015625,1488.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY007,3,128.015625,1334.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY007,4,87.015625,1334.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY007,5,87.015625,1221.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY008,0,424.015625,1488.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY008,1,424.015625,1948.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY008,2,127.015625,1948.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY008,3,127.015625,1721.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY008,4,78.015625,1721.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY008,5,78.015625,1612.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY008,6,127.015625,1612.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY008,7,128.015625,1488.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY009,0,544.515625,1921.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY009,1,856.515625,1921.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY009,2,856.515625,1580.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY009,3,545.515625,1580.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY010,0,1073.515625,825.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY010,1,1073.515625,646.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY010,2,880.515625,646.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY010,3,880.515625,823.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY011,0,880.515625,646.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY011,1,702.515625,649.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY011,2,702.515625,922.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY011,3,880.515625,922.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY011,4,880.515625,648.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY012,0,702.515625,922.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY012,1,520.515625,922.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY012,2,520.515625,653.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY012,3,702.515625,649.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY013,0,520.515625,922.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY013,1,520.515625,1299.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY013,2,880.515625,1299.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY013,3,880.515625,922.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY014,0,520.515625,1299.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY014,1,520.515625,1490.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY014,2,692.515625,1490.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY014,3,692.515625,1299.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY015,0,692.515625,1490.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY015,1,862.515625,1490.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY015,2,861.515625,1299.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY015,3,692.515625,1299.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY016,0,2127.515625,1944.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY016,1,2421.515625,1944.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY016,2,2421.515625,1909.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY016,3,2444.515625,1909.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY016,4,2444.515625,1751.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY016,5,2228.515625,1751.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY016,6,2228.515625,1778.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY016,7,2127.515625,1778.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY017,0,2228.515625,1751.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY017,1,2228.515625,1580.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY017,2,2444.515625,1580.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY017,3,2444.515625,1751.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY018,0,2444.515625,1580.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY018,1,2750.515625,1580.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY018,2,2750.515625,1920.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY018,3,2444.515625,1920.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY019,0,2217.515625,1491.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY019,1,2501.515625,1491.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY019,2,2501.515625,1123.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY019,3,2219.515625,1123.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY020,0,2501.515625,1491.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY020,1,2776.515625,1491.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY020,2,2776.515625,1307.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY020,3,2502.515625,1307.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY021,0,2776.515625,1307.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY021,1,2776.515625,1032.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY021,2,2500.515625,1032.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY021,3,2502.515625,1307.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY022,0,2867.515625,1948.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY022,1,3171.515625,1948.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY022,2,3171.515625,1718.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY022,3,3225.515625,1718.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY022,4,3225.515625,1607.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY022,5,3170.515625,1607.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY022,6,3170.515625,1489.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY022,7,2866.515625,1489.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY023,0,2866.515625,1489.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY023,1,2866.515625,1314.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY023,2,3170.515625,1314.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY023,3,3170.515625,1489.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY024,0,2866.515625,1314.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY024,1,2866.515625,1090.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY024,2,3219.515625,1090.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY024,3,3219.515625,1314.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY025,0,2866.515625,1090.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY025,1,2866.515625,749.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY025,2,3170.515625,749.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY025,3,3170.515625,869.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY025,4,3220.515625,868.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY025,5,3219.515625,1090.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY026,0,2866.515625,749.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY026,1,2866.515625,233.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY026,2,3170.515625,233.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY026,3,3170.515625,463.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY026,4,3227.515625,463.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY026,5,3227.515625,576.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY026,6,3169.515625,576.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY026,7,3170.515625,749.0,Boston - 855 Boylston,10,,,,,,,,
BOSBOY027,0,2642.515625,558.5,Boston - 855 Boylston,10,,,,,,,,
BOSBOY027,1,2866.515625,558.5,Boston - 855 Boylston,10,,,,,,,,
