Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOSFEN201,0,"2,645",605.0,Boston Fenway,201,,,,,,,,
BOSFEN201,1,"2,850",605.0,Boston Fenway,201,,,,,,,,
BOSFEN201,2,"2,850",375.0,Boston Fenway,201,,,,,,,,
BOSFEN201,3,"2,645",375.0,Boston Fenway,201,,,,,,,,
BOSFEN202,0,"2,645",605.0,Boston Fenway,202,,,,,,,,
BOSFEN202,1,"2,645",840.0,Boston Fenway,202,,,,,,,,
BOSFEN202,2,"2,850",840.0,Boston Fenway,202,,,,,,,,
BOSFEN202,3,"2,850",605.0,Boston Fenway,202,,,,,,,,
BOSFEN203,0,"2,580",875.0,Boston Fenway,203,,,,,,,,
BOSFEN203,1,"2,580",715.0,Boston Fenway,203,,,,,,,,
BOSFEN203,2,"2,405",715.0,Boston Fenway,203,,,,,,,,
BOSFEN203,3,"2,405",875.0,Boston Fenway,203,,,,,,,,
BOSFEN204,0,"2,580",875.0,Boston Fenway,204,,,,,,,,
BOSFEN204,1,"2,580",1015.0,Boston Fenway,204,,,,,,,,
BOSFEN204,2,"2,405",1015.0,Boston Fenway,204,,,,,,,,
BOSFEN204,3,"2,405",875.0,Boston Fenway,204,,,,,,,,
BOSFEN205,0,"2,580",1015.0,Boston Fenway,205,,,,,,,,
BOSFEN205,1,"2,580",1160.0,Boston Fenway,205,,,,,,,,
BOSFEN205,2,"2,405",1160.0,Boston Fenway,205,,,,,,,,
BOSFEN205,3,"2,405",1015.0,Boston Fenway,205,,,,,,,,
BOSFEN206,0,"2,850",840.0,Boston Fenway,206,,,,,,,,
BOSFEN206,1,"2,850",1160.0,Boston Fenway,206,,,,,,,,
BOSFEN206,2,"2,645",1160.0,Boston Fenway,206,,,,,,,,
BOSFEN206,3,"2,645",840.0,Boston Fenway,206,,,,,,,,
BOSFEN207,0,"2,850",1160.0,Boston Fenway,207,,,,,,,,
BOSFEN207,1,"2,850",1475.0,Boston Fenway,207,,,,,,,,
BOSFEN207,2,"2,645",1475.0,Boston Fenway,207,,,,,,,,
BOSFEN207,3,"2,645",1160.0,Boston Fenway,207,,,,,,,,
BOSFEN208,0,"2,580",1160.0,Boston Fenway,208,,,,,,,,
BOSFEN208,1,"2,580",1310.0,Boston Fenway,208,,,,,,,,
BOSFEN208,2,"2,405",1310.0,Boston Fenway,208,,,,,,,,
BOSFEN208,3,"2,405",1160.0,Boston Fenway,208,,,,,,,,
BOSFEN209,0,"2,850",1475.0,Boston Fenway,209,,,,,,,,
BOSFEN209,1,"2,850",1690.0,Boston Fenway,209,,,,,,,,
BOSFEN209,2,"2,645",1690.0,Boston Fenway,209,,,,,,,,
BOSFEN209,3,"2,645",1475.0,Boston Fenway,209,,,,,,,,
BOSFEN210,0,"2,645",1690.0,Boston Fenway,210,,,,,,,,
BOSFEN210,1,"2,475",1690.0,Boston Fenway,210,,,,,,,,
BOSFEN210,2,"2,475",1565.0,Boston Fenway,210,,,,,,,,
BOSFEN210,3,"2,645",1565.0,Boston Fenway,210,,,,,,,,
BOSFEN211,0,"2,580",1310.0,Boston Fenway,211,,,,,,,,
BOSFEN211,1,"2,580",1500.0,Boston Fenway,211,,,,,,,,
BOSFEN211,2,"2,405",1500.0,Boston Fenway,211,,,,,,,,
BOSFEN211,3,"2,405",1310.0,Boston Fenway,211,,,,,,,,
BOSFEN212,0,"2,475",1690.0,Boston Fenway,212,,,,,,,,
BOSFEN212,1,"2,305",1690.0,Boston Fenway,212,,,,,,,,
BOSFEN212,2,"2,305",1565.0,Boston Fenway,212,,,,,,,,
BOSFEN212,3,"2,475",1565.0,Boston Fenway,212,,,,,,,,
BOSFEN213,0,"2,305",1690.0,Boston Fenway,213,,,,,,,,
BOSFEN213,1,"2,115",1690.0,Boston Fenway,213,,,,,,,,
BOSFEN213,2,"2,115",1565.0,Boston Fenway,213,,,,,,,,
BOSFEN213,3,"2,305",1565.0,Boston Fenway,213,,,,,,,,
BOSFEN214,0,"2,405",1500.0,Boston Fenway,214,,,,,,,,
BOSFEN214,1,"2,235",1500.0,Boston Fenway,214,,,,,,,,
BOSFEN214,2,"2,235",1405.0,Boston Fenway,214,,,,,,,,
BOSFEN214,3,"2,405",1405.0,Boston Fenway,214,,,,,,,,
BOSFEN215,0,"2,235",1405.0,Boston Fenway,215,,,,,,,,
BOSFEN215,1,"2,235",1310.0,Boston Fenway,215,,,,,,,,
BOSFEN215,2,"2,405",1310.0,Boston Fenway,215,,,,,,,,
BOSFEN215,3,"2,405",1405.0,Boston Fenway,215,,,,,,,,
BOSFEN216,0,"2,235",1310.0,Boston Fenway,216,,,,,,,,
BOSFEN216,1,"2,235",1205.0,Boston Fenway,216,,,,,,,,
BOSFEN216,2,"2,405",1205.0,Boston Fenway,216,,,,,,,,
BOSFEN216,3,"2,405",1310.0,Boston Fenway,216,,,,,,,,
BOSFEN217,0,"2,235",1205.0,Boston Fenway,217,,,,,,,,
BOSFEN217,1,"2,235",1100.0,Boston Fenway,217,,,,,,,,
BOSFEN217,2,"2,405",1100.0,Boston Fenway,217,,,,,,,,
BOSFEN217,3,"2,405",1205.0,Boston Fenway,217,,,,,,,,
BOSFEN218,0,"2,235",1100.0,Boston Fenway,218,,,,,,,,
BOSFEN218,1,"2,235",990.0,Boston Fenway,218,,,,,,,,
BOSFEN218,2,"2,405",990.0,Boston Fenway,218,,,,,,,,
BOSFEN218,3,"2,405",1100.0,Boston Fenway,218,,,,,,,,
BOSFEN219,0,"2,235",990.0,Boston Fenway,219,,,,,,,,
BOSFEN219,1,"2,235",890.0,Boston Fenway,219,,,,,,,,
BOSFEN219,2,"2,405",890.0,Boston Fenway,219,,,,,,,,
BOSFEN219,3,"2,405",990.0,Boston Fenway,219,,,,,,,,
BOSFEN220,0,"2,175",1380.0,Boston Fenway,220,,,,,,,,
BOSFEN220,1,"2,175",1265.0,Boston Fenway,220,,,,,,,,
BOSFEN220,2,"2,040",1265.0,Boston Fenway,220,,,,,,,,
BOSFEN220,3,"2,040",1380.0,Boston Fenway,220,,,,,,,,
BOSFEN221,0,"2,175",1380.0,Boston Fenway,221,,,,,,,,
BOSFEN221,1,"2,175",1500.0,Boston Fenway,221,,,,,,,,
BOSFEN221,2,"2,040",1500.0,Boston Fenway,221,,,,,,,,
BOSFEN221,3,"2,040",1380.0,Boston Fenway,221,,,,,,,,
BOSFEN222,0,"2,040",1565.0,Boston Fenway,222,,,,,,,,
BOSFEN222,1,"1,845",1565.0,Boston Fenway,222,,,,,,,,
BOSFEN222,2,"1,845",1680.0,Boston Fenway,222,,,,,,,,
BOSFEN222,3,"2,040",1680.0,Boston Fenway,222,,,,,,,,
BOSFEN223,0,"2,040",1500.0,Boston Fenway,223,,,,,,,,
BOSFEN223,1,"1,830",1500.0,Boston Fenway,223,,,,,,,,
