Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOS225001,0,1270,490.0,Boston Post Office Square,1,,,,,,,,
BOS225001,1,1271,301.0,Boston Post Office Square,1,,,,,,,,
BOS225001,2,1132,301.0,Boston Post Office Square,1,,,,,,,,
BOS225001,3,1132,490.0,Boston Post Office Square,1,,,,,,,,
BOS225002,0,1132,490.0,Boston Post Office Square,2,,,,,,,,
BOS225002,1,1132,301.0,Boston Post Office Square,2,,,,,,,,
BOS225002,2,927,301.0,Boston Post Office Square,2,,,,,,,,
BOS225002,3,926,475.0,Boston Post Office Square,2,,,,,,,,
BOS225002,4,1015,474.0,Boston Post Office Square,2,,,,,,,,
BOS225002,5,1015,491.0,Boston Post Office Square,2,,,,,,,,
BOS225003,0,926,475.0,Boston Post Office Square,3,,,,,,,,
BOS225003,1,927,301.0,Boston Post Office Square,3,,,,,,,,
BOS225003,2,787,298.0,Boston Post Office Square,3,,,,,,,,
BOS225003,3,788,491.0,Boston Post Office Square,3,,,,,,,,
BOS225003,4,835,490.0,Boston Post Office Square,3,,,,,,,,
BOS225003,5,835,474.0,Boston Post Office Square,3,,,,,,,,
BOS225004,0,788,491.0,Boston Post Office Square,4,,,,,,,,
BOS225004,1,787,298.0,Boston Post Office Square,4,,,,,,,,
BOS225004,2,651,300.0,Boston Post Office Square,4,,,,,,,,
BOS225004,3,648,492.0,Boston Post Office Square,4,,,,,,,,
BOS225005,0,648,492.0,Boston Post Office Square,5,,,,,,,,
BOS225005,1,651,300.0,Boston Post Office Square,5,,,,,,,,
BOS225005,2,469,301.0,Boston Post Office Square,5,,,,,,,,
BOS225005,3,467,480.0,Boston Post Office Square,5,,,,,,,,
BOS225005,4,490,479.0,Boston Post Office Square,5,,,,,,,,
BOS225005,5,489,491.0,Boston Post Office Square,5,,,,,,,,
BOS225006,0,787,570.0,Boston Post Office Square,6,,,,,,,,
BOS225006,1,568,569.0,Boston Post Office Square,6,,,,,,,,
BOS225006,2,568,677.0,Boston Post Office Square,6,,,,,,,,
BOS225006,3,616,677.0,Boston Post Office Square,6,,,,,,,,
BOS225006,4,616,684.0,Boston Post Office Square,6,,,,,,,,
BOS225006,5,768,684.0,Boston Post Office Square,6,,,,,,,,
BOS225006,6,787,666.0,Boston Post Office Square,6,,,,,,,,
BOS225007,0,616,684.0,Boston Post Office Square,7,,,,,,,,
BOS225007,1,768,684.0,Boston Post Office Square,7,,,,,,,,
BOS225007,2,828,737.0,Boston Post Office Square,7,,,,,,,,
BOS225007,3,827,795.0,Boston Post Office Square,7,,,,,,,,
BOS225007,4,615,796.0,Boston Post Office Square,7,,,,,,,,
BOS225008,0,827,795.0,Boston Post Office Square,8,,,,,,,,
BOS225008,1,828,737.0,Boston Post Office Square,8,,,,,,,,
BOS225008,2,884,684.0,Boston Post Office Square,8,,,,,,,,
BOS225008,3,1038,683.0,Boston Post Office Square,8,,,,,,,,
BOS225008,4,1039,797.0,Boston Post Office Square,8,,,,,,,,
BOS225009,0,1038,683.0,Boston Post Office Square,9,,,,,,,,
BOS225009,1,884,684.0,Boston Post Office Square,9,,,,,,,,
BOS225009,2,866,666.0,Boston Post Office Square,9,,,,,,,,
BOS225009,3,868,569.0,Boston Post Office Square,9,,,,,,,,
BOS225009,4,1039,570.0,Boston Post Office Square,9,,,,,,,,
BOS225010,0,616,677.0,Boston Post Office Square,10,,,,,,,,
BOS225010,1,461,676.0,Boston Post Office Square,10,,,,,,,,
BOS225010,2,461,911.0,Boston Post Office Square,10,,,,,,,,
BOS225010,3,616,910.0,Boston Post Office Square,10,,,,,,,,
BOS225011,0,616,910.0,Boston Post Office Square,11,,,,,,,,
