Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOSAVE501,0,1130,2865.0,Boston South Station,501,,,,,,,,
BOSAVE501,1,550,2865.0,Boston South Station,501,,,,,,,,
BOSAVE501,2,550,3080.0,Boston South Station,501,,,,,,,,
BOSAVE501,3,310,3080.0,Boston South Station,501,,,,,,,,
BOSAVE501,4,310,3280.0,Boston South Station,501,,,,,,,,
BOSAVE501,5,1130,3280.0,Boston South Station,501,,,,,,,,
BOSAVE502,0,1130,3280.0,Boston South Station,502,,,,,,,,
BOSAVE502,1,1860,3280.0,Boston South Station,502,,,,,,,,
BOSAVE502,2,1860,2865.0,Boston South Station,502,,,,,,,,
BOSAVE502,3,1130,2865.0,Boston South Station,502,,,,,,,,
BOSAVE503,0,1860,3280.0,Boston South Station,503,,,,,,,,
BOSAVE503,1,2205,3280.0,Boston South Station,503,,,,,,,,
BOSAVE503,2,2270,3195.0,Boston South Station,503,,,,,,,,
BOSAVE503,3,2145,2625.0,Boston South Station,503,,,,,,,,
BOSAVE503,4,1860,2625.0,Boston South Station,503,,,,,,,,
BOSAVE504,0,2145,2625.0,Boston South Station,504,,,,,,,,
BOSAVE504,1,2050,2100.0,Boston South Station,504,,,,,,,,
BOSAVE504,2,1860,2100.0,Boston South Station,504,,,,,,,,
BOSAVE504,3,1860,2625.0,Boston South Station,504,,,,,,,,
BOSAVE505,0,1375,2290.0,Boston South Station,505,,,,,,,,
BOSAVE505,1,1375,2365.0,Boston South Station,505,,,,,,,,
BOSAVE505,2,1265,2365.0,Boston South Station,505,,,,,,,,
BOSAVE505,3,1265,2290.0,Boston South Station,505,,,,,,,,
BOSAVE506,0,1375,2365.0,Boston South Station,506,,,,,,,,
BOSAVE506,1,1505,2365.0,Boston South Station,506,,,,,,,,
BOSAVE506,2,1505,2290.0,Boston South Station,506,,,,,,,,
BOSAVE506,3,1375,2290.0,Boston South Station,506,,,,,,,,
BOSAVE507,0,1505,2365.0,Boston South Station,507,,,,,,,,
BOSAVE507,1,1645,2365.0,Boston South Station,507,,,,,,,,
BOSAVE507,2,1645,2290.0,Boston South Station,507,,,,,,,,
BOSAVE507,3,1505,2290.0,Boston South Station,507,,,,,,,,
BOSAVE508,0,1645,2365.0,Boston South Station,508,,,,,,,,
BOSAVE508,1,1800,2365.0,Boston South Station,508,,,,,,,,
BOSAVE508,2,1800,2290.0,Boston South Station,508,,,,,,,,
BOSAVE508,3,1645,2290.0,Boston South Station,508,,,,,,,,
BOSAVE509,0,2050,2100.0,Boston South Station,509,,,,,,,,
BOSAVE509,1,1980,1665.0,Boston South Station,509,,,,,,,,
BOSAVE509,2,1530,1665.0,Boston South Station,509,,,,,,,,
BOSAVE509,3,1530,2100.0,Boston South Station,509,,,,,,,,
BOSAVE510,0,1800,2290.0,Boston South Station,510,,,,,,,,
BOSAVE510,1,1800,2170.0,Boston South Station,510,,,,,,,,
BOSAVE510,2,1645,2170.0,Boston South Station,510,,,,,,,,
BOSAVE510,3,1645,2290.0,Boston South Station,510,,,,,,,,
BOSAVE511,0,1645,2170.0,Boston South Station,511,,,,,,,,
BOSAVE511,1,1505,2170.0,Boston South Station,511,,,,,,,,
BOSAVE511,2,1505,2290.0,Boston South Station,511,,,,,,,,
BOSAVE511,3,1645,2290.0,Boston South Station,511,,,,,,,,
BOSAVE512,0,1505,2170.0,Boston South Station,512,,,,,,,,
BOSAVE512,1,1375,2170.0,Boston South Station,512,,,,,,,,
BOSAVE512,2,1375,2290.0,Boston South Station,512,,,,,,,,
BOSAVE512,3,1505,2290.0,Boston South Station,512,,,,,,,,
BOSAVE513,0,1375,2170.0,Boston South Station,513,,,,,,,,
BOSAVE513,1,1265,2170.0,Boston South Station,513,,,,,,,,
BOSAVE513,2,1265,2290.0,Boston South Station,513,,,,,,,,
BOSAVE513,3,1375,2290.0,Boston South Station,513,,,,,,,,
BOSAVE514,0,1265,2170.0,Boston South Station,514,,,,,,,,
BOSAVE514,1,1175,2170.0,Boston South Station,514,,,,,,,,
BOSAVE514,2,1175,2365.0,Boston South Station,514,,,,,,,,
BOSAVE514,3,1265,2365.0,Boston South Station,514,,,,,,,,
BOSAVE515,0,1530,2100.0,Boston South Station,515,,,,,,,,
BOSAVE515,1,960,2100.0,Boston South Station,515,,,,,,,,
BOSAVE515,2,960,1670.0,Boston South Station,515,,,,,,,,
BOSAVE515,3,1530,1665.0,Boston South Station,515,,,,,,,,
BOSAVE516,0,960,2100.0,Boston South Station,516,,,,,,,,
BOSAVE516,1,960,2250.0,Boston South Station,516,,,,,,,,
BOSAVE516,2,1110,2250.0,Boston South Station,516,,,,,,,,
BOSAVE516,3,1110,2100.0,Boston South Station,516,,,,,,,,
BOSAVE601,0,630,1645.0,Boston South Station,601,,,,,,,,
BOSAVE601,1,630,1445.0,Boston South Station,601,,,,,,,,
BOSAVE601,2,315,1445.0,Boston South Station,601,,,,,,,,
BOSAVE601,3,315,1645.0,Boston South Station,601,,,,,,,,
BOSAVE602,0,630,1645.0,Boston South Station,602,,,,,,,,
BOSAVE602,1,725,1645.0,Boston South Station,602,,,,,,,,
BOSAVE602,2,725,1445.0,Boston South Station,602,,,,,,,,
BOSAVE602,3,630,1445.0,Boston South Station,602,,,,,,,,
BOSAVE603,0,740,1385.0,Boston South Station,603,,,,,,,,
BOSAVE603,1,740,1245.0,Boston South Station,603,,,,,,,,
BOSAVE603,2,625,1245.0,Boston South Station,603,,,,,,,,
BOSAVE603,3,625,1385.0,Boston South Station,603,,,,,,,,
BOSAVE604,0,725,1645.0,Boston South Station,604,,,,,,,,
BOSAVE604,1,870,1645.0,Boston South Station,604,,,,,,,,
BOSAVE604,2,870,1445.0,Boston South Station,604,,,,,,,,
BOSAVE604,3,725,1445.0,Boston South Station,604,,,,,,,,
BOSAVE605,0,740,1385.0,Boston South Station,605,,,,,,,,
BOSAVE605,1,835,1385.0,Boston South Station,605,,,,,,,,
