Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOUFOU001,0,225,560.0,Boulder - 1919 14th (Pearl Street),1,,,,,,,,
BOUFOU001,1,420,560.0,Boulder - 1919 14th (Pearl Street),1,,,,,,,,
BOUFOU001,2,420,885.0,Boulder - 1919 14th (Pearl Street),1,,,,,,,,
BOUFOU001,3,225,885.0,Boulder - 1919 14th (Pearl Street),1,,,,,,,,
BOUFOU002,0,225,885.0,Boulder - 1919 14th (Pearl Street),2,,,,,,,,
BOUFOU002,1,225,1050.0,Boulder - 1919 14th (Pearl Street),2,,,,,,,,
BOUFOU002,2,420,1050.0,Boulder - 1919 14th (Pearl Street),2,,,,,,,,
BOUFOU002,3,420,885.0,Boulder - 1919 14th (Pearl Street),2,,,,,,,,
BOUFOU003,0,225,1050.0,Boulder - 1919 14th (Pearl Street),3,,,,,,,,
BOUFOU003,1,225,1215.0,Boulder - 1919 14th (Pearl Street),3,,,,,,,,
BOUFOU003,2,420,1215.0,Boulder - 1919 14th (Pearl Street),3,,,,,,,,
BOUFOU003,3,420,1050.0,Boulder - 1919 14th (Pearl Street),3,,,,,,,,
BOUFOU004,0,225,1215.0,Boulder - 1919 14th (Pearl Street),4,,,,,,,,
BOUFOU004,1,225,1375.0,Boulder - 1919 14th (Pearl Street),4,,,,,,,,
BOUFOU004,2,420,1375.0,Boulder - 1919 14th (Pearl Street),4,,,,,,,,
BOUFOU004,3,420,1215.0,Boulder - 1919 14th (Pearl Street),4,,,,,,,,
BOUFOU005,0,225,1375.0,Boulder - 1919 14th (Pearl Street),5,,,,,,,,
BOUFOU005,1,225,1540.0,Boulder - 1919 14th (Pearl Street),5,,,,,,,,
BOUFOU005,2,420,1540.0,Boulder - 1919 14th (Pearl Street),5,,,,,,,,
BOUFOU005,3,420,1375.0,Boulder - 1919 14th (Pearl Street),5,,,,,,,,
BOUFOU006,0,225,1540.0,Boulder - 1919 14th (Pearl Street),6,,,,,,,,
BOUFOU006,1,225,1705.0,Boulder - 1919 14th (Pearl Street),6,,,,,,,,
BOUFOU006,2,420,1705.0,Boulder - 1919 14th (Pearl Street),6,,,,,,,,
BOUFOU006,3,420,1540.0,Boulder - 1919 14th (Pearl Street),6,,,,,,,,
BOUFOU007,0,225,1705.0,Boulder - 1919 14th (Pearl Street),7,,,,,,,,
BOUFOU007,1,225,1870.0,Boulder - 1919 14th (Pearl Street),7,,,,,,,,
BOUFOU007,2,420,1870.0,Boulder - 1919 14th (Pearl Street),7,,,,,,,,
BOUFOU007,3,420,1705.0,Boulder - 1919 14th (Pearl Street),7,,,,,,,,
BOUFOU008,0,225,1870.0,Boulder - 1919 14th (Pearl Street),8,,,,,,,,
BOUFOU008,1,225,2035.0,Boulder - 1919 14th (Pearl Street),8,,,,,,,,
BOUFOU008,2,420,2035.0,Boulder - 1919 14th (Pearl Street),8,,,,,,,,
BOUFOU008,3,420,1870.0,Boulder - 1919 14th (Pearl Street),8,,,,,,,,
BOUFOU009,0,225,2035.0,Boulder - 1919 14th (Pearl Street),9,,,,,,,,
BOUFOU009,1,225,2200.0,Boulder - 1919 14th (Pearl Street),9,,,,,,,,
BOUFOU009,2,420,2200.0,Boulder - 1919 14th (Pearl Street),9,,,,,,,,
BOUFOU009,3,420,2035.0,Boulder - 1919 14th (Pearl Street),9,,,,,,,,
BOUFOU010,0,225,2200.0,Boulder - 1919 14th (Pearl Street),10,,,,,,,,
BOUFOU010,1,225,2445.0,Boulder - 1919 14th (Pearl Street),10,,,,,,,,
BOUFOU010,2,420,2445.0,Boulder - 1919 14th (Pearl Street),10,,,,,,,,
BOUFOU010,3,420,2200.0,Boulder - 1919 14th (Pearl Street),10,,,,,,,,
BOUFOU011,0,715,2445.0,Boulder - 1919 14th (Pearl Street),11,,,,,,,,
