Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCBOW303,0,"1,335",3215.0,Bowery,303,,,,,,,,
NYCBOW303,1,"1,585",3265.0,Bowery,303,,,,,,,,
NYCBOW303,2,"1,735",2545.0,Bowery,303,,,,,,,,
NYCBOW303,3,"1,600",2375.0,Bowery,303,,,,,,,,
NYCBOW303,4,"1,370",2375.0,Bowery,303,,,,,,,,
NYCBOW303,5,"1,370",3050.0,Bowery,303,,,,,,,,
NYCBOW304,0,"1,370",2375.0,Bowery,304,,,,,,,,
NYCBOW304,1,"1,135",2375.0,Bowery,304,,,,,,,,
NYCBOW304,2,"1,135",2695.0,Bowery,304,,,,,,,,
NYCBOW304,3,"1,370",2695.0,Bowery,304,,,,,,,,
NYCBOW305,0,"1,135",2375.0,Bowery,305,,,,,,,,
NYCBOW305,1,900,2375.0,Bowery,305,,,,,,,,
NYCBOW305,2,900,2695.0,Bowery,305,,,,,,,,
NYCBOW305,3,"1,135",2695.0,Bowery,305,,,,,,,,
NYCBOW307,0,900,2375.0,Bowery,307,,,,,,,,
NYCBOW307,1,660,2375.0,Bowery,307,,,,,,,,
NYCBOW307,2,660,2695.0,Bowery,307,,,,,,,,
NYCBOW307,3,900,2695.0,Bowery,307,,,,,,,,
NYCBOW308,0,895,2785.0,Bowery,308,,,,,,,,
NYCBOW308,1,660,2785.0,Bowery,308,,,,,,,,
NYCBOW308,2,660,3025.0,Bowery,308,,,,,,,,
NYCBOW308,3,895,3025.0,Bowery,308,,,,,,,,
NYCBOW309,0,660,2375.0,Bowery,309,,,,,,,,
NYCBOW309,1,165,2375.0,Bowery,309,,,,,,,,
NYCBOW309,2,95,2695.0,Bowery,309,,,,,,,,
NYCBOW309,3,660,2695.0,Bowery,309,,,,,,,,
NYCBOW310,0,660,2785.0,Bowery,310,,,,,,,,
NYCBOW310,1,430,2785.0,Bowery,310,,,,,,,,
NYCBOW310,2,430,3025.0,Bowery,310,,,,,,,,
NYCBOW310,3,660,3025.0,Bowery,310,,,,,,,,
NYCBOW403,0,"2,120",2510.0,Bowery,403,,,,,,,,
NYCBOW403,1,"2,375",2565.0,Bowery,403,,,,,,,,
NYCBOW403,2,"2,530",1835.0,Bowery,403,,,,,,,,
NYCBOW403,3,"2,385",1660.0,Bowery,403,,,,,,,,
NYCBOW403,4,"2,155",1660.0,Bowery,403,,,,,,,,
NYCBOW403,5,"2,155",2340.0,Bowery,403,,,,,,,,
NYCBOW404,0,"2,155",1660.0,Bowery,404,,,,,,,,
NYCBOW404,1,"1,920",1660.0,Bowery,404,,,,,,,,
NYCBOW404,2,"1,920",1985.0,Bowery,404,,,,,,,,
NYCBOW404,3,"2,155",1985.0,Bowery,404,,,,,,,,
NYCBOW405,0,"1,920",1660.0,Bowery,405,,,,,,,,
NYCBOW405,1,"1,680",1660.0,Bowery,405,,,,,,,,
NYCBOW405,2,"1,680",1985.0,Bowery,405,,,,,,,,
NYCBOW405,3,"1,920",1985.0,Bowery,405,,,,,,,,
NYCBOW407,0,"1,680",1660.0,Bowery,407,,,,,,,,
NYCBOW407,1,"1,445",1660.0,Bowery,407,,,,,,,,
NYCBOW407,2,"1,445",1985.0,Bowery,407,,,,,,,,
NYCBOW407,3,"1,680",1985.0,Bowery,407,,,,,,,,
NYCBOW408,0,"1,680",2070.0,Bowery,408,,,,,,,,
NYCBOW408,1,"1,445",2070.0,Bowery,408,,,,,,,,
NYCBOW408,2,"1,445",2315.0,Bowery,408,,,,,,,,
NYCBOW408,3,"1,680",2315.0,Bowery,408,,,,,,,,
NYCBOW409,0,"1,445",1660.0,Bowery,409,,,,,,,,
NYCBOW409,1,950,1660.0,Bowery,409,,,,,,,,
NYCBOW409,2,880,1985.0,Bowery,409,,,,,,,,
NYCBOW409,3,"1,445",1985.0,Bowery,409,,,,,,,,
NYCBOW410,0,"1,445",2070.0,Bowery,410,,,,,,,,
NYCBOW410,1,"1,215",2070.0,Bowery,410,,,,,,,,
