Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MIABRI001,0,730,1649.0,Brickell Expansion - UPDATED,1,,,,,,,,
MIABRI001,1,802,1650.0,Brickell Expansion - UPDATED,1,,,,,,,,
MIABRI001,2,804,1545.0,Brickell Expansion - UPDATED,1,,,,,,,,
MIABRI001,3,732,1546.0,Brickell Expansion - UPDATED,1,,,,,,,,
MIABRI002,0,730,1649.0,Brickell Expansion - UPDATED,2,,,,,,,,
MIABRI002,1,661,1648.0,Brickell Expansion - UPDATED,2,,,,,,,,
MIABRI002,2,702,1547.0,Brickell Expansion - UPDATED,2,,,,,,,,
MIABRI002,3,732,1546.0,Brickell Expansion - UPDATED,2,,,,,,,,
MIABRI003,0,642,1721.0,Brickell Expansion - UPDATED,3,,,,,,,,
MIABRI003,1,661,1648.0,Brickell Expansion - UPDATED,3,,,,,,,,
MIABRI003,2,802,1650.0,Brickell Expansion - UPDATED,3,,,,,,,,
MIABRI003,3,802,1720.0,Brickell Expansion - UPDATED,3,,,,,,,,
MIABRI004,0,605,1809.0,Brickell Expansion - UPDATED,4,,,,,,,,
MIABRI004,1,679,1808.0,Brickell Expansion - UPDATED,4,,,,,,,,
MIABRI004,2,681,1752.0,Brickell Expansion - UPDATED,4,,,,,,,,
MIABRI004,3,608,1751.0,Brickell Expansion - UPDATED,4,,,,,,,,
MIABRI005,0,549,1804.0,Brickell Expansion - UPDATED,5,,,,,,,,
MIABRI005,1,605,1809.0,Brickell Expansion - UPDATED,5,,,,,,,,
MIABRI005,2,608,1751.0,Brickell Expansion - UPDATED,5,,,,,,,,
MIABRI005,3,555,1750.0,Brickell Expansion - UPDATED,5,,,,,,,,
MIABRI006,0,549,1804.0,Brickell Expansion - UPDATED,6,,,,,,,,
MIABRI006,1,451,1800.0,Brickell Expansion - UPDATED,6,,,,,,,,
MIABRI006,2,456,1734.0,Brickell Expansion - UPDATED,6,,,,,,,,
MIABRI006,3,465,1694.0,Brickell Expansion - UPDATED,6,,,,,,,,
MIABRI006,4,562,1713.0,Brickell Expansion - UPDATED,6,,,,,,,,
MIABRI006,5,555,1750.0,Brickell Expansion - UPDATED,6,,,,,,,,
MIABRI007,0,465,1694.0,Brickell Expansion - UPDATED,7,,,,,,,,
MIABRI007,1,472,1645.0,Brickell Expansion - UPDATED,7,,,,,,,,
MIABRI007,2,489,1588.0,Brickell Expansion - UPDATED,7,,,,,,,,
MIABRI007,3,586,1619.0,Brickell Expansion - UPDATED,7,,,,,,,,
MIABRI007,4,562,1713.0,Brickell Expansion - UPDATED,7,,,,,,,,
MIABRI008,0,572,1673.0,Brickell Expansion - UPDATED,8,,,,,,,,
MIABRI008,1,619,1685.0,Brickell Expansion - UPDATED,8,,,,,,,,
MIABRI008,2,634,1631.0,Brickell Expansion - UPDATED,8,,,,,,,,
MIABRI008,3,586,1619.0,Brickell Expansion - UPDATED,8,,,,,,,,
MIABRI009,0,679,1520.0,Brickell Expansion - UPDATED,9,,,,,,,,
MIABRI009,1,783,1520.0,Brickell Expansion - UPDATED,9,,,,,,,,
MIABRI009,2,782,1390.0,Brickell Expansion - UPDATED,9,,,,,,,,
MIABRI009,3,677,1376.0,Brickell Expansion - UPDATED,9,,,,,,,,
MIABRI010,0,783,1520.0,Brickell Expansion - UPDATED,10,,,,,,,,
MIABRI010,1,891,1519.0,Brickell Expansion - UPDATED,10,,,,,,,,
MIABRI010,2,890,1400.0,Brickell Expansion - UPDATED,10,,,,,,,,
MIABRI010,3,782,1390.0,Brickell Expansion - UPDATED,10,,,,,,,,
MIABRI011,0,1043,1520.0,Brickell Expansion - UPDATED,11,,,,,,,,
MIABRI011,1,1156,1519.0,Brickell Expansion - UPDATED,11,,,,,,,,
MIABRI011,2,1159,1425.0,Brickell Expansion - UPDATED,11,,,,,,,,
MIABRI011,3,1047,1413.0,Brickell Expansion - UPDATED,11,,,,,,,,
