Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BKNDEN001,0,483,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN001,1,483,388.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN001,2,520,388.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN001,3,520,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN002,0,463,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN002,1,463,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN002,2,520,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN002,3,520,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN003,0,431,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN003,1,431,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN003,2,463,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN003,3,463,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN004,0,384,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN004,1,384,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN004,2,431,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN004,3,431,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN005,0,339,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN005,1,339,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN005,2,384,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN005,3,384,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN006,0,303,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN006,1,303,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN006,2,339,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN006,3,339,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN007,0,268,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN007,1,268,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN007,2,303,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN007,3,303,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN008,0,152,487.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN008,1,152,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN008,2,190,430.0,Brooklyn - 594 Dean,1,,,,,,,,
BKNDEN008,3,190,487.0,Brooklyn - 594 Dean,1,,,,,,,,
