Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BKNDEA901,0,1682.555634,2361.888889,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA001,0,1805.555634,2361.888889,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA001,1,1805.555634,2261.888889,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA001,2,1938.777802,2261.888889,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA001,3,1938.777802,2372.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA001,4,1918.777802,2372.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA001,5,1918.777802,2390.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA001,6,1828.777802,2390.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA001,7,1828.777802,2372.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA001,8,1805.777802,2372.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA002,0,1938.777802,2372.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA002,1,1967.777802,2372.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA002,2,1967.777802,2390.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA002,3,2057.777802,2390.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA002,4,2057.777802,2371.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA002,5,2068.777802,2371.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA002,6,2068.777802,2262.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA002,7,1938.777802,2261.888889,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,0,2068.777802,2371.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,1,2109.777802,2371.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,2,2109.777802,2390.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,3,2199.777802,2390.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,4,2199.777802,2372.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,5,2246.777802,2372.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,6,2246.777802,2243.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,7,2170.777802,2243.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,8,2170.777802,2153.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,9,2071.555634,2153.888889,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,10,2071.555634,2261.888889,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA003,11,2068.777802,2262.777777,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA004,0,1838.555634,1913.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA004,1,1838.555634,1817.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA004,2,1689.555634,1817.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA004,3,1689.555634,1913.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA005,0,1689.555634,1817.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA005,1,1689.555634,1685.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA005,2,1839.555634,1685.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA005,3,1838.555634,1817.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA006,0,1689.555634,1685.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA006,1,1689.555634,1594.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA006,2,1839.555634,1594.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA006,3,1839.555634,1685.444427,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA007,0,1689.555634,1594.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA007,1,1689.555634,1486.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA007,2,1839.555634,1486.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA007,3,1839.555634,1594.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA008,0,1689.555634,1486.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA008,1,1689.555634,1375.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA008,2,1838.555634,1375.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA008,3,1839.555634,1486.777771,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA009,0,1839.555634,835.333252,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA009,1,1690.555634,835.333252,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA009,2,1690.555634,702.333252,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA009,3,1839.555634,702.333252,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA010,0,1839.555634,702.333252,Brooklyn 1000 Dean,,,,,,,,,
BKNDEA010,1,1839.555634,507.333252,Brooklyn 1000 Dean,,,,,,,,,
