Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXBUR201,0,"2,000",685.0,Burbank,201,,,,,,,,
LAXBUR201,1,"2,005",545.0,Burbank,201,,,,,,,,
LAXBUR201,2,"1,795",545.0,Burbank,201,,,,,,,,
LAXBUR201,3,"1,795",685.0,Burbank,201,,,,,,,,
LAXBUR202,0,"2,005",485.0,Burbank,202,,,,,,,,
LAXBUR202,1,"2,005",275.0,Burbank,202,,,,,,,,
LAXBUR202,2,"1,830",275.0,Burbank,202,,,,,,,,
LAXBUR202,3,"1,830",485.0,Burbank,202,,,,,,,,
LAXBUR203,0,"1,830",485.0,Burbank,203,,,,,,,,
LAXBUR203,1,"1,665",485.0,Burbank,203,,,,,,,,
LAXBUR203,2,"1,665",275.0,Burbank,203,,,,,,,,
LAXBUR203,3,"1,830",275.0,Burbank,203,,,,,,,,
LAXBUR204,0,"1,665",485.0,Burbank,204,,,,,,,,
LAXBUR204,1,"1,500",485.0,Burbank,204,,,,,,,,
LAXBUR204,2,"1,500",275.0,Burbank,204,,,,,,,,
LAXBUR204,3,"1,665",275.0,Burbank,204,,,,,,,,
LAXBUR205,0,"1,500",485.0,Burbank,205,,,,,,,,
LAXBUR205,1,"1,475",485.0,Burbank,205,,,,,,,,
LAXBUR205,2,"1,390",590.0,Burbank,205,,,,,,,,
LAXBUR205,3,"1,225",455.0,Burbank,205,,,,,,,,
LAXBUR205,4,"1,365",275.0,Burbank,205,,,,,,,,
LAXBUR205,5,"1,500",275.0,Burbank,205,,,,,,,,
LAXBUR206,0,"1,665",590.0,Burbank,206,,,,,,,,
LAXBUR206,1,"1,665",550.0,Burbank,206,,,,,,,,
LAXBUR206,2,"1,500",550.0,Burbank,206,,,,,,,,
LAXBUR206,3,"1,405",670.0,Burbank,206,,,,,,,,
LAXBUR206,4,"1,525",765.0,Burbank,206,,,,,,,,
LAXBUR207,0,"1,525",765.0,Burbank,207,,,,,,,,
LAXBUR207,1,"1,455",850.0,Burbank,207,,,,,,,,
LAXBUR207,2,"1,335",755.0,Burbank,207,,,,,,,,
LAXBUR207,3,"1,405",670.0,Burbank,207,,,,,,,,
LAXBUR208,0,"1,455",850.0,Burbank,208,,,,,,,,
LAXBUR208,1,"1,370",955.0,Burbank,208,,,,,,,,
LAXBUR208,2,"1,250",860.0,Burbank,208,,,,,,,,
LAXBUR208,3,"1,335",755.0,Burbank,208,,,,,,,,
LAXBUR209,0,"1,390",590.0,Burbank,209,,,,,,,,
LAXBUR209,1,"1,245",770.0,Burbank,209,,,,,,,,
LAXBUR209,2,"1,080",635.0,Burbank,209,,,,,,,,
LAXBUR209,3,"1,225",455.0,Burbank,209,,,,,,,,
LAXBUR210,0,"1,245",770.0,Burbank,210,,,,,,,,
LAXBUR210,1,"1,005",1070.0,Burbank,210,,,,,,,,
LAXBUR210,2,840,935.0,Burbank,210,,,,,,,,
LAXBUR210,3,"1,080",635.0,Burbank,210,,,,,,,,
LAXBUR211,0,"1,370",955.0,Burbank,211,,,,,,,,
LAXBUR211,1,"1,290",1055.0,Burbank,211,,,,,,,,
LAXBUR211,2,"1,170",960.0,Burbank,211,,,,,,,,
LAXBUR211,3,"1,250",860.0,Burbank,211,,,,,,,,
LAXBUR212,0,"1,290",1055.0,Burbank,212,,,,,,,,
LAXBUR212,1,"1,205",1160.0,Burbank,212,,,,,,,,
LAXBUR212,2,"1,085",1065.0,Burbank,212,,,,,,,,
LAXBUR212,3,"1,170",960.0,Burbank,212,,,,,,,,
LAXBUR213,0,"1,205",1160.0,Burbank,213,,,,,,,,
LAXBUR213,1,"1,120",1265.0,Burbank,213,,,,,,,,
LAXBUR213,2,"1,000",1170.0,Burbank,213,,,,,,,,
LAXBUR213,3,"1,085",1065.0,Burbank,213,,,,,,,,
LAXBUR214,0,"1,005",1070.0,Burbank,214,,,,,,,,
LAXBUR214,1,870,1245.0,Burbank,214,,,,,,,,
LAXBUR214,2,700,1105.0,Burbank,214,,,,,,,,
LAXBUR214,3,840,935.0,Burbank,214,,,,,,,,
LAXBUR215,0,"1,120",1265.0,Burbank,215,,,,,,,,
LAXBUR215,1,"1,055",1350.0,Burbank,215,,,,,,,,
LAXBUR215,2,935,1250.0,Burbank,215,,,,,,,,
LAXBUR215,3,"1,000",1170.0,Burbank,215,,,,,,,,
LAXBUR216,0,"1,055",1350.0,Burbank,216,,,,,,,,
LAXBUR216,1,985,1435.0,Burbank,216,,,,,,,,
LAXBUR216,2,865,1340.0,Burbank,216,,,,,,,,
LAXBUR216,3,935,1250.0,Burbank,216,,,,,,,,
LAXBUR217,0,980,1520.0,Burbank,217,,,,,,,,
LAXBUR217,1,845,1685.0,Burbank,217,,,,,,,,
LAXBUR217,2,690,1565.0,Burbank,217,,,,,,,,
LAXBUR217,3,825,1395.0,Burbank,217,,,,,,,,
LAXBUR218,0,870,1245.0,Burbank,218,,,,,,,,
LAXBUR218,1,730,1425.0,Burbank,218,,,,,,,,
LAXBUR218,2,555,1285.0,Burbank,218,,,,,,,,
LAXBUR218,3,700,1105.0,Burbank,218,,,,,,,,
LAXBUR219,0,730,1425.0,Burbank,219,,,,,,,,
LAXBUR219,1,615,1570.0,Burbank,219,,,,,,,,
LAXBUR219,2,440,1430.0,Burbank,219,,,,,,,,
LAXBUR219,3,555,1285.0,Burbank,219,,,,,,,,
LAXBUR220,0,690,1565.0,Burbank,220,,,,,,,,
LAXBUR220,1,905,1735.0,Burbank,220,,,,,,,,
LAXBUR220,2,800,1865.0,Burbank,220,,,,,,,,
LAXBUR220,3,585,1695.0,Burbank,220,,,,,,,,
LAXBUR221,0,615,1570.0,Burbank,221,,,,,,,,
LAXBUR221,1,490,1720.0,Burbank,221,,,,,,,,
LAXBUR221,2,315,1585.0,Burbank,221,,,,,,,,
LAXBUR221,3,440,1430.0,Burbank,221,,,,,,,,
LAXBUR222,0,490,1720.0,Burbank,222,,,,,,,,
LAXBUR222,1,415,1815.0,Burbank,222,,,,,,,,
LAXBUR222,2,240,1680.0,Burbank,222,,,,,,,,
LAXBUR222,3,315,1585.0,Burbank,222,,,,,,,,
LAXBUR223,0,800,1865.0,Burbank,223,,,,,,,,
LAXBUR223,1,740,1940.0,Burbank,223,,,,,,,,
LAXBUR223,2,725,1930.0,Burbank,223,,,,,,,,
LAXBUR223,3,680,1990.0,Burbank,223,,,,,,,,
LAXBUR223,4,480,1830.0,Burbank,223,,,,,,,,
