Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SFOBUR401,0,"2,155",565.0,Burlingame,401,,,,,,,,
SFOBUR401,1,"2,280",565.0,Burlingame,401,,,,,,,,
SFOBUR401,2,"2,280",470.0,Burlingame,401,,,,,,,,
SFOBUR401,3,"2,155",470.0,Burlingame,401,,,,,,,,
SFOBUR402,0,"2,335",575.0,Burlingame,402,,,,,,,,
SFOBUR402,1,"2,540",575.0,Burlingame,402,,,,,,,,
SFOBUR402,2,"2,540",310.0,Burlingame,402,,,,,,,,
SFOBUR402,3,"2,335",310.0,Burlingame,402,,,,,,,,
SFOBUR403,0,"2,540",310.0,Burlingame,403,,,,,,,,
SFOBUR403,1,"2,540",435.0,Burlingame,403,,,,,,,,
SFOBUR403,2,"2,670",435.0,Burlingame,403,,,,,,,,
SFOBUR403,3,"2,670",310.0,Burlingame,403,,,,,,,,
SFOBUR404,0,"2,580",255.0,Burlingame,404,,,,,,,,
SFOBUR404,1,"2,975",255.0,Burlingame,404,,,,,,,,
SFOBUR404,2,"2,975",30.0,Burlingame,404,,,,,,,,
SFOBUR404,3,"2,580",30.0,Burlingame,404,,,,,,,,
SFOBUR405,0,"2,580",30.0,Burlingame,405,,,,,,,,
SFOBUR405,1,"2,445",30.0,Burlingame,405,,,,,,,,
SFOBUR405,2,"2,445",255.0,Burlingame,405,,,,,,,,
SFOBUR405,3,"2,580",255.0,Burlingame,405,,,,,,,,
SFOBUR406,0,"2,445",30.0,Burlingame,406,,,,,,,,
SFOBUR406,1,"2,255",30.0,Burlingame,406,,,,,,,,
SFOBUR406,2,"2,255",255.0,Burlingame,406,,,,,,,,
SFOBUR406,3,"2,445",255.0,Burlingame,406,,,,,,,,
SFOBUR407,0,"2,280",470.0,Burlingame,407,,,,,,,,
SFOBUR407,1,"2,280",310.0,Burlingame,407,,,,,,,,
SFOBUR407,2,"2,155",310.0,Burlingame,407,,,,,,,,
SFOBUR407,3,"2,155",470.0,Burlingame,407,,,,,,,,
SFOBUR408,0,"2,255",30.0,Burlingame,408,,,,,,,,
SFOBUR408,1,"2,070",30.0,Burlingame,408,,,,,,,,
SFOBUR408,2,"2,070",255.0,Burlingame,408,,,,,,,,
SFOBUR408,3,"2,255",255.0,Burlingame,408,,,,,,,,
SFOBUR409,0,"2,155",310.0,Burlingame,409,,,,,,,,
SFOBUR409,1,"2,010",310.0,Burlingame,409,,,,,,,,
SFOBUR409,2,"2,010",565.0,Burlingame,409,,,,,,,,
