Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WASNEW201,0,910,1574.0,Capitol Riverfront,201,,,,,,,,
WASNEW201,1,910,1646.0,Capitol Riverfront,201,,,,,,,,
WASNEW201,2,1011,1645.0,Capitol Riverfront,201,,,,,,,,
WASNEW201,3,1011,1574.0,Capitol Riverfront,201,,,,,,,,
WASNEW202,0,1011,1645.0,Capitol Riverfront,202,,,,,,,,
WASNEW202,1,1011,1574.0,Capitol Riverfront,202,,,,,,,,
WASNEW202,2,1121,1573.0,Capitol Riverfront,202,,,,,,,,
WASNEW202,3,1122,1647.0,Capitol Riverfront,202,,,,,,,,
WASNEW203,0,1122,1647.0,Capitol Riverfront,203,,,,,,,,
WASNEW203,1,1121,1573.0,Capitol Riverfront,203,,,,,,,,
WASNEW203,2,1224,1573.0,Capitol Riverfront,203,,,,,,,,
WASNEW203,3,1226,1647.0,Capitol Riverfront,203,,,,,,,,
WASNEW204,0,1226,1647.0,Capitol Riverfront,204,,,,,,,,
WASNEW204,1,1224,1573.0,Capitol Riverfront,204,,,,,,,,
WASNEW204,2,1310,1573.0,Capitol Riverfront,204,,,,,,,,
WASNEW204,3,1309,1625.0,Capitol Riverfront,204,,,,,,,,
WASNEW204,4,1296,1626.0,Capitol Riverfront,204,,,,,,,,
WASNEW204,5,1298,1646.0,Capitol Riverfront,204,,,,,,,,
WASNEW205,0,310,1076.0,Capitol Riverfront,205,,,,,,,,
WASNEW205,1,369,1308.0,Capitol Riverfront,205,,,,,,,,
WASNEW205,2,260,1326.0,Capitol Riverfront,205,,,,,,,,
WASNEW205,3,167,1108.0,Capitol Riverfront,205,,,,,,,,
WASNEW206,0,310,1076.0,Capitol Riverfront,206,,,,,,,,
WASNEW206,1,342,1184.0,Capitol Riverfront,206,,,,,,,,
WASNEW206,2,531,1139.0,Capitol Riverfront,206,,,,,,,,
WASNEW206,3,506,1031.0,Capitol Riverfront,206,,,,,,,,
WASNEW207,0,531,1139.0,Capitol Riverfront,207,,,,,,,,
WASNEW207,1,506,1031.0,Capitol Riverfront,207,,,,,,,,
WASNEW207,2,747,975.0,Capitol Riverfront,207,,,,,,,,
WASNEW207,3,752,1089.0,Capitol Riverfront,207,,,,,,,,
WASNEW208,0,747,975.0,Capitol Riverfront,208,,,,,,,,
WASNEW208,1,752,1089.0,Capitol Riverfront,208,,,,,,,,
WASNEW208,2,968,1088.0,Capitol Riverfront,208,,,,,,,,
WASNEW208,3,968,976.0,Capitol Riverfront,208,,,,,,,,
WASNEW209,0,783,1128.0,Capitol Riverfront,209,,,,,,,,
WASNEW209,1,864,1127.0,Capitol Riverfront,209,,,,,,,,
WASNEW209,2,866,1192.0,Capitol Riverfront,209,,,,,,,,
WASNEW209,3,785,1191.0,Capitol Riverfront,209,,,,,,,,
WASNEW210,0,864,1127.0,Capitol Riverfront,210,,,,,,,,
WASNEW210,1,866,1192.0,Capitol Riverfront,210,,,,,,,,
WASNEW210,2,951,1192.0,Capitol Riverfront,210,,,,,,,,
WASNEW210,3,951,1127.0,Capitol Riverfront,210,,,,,,,,
WASNEW211,0,951,1127.0,Capitol Riverfront,211,,,,,,,,
WASNEW211,1,953,1211.0,Capitol Riverfront,211,,,,,,,,
WASNEW211,2,1029,1210.0,Capitol Riverfront,211,,,,,,,,
WASNEW211,3,1028,1126.0,Capitol Riverfront,211,,,,,,,,
WASNEW212,0,968,976.0,Capitol Riverfront,212,,,,,,,,
WASNEW212,1,968,1088.0,Capitol Riverfront,212,,,,,,,,
WASNEW212,2,1144,1088.0,Capitol Riverfront,212,,,,,,,,
WASNEW212,3,1144,976.0,Capitol Riverfront,212,,,,,,,,
WASNEW213,0,1149,1128.0,Capitol Riverfront,213,,,,,,,,
WASNEW213,1,1228,1128.0,Capitol Riverfront,213,,,,,,,,
WASNEW213,2,1228,1213.0,Capitol Riverfront,213,,,,,,,,
WASNEW213,3,1149,1214.0,Capitol Riverfront,213,,,,,,,,
WASNEW214,0,1144,1088.0,Capitol Riverfront,214,,,,,,,,
WASNEW214,1,1144,976.0,Capitol Riverfront,214,,,,,,,,
WASNEW214,2,1245,976.0,Capitol Riverfront,214,,,,,,,,
WASNEW214,3,1244,1088.0,Capitol Riverfront,214,,,,,,,,
WASNEW215,0,1228,1128.0,Capitol Riverfront,215,,,,,,,,
WASNEW215,1,1228,1213.0,Capitol Riverfront,215,,,,,,,,
WASNEW215,2,1307,1212.0,Capitol Riverfront,215,,,,,,,,
WASNEW215,3,1310,1127.0,Capitol Riverfront,215,,,,,,,,
WASNEW216,0,1244,1088.0,Capitol Riverfront,216,,,,,,,,
WASNEW216,1,1245,976.0,Capitol Riverfront,216,,,,,,,,
WASNEW216,2,1389,977.0,Capitol Riverfront,216,,,,,,,,
WASNEW216,3,1388,1088.0,Capitol Riverfront,216,,,,,,,,
WASNEW217,0,1310,1127.0,Capitol Riverfront,217,,,,,,,,
WASNEW217,1,1307,1212.0,Capitol Riverfront,217,,,,,,,,
WASNEW217,2,1395,1212.0,Capitol Riverfront,217,,,,,,,,
WASNEW217,3,1393,1128.0,Capitol Riverfront,217,,,,,,,,
WASNEW218,0,1395,1212.0,Capitol Riverfront,218,,,,,,,,
WASNEW218,1,1393,1128.0,Capitol Riverfront,218,,,,,,,,
WASNEW218,2,1504,1127.0,Capitol Riverfront,218,,,,,,,,
WASNEW218,3,1506,1213.0,Capitol Riverfront,218,,,,,,,,
WASNEW219,0,1504,1127.0,Capitol Riverfront,219,,,,,,,,
WASNEW219,1,1507,1202.0,Capitol Riverfront,219,,,,,,,,
WASNEW219,2,1595,1202.0,Capitol Riverfront,219,,,,,,,,
WASNEW219,3,1595,1129.0,Capitol Riverfront,219,,,,,,,,
WASNEW220,0,1498,1087.0,Capitol Riverfront,220,,,,,,,,
WASNEW220,1,1619,1087.0,Capitol Riverfront,220,,,,,,,,
WASNEW220,2,1620,976.0,Capitol Riverfront,220,,,,,,,,
WASNEW220,3,1497,975.0,Capitol Riverfront,220,,,,,,,,
WASNEW221,0,1595,1129.0,Capitol Riverfront,221,,,,,,,,
WASNEW221,1,1595,1202.0,Capitol Riverfront,221,,,,,,,,
WASNEW221,2,1686,1201.0,Capitol Riverfront,221,,,,,,,,
WASNEW221,3,1687,1129.0,Capitol Riverfront,221,,,,,,,,
WASNEW222,0,1619,1087.0,Capitol Riverfront,222,,,,,,,,
WASNEW222,1,1620,976.0,Capitol Riverfront,222,,,,,,,,
WASNEW222,2,1752,976.0,Capitol Riverfront,222,,,,,,,,
WASNEW222,3,1752,1088.0,Capitol Riverfront,222,,,,,,,,
WASNEW223,0,1687,1129.0,Capitol Riverfront,223,,,,,,,,
WASNEW223,1,1686,1201.0,Capitol Riverfront,223,,,,,,,,
WASNEW223,2,1766,1202.0,Capitol Riverfront,223,,,,,,,,
WASNEW223,3,1766,1181.0,Capitol Riverfront,223,,,,,,,,
WASNEW223,4,1792,1181.0,Capitol Riverfront,223,,,,,,,,
WASNEW223,5,1793,1127.0,Capitol Riverfront,223,,,,,,,,
WASNEW224,0,1752,976.0,Capitol Riverfront,224,,,,,,,,
WASNEW224,1,1752,1088.0,Capitol Riverfront,224,,,,,,,,
WASNEW224,2,1878,1088.0,Capitol Riverfront,224,,,,,,,,
WASNEW224,3,1879,976.0,Capitol Riverfront,224,,,,,,,,
WASNEW225,0,1836,1128.0,Capitol Riverfront,225,,,,,,,,
WASNEW225,1,1989,1128.0,Capitol Riverfront,225,,,,,,,,
WASNEW225,2,1990,1269.0,Capitol Riverfront,225,,,,,,,,
WASNEW225,3,1838,1269.0,Capitol Riverfront,225,,,,,,,,
WASNEW226,0,1878,1088.0,Capitol Riverfront,226,,,,,,,,
WASNEW226,1,1879,976.0,Capitol Riverfront,226,,,,,,,,
WASNEW226,2,2075,975.0,Capitol Riverfront,226,,,,,,,,
WASNEW226,3,2075,1088.0,Capitol Riverfront,226,,,,,,,,
WASNEW227,0,1989,1128.0,Capitol Riverfront,227,,,,,,,,
WASNEW227,1,1991,1316.0,Capitol Riverfront,227,,,,,,,,
WASNEW227,2,2072,1316.0,Capitol Riverfront,227,,,,,,,,
WASNEW227,3,2071,1128.0,Capitol Riverfront,227,,,,,,,,
WASNEW228,0,2075,1088.0,Capitol Riverfront,228,,,,,,,,
WASNEW228,1,2075,975.0,Capitol Riverfront,228,,,,,,,,
WASNEW228,2,2237,975.0,Capitol Riverfront,228,,,,,,,,
WASNEW228,3,2236,1088.0,Capitol Riverfront,228,,,,,,,,
WASNEW229,0,2236,1088.0,Capitol Riverfront,229,,,,,,,,
WASNEW229,1,2237,975.0,Capitol Riverfront,229,,,,,,,,
WASNEW229,2,2346,975.0,Capitol Riverfront,229,,,,,,,,
WASNEW229,3,2348,1085.0,Capitol Riverfront,229,,,,,,,,
WASNEW230,0,2348,1085.0,Capitol Riverfront,230,,,,,,,,
WASNEW230,1,2346,975.0,Capitol Riverfront,230,,,,,,,,
WASNEW230,2,2477,976.0,Capitol Riverfront,230,,,,,,,,
WASNEW230,3,2477,1085.0,Capitol Riverfront,230,,,,,,,,
WASNEW231,0,2461,1125.0,Capitol Riverfront,231,,,,,,,,
WASNEW231,1,2651,1125.0,Capitol Riverfront,231,,,,,,,,
WASNEW231,2,2651,1266.0,Capitol Riverfront,231,,,,,,,,
WASNEW231,3,2524,1267.0,Capitol Riverfront,231,,,,,,,,
WASNEW231,4,2524,1231.0,Capitol Riverfront,231,,,,,,,,
WASNEW231,5,2458,1233.0,Capitol Riverfront,231,,,,,,,,
WASNEW232,0,2477,976.0,Capitol Riverfront,232,,,,,,,,
WASNEW232,1,2477,1085.0,Capitol Riverfront,232,,,,,,,,
WASNEW232,2,2668,1085.0,Capitol Riverfront,232,,,,,,,,
WASNEW232,3,2668,975.0,Capitol Riverfront,232,,,,,,,,
WASNEW233,0,2760,1183.0,Capitol Riverfront,233,,,,,,,,
WASNEW233,1,2762,1266.0,Capitol Riverfront,233,,,,,,,,
