Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CARVET101,0,480,1070.0,Carmel Center 750 Veterans Way,101,,,,,,,,
CARVET101,1,480,920.0,Carmel Center 750 Veterans Way,101,,,,,,,,
CARVET101,2,335,920.0,Carmel Center 750 Veterans Way,101,,,,,,,,
CARVET101,3,335,1070.0,Carmel Center 750 Veterans Way,101,,,,,,,,
CARVET102,0,280,1160.0,Carmel Center 750 Veterans Way,102,,,,,,,,
CARVET102,1,280,920.0,Carmel Center 750 Veterans Way,102,,,,,,,,
CARVET102,2,70,920.0,Carmel Center 750 Veterans Way,102,,,,,,,,
CARVET102,3,70,1160.0,Carmel Center 750 Veterans Way,102,,,,,,,,
CARVET103,0,335,1070.0,Carmel Center 750 Veterans Way,103,,,,,,,,
CARVET103,1,335,1200.0,Carmel Center 750 Veterans Way,103,,,,,,,,
CARVET103,2,440,1200.0,Carmel Center 750 Veterans Way,103,,,,,,,,
CARVET103,3,440,1070.0,Carmel Center 750 Veterans Way,103,,,,,,,,
CARVET104,0,440,1200.0,Carmel Center 750 Veterans Way,104,,,,,,,,
CARVET104,1,555,1200.0,Carmel Center 750 Veterans Way,104,,,,,,,,
CARVET104,2,555,1070.0,Carmel Center 750 Veterans Way,104,,,,,,,,
CARVET104,3,440,1070.0,Carmel Center 750 Veterans Way,104,,,,,,,,
CARVET105,0,335,1485.0,Carmel Center 750 Veterans Way,105,,,,,,,,
CARVET105,1,780,1485.0,Carmel Center 750 Veterans Way,105,,,,,,,,
CARVET105,2,780,1255.0,Carmel Center 750 Veterans Way,105,,,,,,,,
CARVET105,3,335,1255.0,Carmel Center 750 Veterans Way,105,,,,,,,,
CARVET106,0,280,1160.0,Carmel Center 750 Veterans Way,106,,,,,,,,
CARVET106,1,280,1285.0,Carmel Center 750 Veterans Way,106,,,,,,,,
CARVET106,2,70,1285.0,Carmel Center 750 Veterans Way,106,,,,,,,,
CARVET106,3,70,1160.0,Carmel Center 750 Veterans Way,106,,,,,,,,
CARVET107,0,280,1285.0,Carmel Center 750 Veterans Way,107,,,,,,,,
CARVET107,1,280,1525.0,Carmel Center 750 Veterans Way,107,,,,,,,,
CARVET107,2,70,1525.0,Carmel Center 750 Veterans Way,107,,,,,,,,
CARVET107,3,70,1285.0,Carmel Center 750 Veterans Way,107,,,,,,,,
CARVET108,0,280,1525.0,Carmel Center 750 Veterans Way,108,,,,,,,,
CARVET108,1,280,1695.0,Carmel Center 750 Veterans Way,108,,,,,,,,
CARVET108,2,70,1695.0,Carmel Center 750 Veterans Way,108,,,,,,,,
CARVET108,3,70,1525.0,Carmel Center 750 Veterans Way,108,,,,,,,,
CARVET109,0,335,1485.0,Carmel Center 750 Veterans Way,109,,,,,,,,
CARVET109,1,335,1605.0,Carmel Center 750 Veterans Way,109,,,,,,,,
CARVET109,2,555,1605.0,Carmel Center 750 Veterans Way,109,,,,,,,,
CARVET109,3,555,1485.0,Carmel Center 750 Veterans Way,109,,,,,,,,
CARVET110,0,335,1605.0,Carmel Center 750 Veterans Way,110,,,,,,,,
CARVET110,1,335,1850.0,Carmel Center 750 Veterans Way,110,,,,,,,,
CARVET110,2,555,1850.0,Carmel Center 750 Veterans Way,110,,,,,,,,
CARVET110,3,555,1605.0,Carmel Center 750 Veterans Way,110,,,,,,,,
CARVET111,0,280,1695.0,Carmel Center 750 Veterans Way,111,,,,,,,,
CARVET111,1,280,1910.0,Carmel Center 750 Veterans Way,111,,,,,,,,
CARVET111,2,220,1910.0,Carmel Center 750 Veterans Way,111,,,,,,,,
CARVET111,3,220,2005.0,Carmel Center 750 Veterans Way,111,,,,,,,,
CARVET111,4,70,2005.0,Carmel Center 750 Veterans Way,111,,,,,,,,
CARVET111,5,70,1695.0,Carmel Center 750 Veterans Way,111,,,,,,,,
CARVET112,0,220,2005.0,Carmel Center 750 Veterans Way,112,,,,,,,,
CARVET112,1,195,2005.0,Carmel Center 750 Veterans Way,112,,,,,,,,
CARVET112,2,195,2065.0,Carmel Center 750 Veterans Way,112,,,,,,,,
CARVET112,3,410,2065.0,Carmel Center 750 Veterans Way,112,,,,,,,,
CARVET112,4,410,2035.0,Carmel Center 750 Veterans Way,112,,,,,,,,
CARVET112,5,440,2035.0,Carmel Center 750 Veterans Way,112,,,,,,,,
CARVET112,6,440,1910.0,Carmel Center 750 Veterans Way,112,,,,,,,,
CARVET112,7,220,1910.0,Carmel Center 750 Veterans Way,112,,,,,,,,
CARVET113,0,410,2065.0,Carmel Center 750 Veterans Way,113,,,,,,,,
CARVET113,1,565,2065.0,Carmel Center 750 Veterans Way,113,,,,,,,,
CARVET113,2,565,1910.0,Carmel Center 750 Veterans Way,113,,,,,,,,
CARVET113,3,440,1910.0,Carmel Center 750 Veterans Way,113,,,,,,,,
CARVET113,4,440,2035.0,Carmel Center 750 Veterans Way,113,,,,,,,,
CARVET113,5,410,2035.0,Carmel Center 750 Veterans Way,113,,,,,,,,
CARVET114,0,565,2065.0,Carmel Center 750 Veterans Way,114,,,,,,,,
CARVET114,1,685,2065.0,Carmel Center 750 Veterans Way,114,,,,,,,,
CARVET114,2,685,2030.0,Carmel Center 750 Veterans Way,114,,,,,,,,
CARVET114,3,705,2030.0,Carmel Center 750 Veterans Way,114,,,,,,,,
CARVET114,4,705,1910.0,Carmel Center 750 Veterans Way,114,,,,,,,,
CARVET114,5,565,1910.0,Carmel Center 750 Veterans Way,114,,,,,,,,
CARVET115,0,705,2030.0,Carmel Center 750 Veterans Way,115,,,,,,,,
CARVET115,1,845,2030.0,Carmel Center 750 Veterans Way,115,,,,,,,,
CARVET115,2,845,1910.0,Carmel Center 750 Veterans Way,115,,,,,,,,
CARVET115,3,705,1910.0,Carmel Center 750 Veterans Way,115,,,,,,,,
CARVET116,0,555,1850.0,Carmel Center 750 Veterans Way,116,,,,,,,,
CARVET116,1,780,1850.0,Carmel Center 750 Veterans Way,116,,,,,,,,
