Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CARMON001,0,2495,545.0,Carmel City Center (Retrace),1,,,,,,,,
CARMON001,1,2495,480.0,Carmel City Center (Retrace),1,,,,,,,,
CARMON001,2,2425,480.0,Carmel City Center (Retrace),1,,,,,,,,
CARMON001,3,2425,430.0,Carmel City Center (Retrace),1,,,,,,,,
CARMON001,4,2335,430.0,Carmel City Center (Retrace),1,,,,,,,,
CARMON001,5,2335,525.0,Carmel City Center (Retrace),1,,,,,,,,
CARMON001,6,2360,525.0,Carmel City Center (Retrace),1,,,,,,,,
CARMON001,7,2360,545.0,Carmel City Center (Retrace),1,,,,,,,,
CARMON002,0,2335,430.0,Carmel City Center (Retrace),2,,,,,,,,
CARMON002,1,2335,235.0,Carmel City Center (Retrace),2,,,,,,,,
CARMON002,2,2485,235.0,Carmel City Center (Retrace),2,,,,,,,,
CARMON002,3,2485,430.0,Carmel City Center (Retrace),2,,,,,,,,
CARMON003,0,2485,235.0,Carmel City Center (Retrace),3,,,,,,,,
CARMON003,1,2640,235.0,Carmel City Center (Retrace),3,,,,,,,,
CARMON003,2,2640,430.0,Carmel City Center (Retrace),3,,,,,,,,
CARMON003,3,2485,430.0,Carmel City Center (Retrace),3,,,,,,,,
CARMON004,0,2640,235.0,Carmel City Center (Retrace),4,,,,,,,,
CARMON004,1,2800,235.0,Carmel City Center (Retrace),4,,,,,,,,
CARMON004,2,2800,430.0,Carmel City Center (Retrace),4,,,,,,,,
CARMON004,3,2640,430.0,Carmel City Center (Retrace),4,,,,,,,,
CARMON005,0,2800,430.0,Carmel City Center (Retrace),5,,,,,,,,
CARMON005,1,2970,430.0,Carmel City Center (Retrace),5,,,,,,,,
CARMON005,2,2970,235.0,Carmel City Center (Retrace),5,,,,,,,,
CARMON005,3,2960,235.0,Carmel City Center (Retrace),5,,,,,,,,
CARMON005,4,2960,205.0,Carmel City Center (Retrace),5,,,,,,,,
CARMON005,5,2800,205.0,Carmel City Center (Retrace),5,,,,,,,,
CARMON006,0,2970,430.0,Carmel City Center (Retrace),6,,,,,,,,
CARMON006,1,3090,430.0,Carmel City Center (Retrace),6,,,,,,,,
CARMON006,2,3090,235.0,Carmel City Center (Retrace),6,,,,,,,,
CARMON006,3,2970,235.0,Carmel City Center (Retrace),6,,,,,,,,
CARMON007,0,3090,480.0,Carmel City Center (Retrace),7,,,,,,,,
CARMON007,1,3090,200.0,Carmel City Center (Retrace),7,,,,,,,,
CARMON007,2,3250,200.0,Carmel City Center (Retrace),7,,,,,,,,
CARMON007,3,3250,480.0,Carmel City Center (Retrace),7,,,,,,,,
CARMON008,0,3090,480.0,Carmel City Center (Retrace),8,,,,,,,,
CARMON008,1,3090,645.0,Carmel City Center (Retrace),8,,,,,,,,
CARMON008,2,3220,645.0,Carmel City Center (Retrace),8,,,,,,,,
CARMON008,3,3220,630.0,Carmel City Center (Retrace),8,,,,,,,,
CARMON008,4,3250,630.0,Carmel City Center (Retrace),8,,,,,,,,
CARMON008,5,3250,480.0,Carmel City Center (Retrace),8,,,,,,,,
CARMON009,0,3040,480.0,Carmel City Center (Retrace),9,,,,,,,,
CARMON009,1,2955,480.0,Carmel City Center (Retrace),9,,,,,,,,
CARMON009,2,2955,670.0,Carmel City Center (Retrace),9,,,,,,,,
CARMON009,3,3040,670.0,Carmel City Center (Retrace),9,,,,,,,,
CARMON010,0,2955,480.0,Carmel City Center (Retrace),10,,,,,,,,
CARMON010,1,2845,480.0,Carmel City Center (Retrace),10,,,,,,,,
CARMON010,2,2845,670.0,Carmel City Center (Retrace),10,,,,,,,,
CARMON010,3,2955,670.0,Carmel City Center (Retrace),10,,,,,,,,
CARMON011,0,2845,480.0,Carmel City Center (Retrace),11,,,,,,,,
CARMON011,1,2760,480.0,Carmel City Center (Retrace),11,,,,,,,,
CARMON011,2,2760,670.0,Carmel City Center (Retrace),11,,,,,,,,
CARMON011,3,2845,670.0,Carmel City Center (Retrace),11,,,,,,,,
CARMON012,0,2760,480.0,Carmel City Center (Retrace),12,,,,,,,,
CARMON012,1,2630,480.0,Carmel City Center (Retrace),12,,,,,,,,
CARMON012,2,2630,670.0,Carmel City Center (Retrace),12,,,,,,,,
CARMON012,3,2760,670.0,Carmel City Center (Retrace),12,,,,,,,,
CARMON013,0,2630,480.0,Carmel City Center (Retrace),13,,,,,,,,
CARMON013,1,2545,480.0,Carmel City Center (Retrace),13,,,,,,,,
CARMON013,2,2545,670.0,Carmel City Center (Retrace),13,,,,,,,,
CARMON013,3,2630,670.0,Carmel City Center (Retrace),13,,,,,,,,
CARMON014,0,3220,830.0,Carmel City Center (Retrace),14,,,,,,,,
CARMON014,1,2985,830.0,Carmel City Center (Retrace),14,,,,,,,,
CARMON014,2,2985,955.0,Carmel City Center (Retrace),14,,,,,,,,
CARMON014,3,3050,955.0,Carmel City Center (Retrace),14,,,,,,,,
CARMON014,4,3050,930.0,Carmel City Center (Retrace),14,,,,,,,,
CARMON014,5,3220,930.0,Carmel City Center (Retrace),14,,,,,,,,
CARMON015,0,3050,955.0,Carmel City Center (Retrace),15,,,,,,,,
CARMON015,1,3050,930.0,Carmel City Center (Retrace),15,,,,,,,,
CARMON015,2,3220,930.0,Carmel City Center (Retrace),15,,,,,,,,
CARMON015,3,3220,1085.0,Carmel City Center (Retrace),15,,,,,,,,
CARMON015,4,3040,1085.0,Carmel City Center (Retrace),15,,,,,,,,
CARMON015,5,3040,955.0,Carmel City Center (Retrace),15,,,,,,,,
CARMON016,0,3220,1085.0,Carmel City Center (Retrace),16,,,,,,,,
CARMON016,1,3220,1235.0,Carmel City Center (Retrace),16,,,,,,,,
CARMON016,2,3040,1235.0,Carmel City Center (Retrace),16,,,,,,,,
CARMON016,3,3040,1085.0,Carmel City Center (Retrace),16,,,,,,,,
CARMON017,0,3220,1235.0,Carmel City Center (Retrace),17,,,,,,,,
CARMON017,1,3220,1390.0,Carmel City Center (Retrace),17,,,,,,,,
CARMON017,2,3040,1390.0,Carmel City Center (Retrace),17,,,,,,,,
CARMON017,3,3040,1235.0,Carmel City Center (Retrace),17,,,,,,,,
