Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHTCAN-D,0,925,1235.0,Carnegie Hall Tower 56th Floor Retrace,D Suite,,,,,,,,
CHTCAN-D,1,925,1085.0,Carnegie Hall Tower 56th Floor Retrace,D Suite,,,,,,,,
CHTCAN-D,2,865,1085.0,Carnegie Hall Tower 56th Floor Retrace,D Suite,,,,,,,,
CHTCAN-D,3,865,740.0,Carnegie Hall Tower 56th Floor Retrace,D Suite,,,,,,,,
CHTCAN-D,4,50,735.0,Carnegie Hall Tower 56th Floor Retrace,D Suite,,,,,,,,
CHTCAN-D,5,50,1825.0,Carnegie Hall Tower 56th Floor Retrace,D Suite,,,,,,,,
CHTCAN-D,6,740,1825.0,Carnegie Hall Tower 56th Floor Retrace,D Suite,,,,,,,,
CHTCAN-D,7,740,1235.0,Carnegie Hall Tower 56th Floor Retrace,D Suite,,,,,,,,
CHTCAN-E,0,740,1825.0,Carnegie Hall Tower 56th Floor Retrace,E Suite,,,,,,,,
CHTCAN-E,1,1550,1825.0,Carnegie Hall Tower 56th Floor Retrace,E Suite,,,,,,,,
CHTCAN-E,2,1550,1480.0,Carnegie Hall Tower 56th Floor Retrace,E Suite,,,,,,,,
CHTCAN-E,3,1520,1480.0,Carnegie Hall Tower 56th Floor Retrace,E Suite,,,,,,,,
CHTCAN-E,4,1520,1410.0,Carnegie Hall Tower 56th Floor Retrace,E Suite,,,,,,,,
CHTCAN-E,5,1260,1410.0,Carnegie Hall Tower 56th Floor Retrace,E Suite,,,,,,,,
CHTCAN-E,6,1260,1235.0,Carnegie Hall Tower 56th Floor Retrace,E Suite,,,,,,,,
CHTCAN-E,7,740,1235.0,Carnegie Hall Tower 56th Floor Retrace,E Suite,,,,,,,,
CHTCAN-F,0,1550,1825.0,Carnegie Hall Tower 56th Floor Retrace,F Suite,,,,,,,,
CHTCAN-F,1,2530,1825.0,Carnegie Hall Tower 56th Floor Retrace,F Suite,,,,,,,,
CHTCAN-F,2,2530,1425.0,Carnegie Hall Tower 56th Floor Retrace,F Suite,,,,,,,,
CHTCAN-F,3,2030,1425.0,Carnegie Hall Tower 56th Floor Retrace,F Suite,,,,,,,,
CHTCAN-F,4,2030,1485.0,Carnegie Hall Tower 56th Floor Retrace,F Suite,,,,,,,,
CHTCAN-F,5,1550,1480.0,Carnegie Hall Tower 56th Floor Retrace,F Suite,,,,,,,,
CHTCAN-G,0,2530,1825.0,Carnegie Hall Tower 56th Floor Retrace,G Suite,,,,,,,,
CHTCAN-G,1,3250,1820.0,Carnegie Hall Tower 56th Floor Retrace,G Suite,,,,,,,,
CHTCAN-G,2,3250,735.0,Carnegie Hall Tower 56th Floor Retrace,G Suite,,,,,,,,
CHTCAN-G,3,2825,735.0,Carnegie Hall Tower 56th Floor Retrace,G Suite,,,,,,,,
CHTCAN-G,4,2825,1235.0,Carnegie Hall Tower 56th Floor Retrace,G Suite,,,,,,,,
CHTCAN-G,5,2765,1235.0,Carnegie Hall Tower 56th Floor Retrace,G Suite,,,,,,,,
CHTCAN-G,6,2765,1425.0,Carnegie Hall Tower 56th Floor Retrace,G Suite,,,,,,,,
CHTCAN-G,7,2530,1425.0,Carnegie Hall Tower 56th Floor Retrace,G Suite,,,,,,,,
