Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXCPE749,0,885,2270.0,Century City,749,,,,,,,,
LAXCPE749,1,890,2480.0,Century City,749,,,,,,,,
LAXCPE749,2,1130,2480.0,Century City,749,,,,,,,,
LAXCPE749,3,1130,2270.0,Century City,749,,,,,,,,
LAXCPE752,0,1130,2480.0,Century City,752,,,,,,,,
LAXCPE752,1,1290,2480.0,Century City,752,,,,,,,,
LAXCPE752,2,1290,2270.0,Century City,752,,,,,,,,
LAXCPE752,3,1130,2270.0,Century City,752,,,,,,,,
LAXCPE755,0,1290,2480.0,Century City,755,,,,,,,,
LAXCPE755,1,1500,2480.0,Century City,755,,,,,,,,
LAXCPE755,2,1500,2270.0,Century City,755,,,,,,,,
LAXCPE755,3,1290,2270.0,Century City,755,,,,,,,,
LAXCPE757,0,1500,2480.0,Century City,757,,,,,,,,
LAXCPE757,1,1650,2480.0,Century City,757,,,,,,,,
LAXCPE757,2,1650,2270.0,Century City,757,,,,,,,,
LAXCPE757,3,1500,2270.0,Century City,757,,,,,,,,
LAXCPE759,0,1650,2480.0,Century City,759,,,,,,,,
LAXCPE759,1,1800,2480.0,Century City,759,,,,,,,,
LAXCPE759,2,1800,2270.0,Century City,759,,,,,,,,
LAXCPE759,3,1650,2270.0,Century City,759,,,,,,,,
LAXCPE760,0,1800,2480.0,Century City,760,,,,,,,,
LAXCPE760,1,2005,2480.0,Century City,760,,,,,,,,
LAXCPE760,2,2005,2270.0,Century City,760,,,,,,,,
LAXCPE760,3,1800,2270.0,Century City,760,,,,,,,,
LAXCPE765,0,2005,2480.0,Century City,765,,,,,,,,
LAXCPE765,1,2235,2480.0,Century City,765,,,,,,,,
LAXCPE765,2,2235,2270.0,Century City,765,,,,,,,,
LAXCPE765,3,2005,2270.0,Century City,765,,,,,,,,
LAXCPE766,0,2235,2480.0,Century City,766,,,,,,,,
LAXCPE766,1,2405,2480.0,Century City,766,,,,,,,,
LAXCPE766,2,2405,2270.0,Century City,766,,,,,,,,
LAXCPE766,3,2235,2270.0,Century City,766,,,,,,,,
LAXCPE768,0,2405,2270.0,Century City,768,,,,,,,,
LAXCPE768,1,2425,2270.0,Century City,768,,,,,,,,
LAXCPE768,2,2600,2095.0,Century City,768,,,,,,,,
LAXCPE768,3,2600,1940.0,Century City,768,,,,,,,,
LAXCPE768,4,2850,1935.0,Century City,768,,,,,,,,
LAXCPE768,5,2850,2170.0,Century City,768,,,,,,,,
LAXCPE768,6,2540,2480.0,Century City,768,,,,,,,,
LAXCPE768,7,2405,2480.0,Century City,768,,,,,,,,
LAXCPE770,0,2600,1940.0,Century City,770,,,,,,,,
LAXCPE770,1,2600,1770.0,Century City,770,,,,,,,,
LAXCPE770,2,2850,1770.0,Century City,770,,,,,,,,
LAXCPE770,3,2850,1935.0,Century City,770,,,,,,,,
LAXCPE771,0,2600,1770.0,Century City,771,,,,,,,,
LAXCPE771,1,2600,1460.0,Century City,771,,,,,,,,
LAXCPE771,2,2850,1460.0,Century City,771,,,,,,,,
LAXCPE771,3,2850,1770.0,Century City,771,,,,,,,,
LAXCPE701,0,2600,1115.0,Century City,701,,,,,,,,
LAXCPE701,1,2600,950.0,Century City,701,,,,,,,,
LAXCPE701,2,2850,950.0,Century City,701,,,,,,,,
LAXCPE701,3,2850,1115.0,Century City,701,,,,,,,,
LAXCPE702,0,2600,950.0,Century City,702,,,,,,,,
LAXCPE702,1,2600,775.0,Century City,702,,,,,,,,
LAXCPE702,2,2850,775.0,Century City,702,,,,,,,,
LAXCPE702,3,2850,950.0,Century City,702,,,,,,,,
