Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AZCHAN548,0,370,1705.0,Chandler,548,,,,,,,,
AZCHAN548,1,370,1570.0,Chandler,548,,,,,,,,
AZCHAN548,2,170,1570.0,Chandler,548,,,,,,,,
AZCHAN548,3,170,1705.0,Chandler,548,,,,,,,,
AZCHAN547,0,370,1570.0,Chandler,547,,,,,,,,
AZCHAN547,1,370,1440.0,Chandler,547,,,,,,,,
AZCHAN547,2,170,1440.0,Chandler,547,,,,,,,,
AZCHAN547,3,170,1570.0,Chandler,547,,,,,,,,
AZCHAN546,0,370,1440.0,Chandler,546,,,,,,,,
AZCHAN546,1,370,1300.0,Chandler,546,,,,,,,,
AZCHAN546,2,170,1300.0,Chandler,546,,,,,,,,
AZCHAN546,3,170,1440.0,Chandler,546,,,,,,,,
AZCHAN545,0,315,1225.0,Chandler,545,,,,,,,,
AZCHAN545,1,315,1110.0,Chandler,545,,,,,,,,
AZCHAN545,2,170,1110.0,Chandler,545,,,,,,,,
AZCHAN545,3,170,1225.0,Chandler,545,,,,,,,,
AZCHAN544,0,315,1225.0,Chandler,544,,,,,,,,
AZCHAN544,1,440,1225.0,Chandler,544,,,,,,,,
AZCHAN544,2,440,1110.0,Chandler,544,,,,,,,,
AZCHAN544,3,315,1110.0,Chandler,544,,,,,,,,
AZCHAN541,0,440,1225.0,Chandler,541,,,,,,,,
AZCHAN541,1,635,1225.0,Chandler,541,,,,,,,,
AZCHAN541,2,635,980.0,Chandler,541,,,,,,,,
AZCHAN541,3,440,980.0,Chandler,541,,,,,,,,
AZCHAN539,0,635,1225.0,Chandler,539,,,,,,,,
AZCHAN539,1,830,1225.0,Chandler,539,,,,,,,,
AZCHAN539,2,835,980.0,Chandler,539,,,,,,,,
AZCHAN539,3,635,980.0,Chandler,539,,,,,,,,
AZCHAN537,0,830,1225.0,Chandler,537,,,,,,,,
AZCHAN537,1,985,1225.0,Chandler,537,,,,,,,,
AZCHAN537,2,985,980.0,Chandler,537,,,,,,,,
AZCHAN537,3,835,980.0,Chandler,537,,,,,,,,
AZCHAN535,0,985,1225.0,Chandler,535,,,,,,,,
AZCHAN535,1,1120,1225.0,Chandler,535,,,,,,,,
AZCHAN535,2,1120,980.0,Chandler,535,,,,,,,,
AZCHAN535,3,985,980.0,Chandler,535,,,,,,,,
AZCHAN534,0,1120,1225.0,Chandler,534,,,,,,,,
AZCHAN534,1,1305,1225.0,Chandler,534,,,,,,,,
AZCHAN534,2,1305,980.0,Chandler,534,,,,,,,,
AZCHAN534,3,1120,980.0,Chandler,534,,,,,,,,
AZCHAN5CRMB,0,1305,1225.0,Chandler,5CRMB,,,,,,,,
AZCHAN5CRMB,1,1450,1225.0,Chandler,5CRMB,,,,,,,,
AZCHAN5CRMB,2,1450,1060.0,Chandler,5CRMB,,,,,,,,
AZCHAN5CRMB,3,1305,1060.0,Chandler,5CRMB,,,,,,,,
AZCHAN533,0,1450,1060.0,Chandler,533,,,,,,,,
AZCHAN533,1,1450,920.0,Chandler,533,,,,,,,,
AZCHAN533,2,1290,920.0,Chandler,533,,,,,,,,
AZCHAN533,3,1290,980.0,Chandler,533,,,,,,,,
AZCHAN533,4,1305,980.0,Chandler,533,,,,,,,,
AZCHAN533,5,1305,1060.0,Chandler,533,,,,,,,,
AZCHAN531,0,1290,920.0,Chandler,531,,,,,,,,
AZCHAN531,1,1290,765.0,Chandler,531,,,,,,,,
AZCHAN531,2,1450,765.0,Chandler,531,,,,,,,,
AZCHAN531,3,1450,920.0,Chandler,531,,,,,,,,
AZCHAN530,0,1290,765.0,Chandler,530,,,,,,,,
AZCHAN530,1,1290,525.0,Chandler,530,,,,,,,,
AZCHAN530,2,1515,525.0,Chandler,530,,,,,,,,
AZCHAN530,3,1515,690.0,Chandler,530,,,,,,,,
AZCHAN530,4,1450,690.0,Chandler,530,,,,,,,,
AZCHAN530,5,1450,765.0,Chandler,530,,,,,,,,
