Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHAGLE001,0,1488,763.0,Chapel Hill - The Gwendolyn,1,,,,,,,,
CHAGLE001,1,1668,763.0,Chapel Hill - The Gwendolyn,1,,,,,,,,
CHAGLE001,2,1668,628.0,Chapel Hill - The Gwendolyn,1,,,,,,,,
CHAGLE001,3,1486,628.0,Chapel Hill - The Gwendolyn,1,,,,,,,,
CHAGLE002,0,1460,821.0,Chapel Hill - The Gwendolyn,2,,,,,,,,
CHAGLE002,1,1551,821.0,Chapel Hill - The Gwendolyn,2,,,,,,,,
CHAGLE002,2,1551,956.0,Chapel Hill - The Gwendolyn,2,,,,,,,,
CHAGLE002,3,1461,956.0,Chapel Hill - The Gwendolyn,2,,,,,,,,
CHAGLE003,0,1486,628.0,Chapel Hill - The Gwendolyn,3,,,,,,,,
CHAGLE003,1,1488,763.0,Chapel Hill - The Gwendolyn,3,,,,,,,,
CHAGLE003,2,1351,763.0,Chapel Hill - The Gwendolyn,3,,,,,,,,
CHAGLE003,3,1351,632.0,Chapel Hill - The Gwendolyn,3,,,,,,,,
CHAGLE004,0,1460,821.0,Chapel Hill - The Gwendolyn,4,,,,,,,,
CHAGLE004,1,1461,956.0,Chapel Hill - The Gwendolyn,4,,,,,,,,
CHAGLE004,2,1365,956.0,Chapel Hill - The Gwendolyn,4,,,,,,,,
CHAGLE004,3,1366,818.0,Chapel Hill - The Gwendolyn,4,,,,,,,,
CHAGLE005,0,1350,631.0,Chapel Hill - The Gwendolyn,5,,,,,,,,
CHAGLE005,1,1351,763.0,Chapel Hill - The Gwendolyn,5,,,,,,,,
CHAGLE005,2,1205,763.0,Chapel Hill - The Gwendolyn,5,,,,,,,,
CHAGLE005,3,1205,632.0,Chapel Hill - The Gwendolyn,5,,,,,,,,
CHAGLE006,0,1366,818.0,Chapel Hill - The Gwendolyn,6,,,,,,,,
CHAGLE006,1,1365,956.0,Chapel Hill - The Gwendolyn,6,,,,,,,,
CHAGLE006,2,1267,956.0,Chapel Hill - The Gwendolyn,6,,,,,,,,
CHAGLE006,3,1267,818.0,Chapel Hill - The Gwendolyn,6,,,,,,,,
CHAGLE007,0,1050,867.0,Chapel Hill - The Gwendolyn,7,,,,,,,,
CHAGLE007,1,1050,957.0,Chapel Hill - The Gwendolyn,7,,,,,,,,
CHAGLE007,2,1210,957.0,Chapel Hill - The Gwendolyn,7,,,,,,,,
CHAGLE007,3,1210,867.0,Chapel Hill - The Gwendolyn,7,,,,,,,,
CHAGLE008,0,1205,632.0,Chapel Hill - The Gwendolyn,8,,,,,,,,
CHAGLE008,1,1205,811.0,Chapel Hill - The Gwendolyn,8,,,,,,,,
CHAGLE008,2,1013,811.0,Chapel Hill - The Gwendolyn,8,,,,,,,,
CHAGLE008,3,1013,631.0,Chapel Hill - The Gwendolyn,8,,,,,,,,
CHAGLE009,0,1050,867.0,Chapel Hill - The Gwendolyn,9,,,,,,,,
CHAGLE009,1,1050,981.0,Chapel Hill - The Gwendolyn,9,,,,,,,,
CHAGLE009,2,928,981.0,Chapel Hill - The Gwendolyn,9,,,,,,,,
CHAGLE009,3,928,867.0,Chapel Hill - The Gwendolyn,9,,,,,,,,
CHAGLE010,0,1013,631.0,Chapel Hill - The Gwendolyn,10,,,,,,,,
CHAGLE010,1,1013,811.0,Chapel Hill - The Gwendolyn,10,,,,,,,,
CHAGLE010,2,878,811.0,Chapel Hill - The Gwendolyn,10,,,,,,,,
CHAGLE010,3,878,630.0,Chapel Hill - The Gwendolyn,10,,,,,,,,
CHAGLE011,0,928,867.0,Chapel Hill - The Gwendolyn,11,,,,,,,,
CHAGLE011,1,928,981.0,Chapel Hill - The Gwendolyn,11,,,,,,,,
CHAGLE011,2,812,981.0,Chapel Hill - The Gwendolyn,11,,,,,,,,
CHAGLE011,3,812,868.0,Chapel Hill - The Gwendolyn,11,,,,,,,,
CHAGLE012,0,878,630.0,Chapel Hill - The Gwendolyn,12,,,,,,,,
CHAGLE012,1,878,811.0,Chapel Hill - The Gwendolyn,12,,,,,,,,
CHAGLE012,2,725,811.0,Chapel Hill - The Gwendolyn,12,,,,,,,,
CHAGLE012,3,725,631.0,Chapel Hill - The Gwendolyn,12,,,,,,,,
CHAGLE013,0,812,868.0,Chapel Hill - The Gwendolyn,13,,,,,,,,
CHAGLE013,1,812,981.0,Chapel Hill - The Gwendolyn,13,,,,,,,,
CHAGLE013,2,695,981.0,Chapel Hill - The Gwendolyn,13,,,,,,,,
CHAGLE013,3,695,867.0,Chapel Hill - The Gwendolyn,13,,,,,,,,
CHAGLE014,0,725,811.0,Chapel Hill - The Gwendolyn,14,,,,,,,,
CHAGLE014,1,725,631.0,Chapel Hill - The Gwendolyn,14,,,,,,,,
CHAGLE014,2,530,631.0,Chapel Hill - The Gwendolyn,14,,,,,,,,
CHAGLE014,3,530,811.0,Chapel Hill - The Gwendolyn,14,,,,,,,,
CHAGLE015,0,695,867.0,Chapel Hill - The Gwendolyn,15,,,,,,,,
CHAGLE015,1,695,981.0,Chapel Hill - The Gwendolyn,15,,,,,,,,
CHAGLE015,2,579,981.0,Chapel Hill - The Gwendolyn,15,,,,,,,,
CHAGLE015,3,579,868.0,Chapel Hill - The Gwendolyn,15,,,,,,,,
CHAGLE016,0,530,811.0,Chapel Hill - The Gwendolyn,16,,,,,,,,
CHAGLE016,1,530,672.0,Chapel Hill - The Gwendolyn,16,,,,,,,,
CHAGLE016,2,493,672.0,Chapel Hill - The Gwendolyn,16,,,,,,,,
CHAGLE016,3,493,641.0,Chapel Hill - The Gwendolyn,16,,,,,,,,
CHAGLE016,4,340,641.0,Chapel Hill - The Gwendolyn,16,,,,,,,,
CHAGLE016,5,340,811.0,Chapel Hill - The Gwendolyn,16,,,,,,,,
CHAGLE017,0,579,868.0,Chapel Hill - The Gwendolyn,17,,,,,,,,
CHAGLE017,1,579,981.0,Chapel Hill - The Gwendolyn,17,,,,,,,,
CHAGLE017,2,460,981.0,Chapel Hill - The Gwendolyn,17,,,,,,,,
CHAGLE017,3,460,867.0,Chapel Hill - The Gwendolyn,17,,,,,,,,
CHAGLE018,0,340,811.0,Chapel Hill - The Gwendolyn,18,,,,,,,,
CHAGLE018,1,340,641.0,Chapel Hill - The Gwendolyn,18,,,,,,,,
CHAGLE018,2,106,641.0,Chapel Hill - The Gwendolyn,18,,,,,,,,
CHAGLE018,3,106,828.0,Chapel Hill - The Gwendolyn,18,,,,,,,,
CHAGLE018,4,285,828.0,Chapel Hill - The Gwendolyn,18,,,,,,,,
CHAGLE018,5,286,811.0,Chapel Hill - The Gwendolyn,18,,,,,,,,
CHAGLE019,0,460,981.0,Chapel Hill - The Gwendolyn,19,,,,,,,,
CHAGLE019,1,460,867.0,Chapel Hill - The Gwendolyn,19,,,,,,,,
CHAGLE019,2,340,867.0,Chapel Hill - The Gwendolyn,19,,,,,,,,
CHAGLE019,3,340,982.0,Chapel Hill - The Gwendolyn,19,,,,,,,,
CHAGLE020,0,285,828.0,Chapel Hill - The Gwendolyn,20,,,,,,,,
CHAGLE020,1,106,828.0,Chapel Hill - The Gwendolyn,20,,,,,,,,
CHAGLE020,2,106,950.0,Chapel Hill - The Gwendolyn,20,,,,,,,,
