Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CLTBOA901,0,1524,308.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA001,0,1803,125.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA001,1,1904.666626,125.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA001,2,1904.666626,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA001,3,1801.666626,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA002,0,1904.666626,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA002,1,2028,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA002,2,2028,123.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA002,3,1904.666626,125.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA003,0,2028,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA003,1,2156,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA003,2,2156,123.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA003,3,2028,123.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA004,0,2156,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA004,1,2281,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA004,2,2281,123.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA004,3,2156,123.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA005,0,2281,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA005,1,2406,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA005,2,2406,123.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA005,3,2281,123.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA006,0,2406,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA006,1,2449.666626,270.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA006,2,2504.666626,324.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA006,3,2612.666626,213.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA006,4,2520.666626,123.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA006,5,2406,123.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA007,0,2504.666626,324.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA007,1,2594,413.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA007,2,2702,301.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA007,3,2612.666626,213.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA008,0,2594,413.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA008,1,2850,668.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA008,2,2961,558.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA008,3,2702,301.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA009,0,2850,668.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA009,1,2989,808.3333435,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA009,2,3095,699.3333435,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA009,3,2961,558.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA010,0,3095,699.3333435,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA010,1,3225,825.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA010,2,3053,999.3333282,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA010,3,2944,888.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA010,4,3007,825.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA010,5,2989,808.3333435,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA011,0,2944,888.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA011,1,2855,978.3333282,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA011,2,2964,1086.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA011,3,3053,999.3333282,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA012,0,2855,978.3333282,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA012,1,2765,1069.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA012,2,2876,1175.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA012,3,2964,1086.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA013,0,2765,1069.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA013,1,2676,1157.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA013,2,2785,1265.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA013,3,2876,1175.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA014,0,2676,1157.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA014,1,2541.666748,1286.666667,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA014,2,2653.666748,1396.666667,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA014,3,2785,1265.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA015,0,2541.666748,1286.666667,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA015,1,2427.666626,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA015,2,2405.666626,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA015,3,2405.666626,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA015,4,2520.666626,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA015,5,2653.666748,1396.666667,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA016,0,2405.666626,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA016,1,2273.333374,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA016,2,2273.333374,1530.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA016,3,2405.666626,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA017,0,2273.333374,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA017,1,2147.333374,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA017,2,2147.333374,1529.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA017,3,2273.333374,1530.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA018,0,2147.333374,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA018,1,2021.333374,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA018,2,2021.333374,1527.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA018,3,2147.333374,1529.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA019,0,2021.333374,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA019,1,1896.333374,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA019,2,1896.333374,1526.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA019,3,2021.333374,1527.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA020,0,1896.333374,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA020,1,1771,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA020,2,1771,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA020,3,1896.333374,1526.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA021,0,1771,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA021,1,1647,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA021,2,1647,1529.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA021,3,1771,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA022,0,1647,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA022,1,1520,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA022,2,1520,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA022,3,1647,1529.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA023,0,1520,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA023,1,1395,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA023,2,1395,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA023,3,1520,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA024,0,1395,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA024,1,1268,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA024,2,1268,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA024,3,1395,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA025,0,1268,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA025,1,1143.333313,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA025,2,1143.333313,1529.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA025,3,1268,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA026,0,1143.333313,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA026,1,1018.333313,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA026,2,1018.333313,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA026,3,1143.333313,1529.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA027,0,1018.333313,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA027,1,885.333313,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA027,2,885.333313,1527.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA027,3,1018.333313,1528.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA028,0,885.333313,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA028,1,864.3333435,1407.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA028,2,749,1289.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA028,3,640.3333435,1397.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA028,4,770.3333435,1529.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA028,5,885.333313,1527.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA029,0,615,1155.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA029,1,506,1262.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA029,2,640.3333435,1397.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA029,3,749,1289.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA030,0,615,1155.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA030,1,526,1066.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA030,2,416,1175.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA030,3,506,1262.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA031,0,526,1066.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA031,1,437.6666718,975.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA031,2,328.6666718,1086.666656,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA031,3,416,1175.333328,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA032,0,437.6666718,975.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA032,1,348.6666718,890.3333435,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA032,2,239.6666718,998.3333435,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA032,3,328.6666718,1086.666656,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA033,0,348.6666718,890.3333435,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA033,1,285,824.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA033,2,305,806.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA033,3,195,696.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA033,4,69,824.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA033,5,239.6666718,998.3333435,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA034,0,305,806.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA034,1,433,676.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA034,2,320,572.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA034,3,195,696.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA035,0,433,676.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA035,1,531.3333334,577.666687,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA035,2,422.3333334,471.666687,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA035,3,320,572.6666565,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA036,0,531.3333334,577.666687,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA036,1,620,491.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA036,2,511,382.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA036,3,422.3333334,471.666687,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA037,0,620,491.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA037,1,798.3333435,313.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA037,2,688.3333435,206.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA037,3,511,382.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA038,0,798.3333435,313.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA038,1,839.3333435,271.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA038,2,891.3333435,271.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA038,3,891.3333435,124.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA038,4,772.333313,122.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA038,5,688.3333435,206.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA039,0,891.3333435,271.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA039,1,1018.333313,271.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA039,2,1018.333313,123.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA039,3,891.3333435,124.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA040,0,1018.333313,271.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA040,1,1143.333313,271.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA040,2,1143.333313,122.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA040,3,1018.333313,123.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA041,0,1143.333313,271.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA041,1,1278.333313,271.0,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA041,2,1278.333313,123.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA041,3,1143.333313,122.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA042,0,1024.333313,428.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA042,1,1182.333313,427.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA042,2,1182.333313,329.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA042,3,1024.333313,331.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA042,4,1024.333313,429.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA043,0,1024.333313,331.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA043,1,865.333313,331.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA043,2,865.333313,429.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA043,3,1024.333313,429.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA044,0,865.333313,429.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA044,1,865.333313,529.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA044,2,1024.333313,528.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA044,3,1024.333313,429.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA045,0,1024.333313,528.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA045,1,1181.333313,527.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA045,2,1182.333313,427.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA045,3,1024.333313,429.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA046,0,1938,429.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA046,1,2054,429.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA046,2,2054,329.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA046,3,1939,328.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA047,0,2054,329.333313,Charlotte - 101 S Tryon,,,,,,,,,
CLTBOA047,1,2141,329.333313,Charlotte - 101 S Tryon,,,,,,,,,
