Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CLTNOD901,0,2693,1282.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD001,0,2687,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD001,1,2963,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD001,2,2963,550.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD001,3,2991,550.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD001,4,2991,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD001,5,2687,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD002,0,2538,777.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD002,1,2691,777.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD002,2,2691,576.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD002,3,2539,576.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD003,0,2687,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD003,1,2318,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD003,2,2318,336.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD003,3,2687,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD004,0,2539,576.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD004,1,2237,576.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD004,2,2237,778.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD004,3,2538,777.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD005,0,2318,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD005,1,2012,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD005,2,2011,335.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD005,3,2318,336.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD006,0,2042,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD006,1,2166,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD006,2,2166,680.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD006,3,2041,680.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD007,0,2166,680.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD007,1,2166,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD007,2,2041,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD007,3,2041,680.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD008,0,2012,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD008,1,1867,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD008,2,1867,335.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD008,3,2011,335.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD009,0,2042,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD009,1,1878,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD009,2,1878,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD009,3,2041,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD010,0,1867,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD010,1,1723,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD010,2,1723,335.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD010,3,1867,335.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD011,0,1878,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD011,1,1717,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD011,2,1717,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD011,3,1878,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD012,0,1723,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD012,1,1580,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD012,2,1581,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD012,3,1723,335.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD013,0,1717,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD013,1,1610,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD013,2,1610,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD013,3,1717,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD014,0,1580,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD014,1,1321,512.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD014,2,1321,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD014,3,1581,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD015,0,1610,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD015,1,1499,579.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD015,2,1499,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD015,3,1610,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD016,0,1027,514.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD016,1,739,514.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD016,2,739,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD016,3,1027,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD017,0,1039,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD017,1,797,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD017,2,797,578.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD017,3,1038,578.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD018,0,739,514.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD018,1,373,514.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD018,2,373,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD018,3,739,334.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD019,0,797,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD019,1,667,779.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD019,2,667,578.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD019,3,797,578.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD020,0,373,514.0,Charlotte - 436 E 36th,,,,,,,,,
CLTNOD020,1,373,712.0,Charlotte - 436 E 36th,,,,,,,,,
