Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CLTUPT1801,0,530,1035.0,Charlotte Uptown S,1801,,,,,,,,
CLTUPT1801,1,530,790.0,Charlotte Uptown S,1801,,,,,,,,
CLTUPT1801,2,190,790.0,Charlotte Uptown S,1801,,,,,,,,
CLTUPT1801,3,190,1035.0,Charlotte Uptown S,1801,,,,,,,,
CLTUPT1802,0,530,1035.0,Charlotte Uptown S,1802,,,,,,,,
CLTUPT1802,1,530,1275.0,Charlotte Uptown S,1802,,,,,,,,
CLTUPT1802,2,190,1275.0,Charlotte Uptown S,1802,,,,,,,,
CLTUPT1802,3,190,1035.0,Charlotte Uptown S,1802,,,,,,,,
CLTUPT1803,0,530,1275.0,Charlotte Uptown S,1803,,,,,,,,
CLTUPT1803,1,530,1520.0,Charlotte Uptown S,1803,,,,,,,,
CLTUPT1803,2,190,1520.0,Charlotte Uptown S,1803,,,,,,,,
CLTUPT1803,3,190,1275.0,Charlotte Uptown S,1803,,,,,,,,
CLTUPT1804,0,530,1520.0,Charlotte Uptown S,1804,,,,,,,,
CLTUPT1804,1,530,1765.0,Charlotte Uptown S,1804,,,,,,,,
CLTUPT1804,2,190,1765.0,Charlotte Uptown S,1804,,,,,,,,
CLTUPT1804,3,190,1520.0,Charlotte Uptown S,1804,,,,,,,,
CLTUPT1805,0,755,1655.0,Charlotte Uptown S,1805,,,,,,,,
CLTUPT1805,1,755,1540.0,Charlotte Uptown S,1805,,,,,,,,
CLTUPT1805,2,595,1540.0,Charlotte Uptown S,1805,,,,,,,,
CLTUPT1805,3,595,1655.0,Charlotte Uptown S,1805,,,,,,,,
CLTUPT1806,0,755,1655.0,Charlotte Uptown S,1806,,,,,,,,
CLTUPT1806,1,755,1770.0,Charlotte Uptown S,1806,,,,,,,,
CLTUPT1806,2,595,1770.0,Charlotte Uptown S,1806,,,,,,,,
CLTUPT1806,3,595,1655.0,Charlotte Uptown S,1806,,,,,,,,
CLTUPT1807,0,730,2035.0,Charlotte Uptown S,1807,,,,,,,,
CLTUPT1807,1,730,1835.0,Charlotte Uptown S,1807,,,,,,,,
CLTUPT1807,2,595,1835.0,Charlotte Uptown S,1807,,,,,,,,
CLTUPT1807,3,595,2035.0,Charlotte Uptown S,1807,,,,,,,,
CLTUPT1808,0,730,2035.0,Charlotte Uptown S,1808,,,,,,,,
CLTUPT1808,1,870,2035.0,Charlotte Uptown S,1808,,,,,,,,
CLTUPT1808,2,870,1835.0,Charlotte Uptown S,1808,,,,,,,,
CLTUPT1808,3,730,1835.0,Charlotte Uptown S,1808,,,,,,,,
CLTUPT1809,0,755,1770.0,Charlotte Uptown S,1809,,,,,,,,
CLTUPT1809,1,930,1770.0,Charlotte Uptown S,1809,,,,,,,,
CLTUPT1809,2,930,1540.0,Charlotte Uptown S,1809,,,,,,,,
CLTUPT1809,3,755,1540.0,Charlotte Uptown S,1809,,,,,,,,
CLTUPT1810,0,870,2035.0,Charlotte Uptown S,1810,,,,,,,,
CLTUPT1810,1,"1,005",2035.0,Charlotte Uptown S,1810,,,,,,,,
CLTUPT1810,2,"1,005",1835.0,Charlotte Uptown S,1810,,,,,,,,
CLTUPT1810,3,870,1835.0,Charlotte Uptown S,1810,,,,,,,,
CLTUPT1811,0,"1,005",2035.0,Charlotte Uptown S,1811,,,,,,,,
CLTUPT1811,1,"1,140",2035.0,Charlotte Uptown S,1811,,,,,,,,
CLTUPT1811,2,"1,140",1835.0,Charlotte Uptown S,1811,,,,,,,,
CLTUPT1811,3,"1,005",1835.0,Charlotte Uptown S,1811,,,,,,,,
CLTUPT1812,0,530,1765.0,Charlotte Uptown S,1812,,,,,,,,
CLTUPT1812,1,530,2005.0,Charlotte Uptown S,1812,,,,,,,,
CLTUPT1812,2,190,2005.0,Charlotte Uptown S,1812,,,,,,,,
CLTUPT1812,3,190,1765.0,Charlotte Uptown S,1812,,,,,,,,
CLTUPT1813,0,530,2005.0,Charlotte Uptown S,1813,,,,,,,,
