Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHICLA901,0,1651,1174.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA001,0,208,2274.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA001,1,208,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA001,2,536,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA001,3,536,2274.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA002,0,536,2274.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA002,1,536,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA002,2,951,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA002,3,951,2275.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA003,0,951,2275.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA003,1,951,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA003,2,1158,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA003,3,1158,2273.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA004,0,1158,2273.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA004,1,1158,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA004,2,1367,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA004,3,1367,2274.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA005,0,1367,2274.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA005,1,1367,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA005,2,1606,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA005,3,1606,2272.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA006,0,1606,2272.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA006,1,1606,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA006,2,1814,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA006,3,1814,2273.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA007,0,1814,2273.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA007,1,1814,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA007,2,2023,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA007,3,2023,2275.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA008,0,2023,2275.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA008,1,2023,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA008,2,2262,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA008,3,2262,2275.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA009,0,2262,2275.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA009,1,2262,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA009,2,2470,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA009,3,2470,2275.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA010,0,2470,2275.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA010,1,2470,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA010,2,2677,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA010,3,2677,2276.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA011,0,2677,2276.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA011,1,2677,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA011,2,3093,2013.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA011,3,3093,2272.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA012,0,206,367.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA012,2,207,626.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA012,4,621.5,367.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA012,3,621.5,625.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA013,0,621.5,626.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA013,1,621.5,367.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA013,2,950,367.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA013,3,950,626.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA014,0,950,626.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA014,1,950,367.0,Chicago - 1165 N Clark,,,,,,,,,
CHICLA014,2,1157,367.0,Chicago - 1165 N Clark,,,,,,,,,
