Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHIABE901,0,978,2097.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE001,0,570.1,2258.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE001,1,490.9,2258.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE001,2,490.9,2134.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE001,3,569.9,2134.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE002,0,490.9,2258.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE002,1,230.9,2258.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE002,2,230.9,2135.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE002,3,490.9,2134.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE003,0,230.9,2135.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE003,1,230.9,2022.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE003,2,383.9,2022.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE003,3,383.9,2134.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE004,0,383.9,2022.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE004,1,383.9,1799.4,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE004,2,232.8,1798.8,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE004,3,230.9,2022.9,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE005,0,569,2089.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE005,1,430,2089.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE005,2,430,2013.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE005,3,570,2013.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE006,0,430,2013.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE006,1,430,1922.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE006,2,569,1922.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE006,3,570,2013.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE007,0,430,1922.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE007,1,430,1839.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE007,2,570,1839.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE007,3,569,1922.0,Chicago - 171 N Aberdeen,4,,,,,,,,
CHIABE008,0,430,1839.0,Chicago - 171 N Aberdeen,4,,,,,,,,
