Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHIRVN901,0,924,1303.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN001,0,106.015625,941.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN001,1,452.015625,941.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN001,2,452.015625,649.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN001,3,108.015625,649.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN002,0,106.015625,941.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN002,1,106.015625,1218.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN002,2,300,1218.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN002,3,300,941.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN003,0,300,1218.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN003,1,300,1433.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN003,2,112,1433.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN003,3,106.015625,1218.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN004,0,300,1433.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN004,1,300,1623.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN004,2,110,1623.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN004,3,112,1433.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN005,0,300,1623.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN005,1,300,1810.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN005,2,111,1810.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN005,3,110,1623.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN006a,0,300,1810.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN006a,1,300,1982.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN006a,2,107,1982.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN006a,3,111,1810.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN006b,0,300,1982.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN006b,1,300,2206.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN006b,2,109,2206.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN006b,3,107,1982.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN007,0,109,2206.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN007,1,109,2362.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN007,2,394,2362.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN007,3,394,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN008,0,394,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN008,1,671,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN008,2,671,2360.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN008,3,394,2362.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN009,0,671,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN009,1,927,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN009,2,927,2362.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN009,3,671,2360.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN010,0,927,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN010,1,1114,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN010,2,1114,2360.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN010,3,927,2362.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN011,0,1114,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN011,1,1302,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN011,2,1302,2359.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN011,3,1114,2360.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN012,0,1302,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN012,1,1489,2207.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN012,2,1489,2361.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN012,3,1302,2359.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN013a,0,1319,1880.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN013a,1,1490,1880.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN013a,2,1490,1687.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN013a,3,1319,1687.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN013b,0,1319,1880.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN013b,1,1319,2085.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN013b,2,1488,2085.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN013b,3,1490,1880.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN014,0,1319,1687.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN014,1,1319,1434.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN014,2,1489,1434.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN014,3,1490,1687.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN015,0,1319,1434.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN015,1,1319,1218.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN015,2,1487,1218.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN015,3,1489,1434.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN016,0,1051.015625,1505.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN016,1,1245,1505.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN016,2,1245,1253.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN016,3,1054,1253.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN017,0,1245,1505.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN017,1,1245,1695.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN017,2,1053,1694.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN017,3,1051.015625,1505.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN018,0,1245,1695.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN018,1,1245,1826.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN018,2,1052,1826.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN018,3,1053,1694.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN019,0,1245,1826.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN019,1,1245,2024.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN019,2,1051,2025.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN019,3,1052,1826.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN020,0,1245,2024.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN020,1,1245,2133.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN020,2,1052,2133.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN020,3,1051,2025.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN021,0,1051,2025.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN021,1,865,2025.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN021,2,865,1788.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN021,3,1053,1788.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN022,0,865,1788.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN022,1,865,1644.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN022,2,1053,1644.0,Chicago - 320 W Ohio,,,,,,,,,
CHIRVN022,3,1053,1788.0,Chicago - 320 W Ohio,,,,,,,,,
