Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHIJAC901,0,1326,964.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC007,0,2324.015625,2474.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC007,1,2731.015625,2474.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC007,2,2731.015625,1930.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC007,3,2323.015625,1932.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC008,0,543.015625,1392.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC008,1,909.015625,1392.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC008,2,909.015625,1256.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC008,3,542.015625,1256.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC009,0,542.015625,1256.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC009,1,542.015625,1034.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC009,2,741.015625,1035.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC009,3,741.015625,1253.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC010,0,741.015625,1035.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC010,1,741.015625,742.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC010,2,541.015625,742.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC010,3,542.015625,1034.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC011,0,741.015625,742.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC011,1,741.015625,539.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC011,2,542.015625,539.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC011,3,541.015625,742.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC012,0,741.015625,539.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC012,1,741.015625,372.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC012,2,543.015625,372.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC012,3,542.015625,539.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC013,0,543.015625,372.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC013,1,835.015625,372.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC013,2,835.015625,157.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC013,3,543.015625,158.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC014,0,835.015625,372.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC014,1,1067.015625,372.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC014,2,1068.015625,158.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC014,3,835.015625,157.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC015,0,1067.015625,372.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC015,1,1248.015625,372.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC015,2,1248.015625,158.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC015,3,1068.015625,158.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC016,0,1251.015625,370.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC016,1,1491.015625,370.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC016,2,1491.015625,158.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC016,3,1248.015625,158.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC017,0,1491.015625,370.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC017,1,1752.015625,371.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC017,2,1752.015625,159.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC017,3,1491.015625,158.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC018,0,1752.015625,371.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC018,1,1869.015625,371.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC018,2,1869.015625,157.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC018,3,1752.015625,159.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC019,0,1869.015625,371.0,Chicago - 600 W Jackson,,,,,,,,,
CHIJAC019,1,2106.015625,371.0,Chicago - 600 W Jackson,,,,,,,,,
