Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHISLA901,0,305,2387.0,Chicago Central Loop,,,,,,,,,
CHISLA001,0,368,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA001,1,368,1922.0,Chicago Central Loop,,,,,,,,,
CHISLA001,2,246,1923.0,Chicago Central Loop,,,,,,,,,
CHISLA001,3,246,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA002,0,409,1922.0,Chicago Central Loop,,,,,,,,,
CHISLA002,1,409,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA002,2,478,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA002,3,478,1923.0,Chicago Central Loop,,,,,,,,,
CHISLA003,0,478,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA003,1,548,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA003,2,548,1922.0,Chicago Central Loop,,,,,,,,,
CHISLA003,3,478,1923.0,Chicago Central Loop,,,,,,,,,
CHISLA004,0,587,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA004,1,674,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA004,2,674,1920.0,Chicago Central Loop,,,,,,,,,
CHISLA004,3,586,1920.0,Chicago Central Loop,,,,,,,,,
CHISLA005,0,717,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA005,1,809,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA005,2,809,1918.0,Chicago Central Loop,,,,,,,,,
CHISLA005,3,717,1918.0,Chicago Central Loop,,,,,,,,,
CHISLA006,0,809,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA006,1,874.666687,2006.0,Chicago Central Loop,,,,,,,,,
CHISLA006,2,874.666687,1918.0,Chicago Central Loop,,,,,,,,,
CHISLA006,3,809,1918.0,Chicago Central Loop,,,,,,,,,
CHISLA007,0,874.666687,2006.0,Chicago Central Loop,,,,,,,,,
