Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHIOGICAN-A,0,520,3270.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,1,30,3270.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,2,30,2555.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,3,60,2555.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,4,60,2545.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,5,490,2550.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,6,490,2645.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,7,460,2645.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,8,460,2745.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,9,470,2745.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,10,470,2990.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-A,11,520,2990.0,Chicago Ogilvie (Retrace),9-A,,,,,,,,
CHIOGICAN-B,0,520,3270.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,1,515,2775.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,2,615,2775.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,3,615,2705.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,4,780,2705.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,5,780,2730.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,6,865,2730.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,7,865,2785.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,8,1005,2785.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,9,1005,3000.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,10,915,3000.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-B,11,915,3265.0,Chicago Ogilvie (Retrace),9-B,,,,,,,,
CHIOGICAN-C,0,1005,3000.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-C,1,1005,2785.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-C,2,1145,2785.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-C,3,1145,2705.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-C,4,1220,2705.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-C,5,1220,2730.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-C,6,1315,2730.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-C,7,1315,2705.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-C,8,1660,2705.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-C,9,1660,3000.0,Chicago Ogilvie (Retrace),9-C,,,,,,,,
CHIOGICAN-D,0,1660,3000.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,1,1625,3000.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,2,1625,3265.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,3,2510,3265.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,4,2510,2955.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,5,2265,2955.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,6,2265,3045.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,7,2120,3045.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,8,2120,2745.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,9,2015,2745.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,10,2015,2810.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,11,1925,2810.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,12,1925,2700.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,13,1765,2700.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,14,1765,2730.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-D,15,1660,2730.0,Chicago Ogilvie (Retrace),9-D,,,,,,,,
CHIOGICAN-E,0,2265,2955.0,Chicago Ogilvie (Retrace),9-E,,,,,,,,
CHIOGICAN-E,1,2265,2875.0,Chicago Ogilvie (Retrace),9-E,,,,,,,,
CHIOGICAN-E,2,2120,2875.0,Chicago Ogilvie (Retrace),9-E,,,,,,,,
CHIOGICAN-E,3,2120,2745.0,Chicago Ogilvie (Retrace),9-E,,,,,,,,
CHIOGICAN-E,4,2145,2745.0,Chicago Ogilvie (Retrace),9-E,,,,,,,,
CHIOGICAN-E,5,2145,2655.0,Chicago Ogilvie (Retrace),9-E,,,,,,,,
