Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHIWACCafe/Lounge,0,2022,1919.0,Chicago Willis Tower,,,,,,,,,
CHIWACCafe/Lounge,1,2025,1561.0,Chicago Willis Tower,,,,,,,,,
CHIWACCafe/Lounge,2,2585,1561.0,Chicago Willis Tower,,,,,,,,,
CHIWACCafe/Lounge,3,2585,1677.0,Chicago Willis Tower,,,,,,,,,
CHIWACCafe/Lounge,4,2773,1677.0,Chicago Willis Tower,,,,,,,,,
CHIWACCafe/Lounge,5,2773,1923.0,Chicago Willis Tower,,,,,,,,,
CHIWAC001,0,1590,1916.0,Chicago Willis Tower,,,,,,,,,
CHIWAC001,1,1675.5,1916.0,Chicago Willis Tower,,,,,,,,,
CHIWAC001,2,1675.5,1757.0,Chicago Willis Tower,,,,,,,,,
CHIWAC001,3,1589.5,1757.0,Chicago Willis Tower,,,,,,,,,
CHIWAC002,0,1675.5,1916.0,Chicago Willis Tower,,,,,,,,,
CHIWAC002,1,1765.5,1916.0,Chicago Willis Tower,,,,,,,,,
CHIWAC002,2,1765.5,1756.0,Chicago Willis Tower,,,,,,,,,
CHIWAC002,3,1675.5,1757.0,Chicago Willis Tower,,,,,,,,,
CHIWAC003,0,1777.5,2125.0,Chicago Willis Tower,,,,,,,,,
CHIWAC003,1,1879.5,2125.0,Chicago Willis Tower,,,,,,,,,
CHIWAC003,2,1879.5,2064.0,Chicago Willis Tower,,,,,,,,,
CHIWAC003,3,1776.5,2065.0,Chicago Willis Tower,,,,,,,,,
CHIWAC004,0,1879.5,2125.0,Chicago Willis Tower,,,,,,,,,
CHIWAC004,1,1879.5,2209.0,Chicago Willis Tower,,,,,,,,,
CHIWAC004,2,1777.5,2209.0,Chicago Willis Tower,,,,,,,,,
CHIWAC004,3,1777.5,2125.0,Chicago Willis Tower,,,,,,,,,
CHIWAC005,0,1886,2407.0,Chicago Willis Tower,,,,,,,,,
CHIWAC005,1,1886,2259.0,Chicago Willis Tower,,,,,,,,,
CHIWAC005,2,1928,2259.0,Chicago Willis Tower,,,,,,,,,
CHIWAC005,3,1928,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC005,4,2009,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC005,5,2009,2365.0,Chicago Willis Tower,,,,,,,,,
CHIWAC005,6,1988,2365.0,Chicago Willis Tower,,,,,,,,,
CHIWAC005,7,1988,2406.0,Chicago Willis Tower,,,,,,,,,
CHIWAC006,0,2090,2170.5,Chicago Willis Tower,,,,,,,,,
CHIWAC006,1,2090,2107.5,Chicago Willis Tower,,,,,,,,,
CHIWAC006,2,2004,2107.5,Chicago Willis Tower,,,,,,,,,
CHIWAC006,3,2004,2171.5,Chicago Willis Tower,,,,,,,,,
CHIWAC007,0,2009,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC007,1,2212,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC007,2,2212,2404.5,Chicago Willis Tower,,,,,,,,,
CHIWAC007,3,2042,2404.5,Chicago Willis Tower,,,,,,,,,
CHIWAC007,4,2042,2365.5,Chicago Willis Tower,,,,,,,,,
CHIWAC007,5,2009,2365.0,Chicago Willis Tower,,,,,,,,,
CHIWAC008,0,2090,2170.5,Chicago Willis Tower,,,,,,,,,
CHIWAC008,1,2173,2170.5,Chicago Willis Tower,,,,,,,,,
CHIWAC008,2,2173,2079.5,Chicago Willis Tower,,,,,,,,,
CHIWAC008,3,2149,2079.5,Chicago Willis Tower,,,,,,,,,
CHIWAC008,4,2149,2024.5,Chicago Willis Tower,,,,,,,,,
CHIWAC008,5,2090,2024.5,Chicago Willis Tower,,,,,,,,,
CHIWAC009,0,2090,2024.5,Chicago Willis Tower,,,,,,,,,
CHIWAC009,1,2197,2024.5,Chicago Willis Tower,,,,,,,,,
CHIWAC009,2,2197,1920.5,Chicago Willis Tower,,,,,,,,,
CHIWAC009,3,2090,1920.5,Chicago Willis Tower,,,,,,,,,
CHIWAC010,0,2197,2024.5,Chicago Willis Tower,,,,,,,,,
CHIWAC010,1,2305,2024.5,Chicago Willis Tower,,,,,,,,,
CHIWAC010,2,2305,1922.5,Chicago Willis Tower,,,,,,,,,
CHIWAC010,3,2197,1920.5,Chicago Willis Tower,,,,,,,,,
CHIWAC011,0,2305,2024.5,Chicago Willis Tower,,,,,,,,,
CHIWAC011,1,2305,2171.5,Chicago Willis Tower,,,,,,,,,
CHIWAC011,2,2217,2171.5,Chicago Willis Tower,,,,,,,,,
CHIWAC011,3,2217,2079.5,Chicago Willis Tower,,,,,,,,,
CHIWAC011,4,2244,2079.5,Chicago Willis Tower,,,,,,,,,
CHIWAC011,5,2244,2023.5,Chicago Willis Tower,,,,,,,,,
CHIWAC012,0,2212,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC012,1,2328,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC012,2,2328,2406.5,Chicago Willis Tower,,,,,,,,,
CHIWAC012,3,2212,2404.5,Chicago Willis Tower,,,,,,,,,
CHIWAC013,0,2328,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC013,1,2439,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC013,2,2439,2405.5,Chicago Willis Tower,,,,,,,,,
CHIWAC013,3,2328,2406.5,Chicago Willis Tower,,,,,,,,,
CHIWAC014,0,2305,2171.5,Chicago Willis Tower,,,,,,,,,
CHIWAC014,1,2425,2171.5,Chicago Willis Tower,,,,,,,,,
CHIWAC014,2,2426,1922.0,Chicago Willis Tower,,,,,,,,,
CHIWAC014,3,2305,1922.5,Chicago Willis Tower,,,,,,,,,
CHIWAC015,0,2439,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC015,1,2622,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC015,2,2622,2405.5,Chicago Willis Tower,,,,,,,,,
CHIWAC015,3,2439,2405.5,Chicago Willis Tower,,,,,,,,,
CHIWAC016,0,2425,2171.5,Chicago Willis Tower,,,,,,,,,
CHIWAC016,1,2538,2171.5,Chicago Willis Tower,,,,,,,,,
CHIWAC016,2,2538,2086.0,Chicago Willis Tower,,,,,,,,,
CHIWAC016,3,2425,2086.0,Chicago Willis Tower,,,,,,,,,
CHIWAC017,0,2622,2405.5,Chicago Willis Tower,,,,,,,,,
CHIWAC017,1,2772,2405.5,Chicago Willis Tower,,,,,,,,,
CHIWAC017,2,2772,2136.0,Chicago Willis Tower,,,,,,,,,
CHIWAC017,3,2585,2136.0,Chicago Willis Tower,,,,,,,,,
CHIWAC017,4,2585,2218.0,Chicago Willis Tower,,,,,,,,,
CHIWAC017,5,2622,2219.0,Chicago Willis Tower,,,,,,,,,
CHIWAC018,0,2538,2086.0,Chicago Willis Tower,,,,,,,,,
CHIWAC018,1,2538,2026.0,Chicago Willis Tower,,,,,,,,,
CHIWAC018,2,2426,2024.0,Chicago Willis Tower,,,,,,,,,
CHIWAC018,3,2425,2086.0,Chicago Willis Tower,,,,,,,,,
CHIWAC019,0,2585,2136.0,Chicago Willis Tower,,,,,,,,,
CHIWAC019,1,2585,2039.0,Chicago Willis Tower,,,,,,,,,
CHIWAC019,2,2772,2040.0,Chicago Willis Tower,,,,,,,,,
CHIWAC019,3,2772,2136.0,Chicago Willis Tower,,,,,,,,,
CHIWAC020,0,2538,2026.0,Chicago Willis Tower,,,,,,,,,
CHIWAC020,1,2538,1921.0,Chicago Willis Tower,,,,,,,,,
CHIWAC020,2,2426,1922.0,Chicago Willis Tower,,,,,,,,,
CHIWAC020,3,2426,2024.0,Chicago Willis Tower,,,,,,,,,
CHIWAC021,0,2774,2039.0,Chicago Willis Tower,,,,,,,,,
CHIWAC021,1,2773,1923.0,Chicago Willis Tower,,,,,,,,,
CHIWAC021,2,2585,1923.0,Chicago Willis Tower,,,,,,,,,
CHIWAC021,3,2585,2039.0,Chicago Willis Tower,,,,,,,,,
CHIWAC022,0,2539,1397.0,Chicago Willis Tower,,,,,,,,,
CHIWAC022,1,2539,1316.0,Chicago Willis Tower,,,,,,,,,
CHIWAC022,2,2435,1316.0,Chicago Willis Tower,,,,,,,,,
CHIWAC022,3,2435,1396.0,Chicago Willis Tower,,,,,,,,,
CHIWAC023,0,2539,1316.0,Chicago Willis Tower,,,,,,,,,
CHIWAC023,1,2539,1230.0,Chicago Willis Tower,,,,,,,,,
CHIWAC023,2,2436,1230.0,Chicago Willis Tower,,,,,,,,,
CHIWAC023,3,2435,1316.0,Chicago Willis Tower,,,,,,,,,
CHIWAC024,0,2586,1368.0,Chicago Willis Tower,,,,,,,,,
CHIWAC024,1,2586,1230.0,Chicago Willis Tower,,,,,,,,,
CHIWAC024,2,2670,1230.0,Chicago Willis Tower,,,,,,,,,
CHIWAC024,3,2670,1224.0,Chicago Willis Tower,,,,,,,,,
CHIWAC024,4,2774,1224.0,Chicago Willis Tower,,,,,,,,,
CHIWAC024,5,2774,1369.0,Chicago Willis Tower,,,,,,,,,
CHIWAC025,0,2539,1183.0,Chicago Willis Tower,,,,,,,,,
CHIWAC025,1,2456,1183.0,Chicago Willis Tower,,,,,,,,,
CHIWAC025,2,2456,1096.0,Chicago Willis Tower,,,,,,,,,
CHIWAC025,3,2539,1096.0,Chicago Willis Tower,,,,,,,,,
CHIWAC026,0,2539,1183.0,Chicago Willis Tower,,,,,,,,,
CHIWAC026,1,2622,1183.0,Chicago Willis Tower,,,,,,,,,
CHIWAC026,2,2622,1097.0,Chicago Willis Tower,,,,,,,,,
CHIWAC026,3,2539,1096.0,Chicago Willis Tower,,,,,,,,,
CHIWAC027,0,2774,1224.0,Chicago Willis Tower,,,,,,,,,
CHIWAC027,1,2774,1041.0,Chicago Willis Tower,,,,,,,,,
CHIWAC027,2,2670.5,1041.0,Chicago Willis Tower,,,,,,,,,
CHIWAC027,3,2670,1224.0,Chicago Willis Tower,,,,,,,,,
CHIWAC028,0,2622,1097.0,Chicago Willis Tower,,,,,,,,,
CHIWAC028,1,2622,1030.5,Chicago Willis Tower,,,,,,,,,
CHIWAC028,2,2456.5,1030.5,Chicago Willis Tower,,,,,,,,,
CHIWAC028,3,2456,1096.0,Chicago Willis Tower,,,,,,,,,
CHIWAC029,0,2622.5,952.0,Chicago Willis Tower,,,,,,,,,
CHIWAC029,1,2475.5,952.0,Chicago Willis Tower,,,,,,,,,
CHIWAC029,2,2475.5,837.0,Chicago Willis Tower,,,,,,,,,
CHIWAC029,3,2621.5,837.0,Chicago Willis Tower,,,,,,,,,
CHIWAC030,0,2475.5,952.0,Chicago Willis Tower,,,,,,,,,
CHIWAC030,1,2384.5,952.0,Chicago Willis Tower,,,,,,,,,
CHIWAC030,2,2384.5,836.0,Chicago Willis Tower,,,,,,,,,
CHIWAC030,3,2475.5,837.0,Chicago Willis Tower,,,,,,,,,
CHIWAC031,0,2384.5,952.0,Chicago Willis Tower,,,,,,,,,
CHIWAC031,1,2291,952.0,Chicago Willis Tower,,,,,,,,,
CHIWAC031,2,2291,837.0,Chicago Willis Tower,,,,,,,,,
CHIWAC031,3,2384.5,836.0,Chicago Willis Tower,,,,,,,,,
CHIWAC032,0,2291,952.0,Chicago Willis Tower,,,,,,,,,
CHIWAC032,1,2144,952.0,Chicago Willis Tower,,,,,,,,,
CHIWAC032,2,2144,835.0,Chicago Willis Tower,,,,,,,,,
CHIWAC032,3,2291,837.0,Chicago Willis Tower,,,,,,,,,
CHIWAC033,0,2032.5,670.5,Chicago Willis Tower,,,,,,,,,
CHIWAC033,1,1914.5,670.5,Chicago Willis Tower,,,,,,,,,
CHIWAC033,2,1914.5,597.5,Chicago Willis Tower,,,,,,,,,
CHIWAC033,3,2031.5,597.5,Chicago Willis Tower,,,,,,,,,
