Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WDCCIT301,0,1478,1476.0,City Ridge,301,,,,,,,,
WDCCIT301,1,1589,1475.0,City Ridge,301,,,,,,,,
WDCCIT301,2,1590,1330.0,City Ridge,301,,,,,,,,
WDCCIT301,3,1480,1331.0,City Ridge,301,,,,,,,,
WDCCIT302,0,1410,1626.0,City Ridge,302,,,,,,,,
WDCCIT302,1,1539,1627.0,City Ridge,302,,,,,,,,
WDCCIT302,2,1537,1522.0,City Ridge,302,,,,,,,,
WDCCIT302,3,1409,1521.0,City Ridge,302,,,,,,,,
WDCCIT303,0,1478,1476.0,City Ridge,303,,,,,,,,
WDCCIT303,1,1365,1475.0,City Ridge,303,,,,,,,,
WDCCIT303,2,1367,1333.0,City Ridge,303,,,,,,,,
WDCCIT303,3,1480,1331.0,City Ridge,303,,,,,,,,
WDCCIT304,0,1319,1628.0,City Ridge,304,,,,,,,,
WDCCIT304,1,1410,1626.0,City Ridge,304,,,,,,,,
WDCCIT304,2,1409,1521.0,City Ridge,304,,,,,,,,
WDCCIT304,3,1320,1520.0,City Ridge,304,,,,,,,,
WDCCIT305,0,1150,1478.0,City Ridge,305,,,,,,,,
WDCCIT305,1,1365,1475.0,City Ridge,305,,,,,,,,
WDCCIT305,2,1367,1333.0,City Ridge,305,,,,,,,,
WDCCIT305,3,1151,1331.0,City Ridge,305,,,,,,,,
WDCCIT306,0,1228,1626.0,City Ridge,306,,,,,,,,
WDCCIT306,1,1319,1628.0,City Ridge,306,,,,,,,,
WDCCIT306,2,1320,1520.0,City Ridge,306,,,,,,,,
WDCCIT306,3,1226,1523.0,City Ridge,306,,,,,,,,
WDCCIT307,0,939,1476.0,City Ridge,307,,,,,,,,
WDCCIT307,1,1150,1478.0,City Ridge,307,,,,,,,,
WDCCIT307,2,1151,1331.0,City Ridge,307,,,,,,,,
WDCCIT307,3,942,1330.0,City Ridge,307,,,,,,,,
WDCCIT308,0,931,1630.0,City Ridge,308,,,,,,,,
WDCCIT308,1,1061,1633.0,City Ridge,308,,,,,,,,
WDCCIT308,2,1059,1525.0,City Ridge,308,,,,,,,,
WDCCIT308,3,932,1521.0,City Ridge,308,,,,,,,,
WDCCIT309,0,939,1476.0,City Ridge,309,,,,,,,,
WDCCIT309,1,889,1477.0,City Ridge,309,,,,,,,,
WDCCIT309,2,888,1509.0,City Ridge,309,,,,,,,,
WDCCIT309,3,741,1510.0,City Ridge,309,,,,,,,,
WDCCIT309,4,743,1331.0,City Ridge,309,,,,,,,,
WDCCIT309,5,942,1330.0,City Ridge,309,,,,,,,,
WDCCIT310,0,932,1781.0,City Ridge,310,,,,,,,,
WDCCIT310,1,1059,1783.0,City Ridge,310,,,,,,,,
WDCCIT310,2,1061,1633.0,City Ridge,310,,,,,,,,
WDCCIT310,3,931,1630.0,City Ridge,310,,,,,,,,
WDCCIT311,0,885,1628.0,City Ridge,311,,,,,,,,
WDCCIT311,1,743,1626.0,City Ridge,311,,,,,,,,
WDCCIT311,2,741,1510.0,City Ridge,311,,,,,,,,
WDCCIT311,3,888,1509.0,City Ridge,311,,,,,,,,
WDCCIT312,0,932,1845.0,City Ridge,312,,,,,,,,
WDCCIT312,1,1039,1844.0,City Ridge,312,,,,,,,,
WDCCIT312,2,1040,1782.0,City Ridge,312,,,,,,,,
WDCCIT312,3,932,1781.0,City Ridge,312,,,,,,,,
WDCCIT313,0,887,1737.0,City Ridge,313,,,,,,,,
WDCCIT313,1,743,1738.0,City Ridge,313,,,,,,,,
WDCCIT313,2,743,1626.0,City Ridge,313,,,,,,,,
WDCCIT313,3,885,1628.0,City Ridge,313,,,,,,,,
WDCCIT314,0,932,1904.0,City Ridge,314,,,,,,,,
WDCCIT314,1,1040,1905.0,City Ridge,314,,,,,,,,
WDCCIT314,2,1039,1844.0,City Ridge,314,,,,,,,,
WDCCIT314,3,932,1845.0,City Ridge,314,,,,,,,,
WDCCIT315,0,885,1934.0,City Ridge,315,,,,,,,,
WDCCIT315,1,740,1932.0,City Ridge,315,,,,,,,,
WDCCIT315,2,743,1738.0,City Ridge,315,,,,,,,,
WDCCIT315,3,887,1737.0,City Ridge,315,,,,,,,,
WDCCIT316,0,932,1991.0,City Ridge,316,,,,,,,,
WDCCIT316,1,1040,1991.0,City Ridge,316,,,,,,,,
WDCCIT316,2,1040,1905.0,City Ridge,316,,,,,,,,
WDCCIT316,3,932,1904.0,City Ridge,316,,,,,,,,
WDCCIT317,0,887,2127.0,City Ridge,317,,,,,,,,
WDCCIT317,1,738,2129.0,City Ridge,317,,,,,,,,
WDCCIT317,2,740,1932.0,City Ridge,317,,,,,,,,
