Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MIAGRV101,0,1785,1825.0,Coconut Grove,101,,,,,,,,
MIAGRV101,1,1785,2035.0,Coconut Grove,101,,,,,,,,
MIAGRV101,2,1615,2035.0,Coconut Grove,101,,,,,,,,
MIAGRV101,3,1615,1825.0,Coconut Grove,101,,,,,,,,
MIAGRV102,0,1615,1825.0,Coconut Grove,102,,,,,,,,
MIAGRV102,1,1490,1825.0,Coconut Grove,102,,,,,,,,
MIAGRV102,2,1490,2035.0,Coconut Grove,102,,,,,,,,
MIAGRV102,3,1615,2035.0,Coconut Grove,102,,,,,,,,
MIAGRV103,0,1490,2035.0,Coconut Grove,103,,,,,,,,
MIAGRV103,1,1205,2035.0,Coconut Grove,103,,,,,,,,
MIAGRV103,2,1205,1825.0,Coconut Grove,103,,,,,,,,
MIAGRV103,3,1490,1825.0,Coconut Grove,103,,,,,,,,
MIAGRV104,0,1205,2035.0,Coconut Grove,104,,,,,,,,
MIAGRV104,1,960,2035.0,Coconut Grove,104,,,,,,,,
MIAGRV104,2,960,1825.0,Coconut Grove,104,,,,,,,,
MIAGRV104,3,1205,1825.0,Coconut Grove,104,,,,,,,,
MIAGRV105,0,960,2035.0,Coconut Grove,105,,,,,,,,
MIAGRV105,1,720,2035.0,Coconut Grove,105,,,,,,,,
MIAGRV105,2,720,1915.0,Coconut Grove,105,,,,,,,,
MIAGRV105,3,795,1915.0,Coconut Grove,105,,,,,,,,
MIAGRV105,4,795,1825.0,Coconut Grove,105,,,,,,,,
MIAGRV105,5,960,1825.0,Coconut Grove,105,,,,,,,,
MIAGRV106,0,985,2095.0,Coconut Grove,106,,,,,,,,
MIAGRV106,1,985,2195.0,Coconut Grove,106,,,,,,,,
MIAGRV106,2,850,2195.0,Coconut Grove,106,,,,,,,,
MIAGRV106,3,850,2095.0,Coconut Grove,106,,,,,,,,
MIAGRV107,0,850,2095.0,Coconut Grove,107,,,,,,,,
MIAGRV107,1,725,2095.0,Coconut Grove,107,,,,,,,,
MIAGRV107,2,725,2310.0,Coconut Grove,107,,,,,,,,
MIAGRV107,3,850,2310.0,Coconut Grove,107,,,,,,,,
MIAGRV108,0,850,2310.0,Coconut Grove,108,,,,,,,,
MIAGRV108,1,985,2310.0,Coconut Grove,108,,,,,,,,
MIAGRV108,2,985,2195.0,Coconut Grove,108,,,,,,,,
MIAGRV108,3,850,2195.0,Coconut Grove,108,,,,,,,,
MIAGRV109,0,1050,2530.0,Coconut Grove,109,,,,,,,,
MIAGRV109,1,1050,2370.0,Coconut Grove,109,,,,,,,,
MIAGRV109,2,895,2370.0,Coconut Grove,109,,,,,,,,
MIAGRV109,3,895,2530.0,Coconut Grove,109,,,,,,,,
MIAGRV110,0,1050,2370.0,Coconut Grove,110,,,,,,,,
MIAGRV110,1,1160,2370.0,Coconut Grove,110,,,,,,,,
MIAGRV110,2,1160,2530.0,Coconut Grove,110,,,,,,,,
MIAGRV110,3,1050,2530.0,Coconut Grove,110,,,,,,,,
MIAGRV111,0,895,2530.0,Coconut Grove,111,,,,,,,,
MIAGRV111,1,895,2675.0,Coconut Grove,111,,,,,,,,
MIAGRV111,2,1160,2675.0,Coconut Grove,111,,,,,,,,
MIAGRV111,3,1160,2530.0,Coconut Grove,111,,,,,,,,
MIAGRV112,0,1160,2675.0,Coconut Grove,112,,,,,,,,
MIAGRV112,1,1160,2795.0,Coconut Grove,112,,,,,,,,
MIAGRV112,2,955,2795.0,Coconut Grove,112,,,,,,,,
MIAGRV112,3,955,2675.0,Coconut Grove,112,,,,,,,,
MIAGRV114,0,1160,2795.0,Coconut Grove,114,,,,,,,,
MIAGRV114,1,1160,2945.0,Coconut Grove,114,,,,,,,,
MIAGRV114,2,955,2945.0,Coconut Grove,114,,,,,,,,
MIAGRV114,3,955,2795.0,Coconut Grove,114,,,,,,,,
MIAGRV116,0,1160,2945.0,Coconut Grove,116,,,,,,,,
MIAGRV116,1,1160,3060.0,Coconut Grove,116,,,,,,,,
MIAGRV116,2,1055,3060.0,Coconut Grove,116,,,,,,,,
MIAGRV116,3,1055,2945.0,Coconut Grove,116,,,,,,,,
MIAGRV117,0,1055,3060.0,Coconut Grove,117,,,,,,,,
MIAGRV117,1,1055,3190.0,Coconut Grove,117,,,,,,,,
MIAGRV117,2,1105,3190.0,Coconut Grove,117,,,,,,,,
MIAGRV117,3,1105,3250.0,Coconut Grove,117,,,,,,,,
MIAGRV117,4,1275,3250.0,Coconut Grove,117,,,,,,,,
MIAGRV117,5,1275,3080.0,Coconut Grove,117,,,,,,,,
MIAGRV117,6,1160,3080.0,Coconut Grove,117,,,,,,,,
MIAGRV117,7,1160,3060.0,Coconut Grove,117,,,,,,,,
MIAGRV119,0,1275,3080.0,Coconut Grove,119,,,,,,,,
MIAGRV119,1,1470,3080.0,Coconut Grove,119,,,,,,,,
MIAGRV119,2,1470,3250.0,Coconut Grove,119,,,,,,,,
MIAGRV119,3,1275,3250.0,Coconut Grove,119,,,,,,,,
MIAGRV121,0,1470,3080.0,Coconut Grove,121,,,,,,,,
MIAGRV121,1,1610,3080.0,Coconut Grove,121,,,,,,,,
MIAGRV121,2,1610,3260.0,Coconut Grove,121,,,,,,,,
MIAGRV121,3,1515,3260.0,Coconut Grove,121,,,,,,,,
MIAGRV121,4,1515,3250.0,Coconut Grove,121,,,,,,,,
MIAGRV121,5,1470,3250.0,Coconut Grove,121,,,,,,,,
MIAGRV122,0,1610,3080.0,Coconut Grove,122,,,,,,,,
MIAGRV122,1,1745,3080.0,Coconut Grove,122,,,,,,,,
MIAGRV122,2,1945,2880.0,Coconut Grove,122,,,,,,,,
MIAGRV122,3,1945,2680.0,Coconut Grove,122,,,,,,,,
MIAGRV122,4,2125,2680.0,Coconut Grove,122,,,,,,,,
MIAGRV122,5,2125,2950.0,Coconut Grove,122,,,,,,,,
MIAGRV122,6,1805,3260.0,Coconut Grove,122,,,,,,,,
MIAGRV122,7,1610,3260.0,Coconut Grove,122,,,,,,,,
MIAGRV124,0,1945,2680.0,Coconut Grove,124,,,,,,,,
MIAGRV124,1,1945,2435.0,Coconut Grove,124,,,,,,,,
MIAGRV124,2,2125,2435.0,Coconut Grove,124,,,,,,,,
MIAGRV124,3,2125,2680.0,Coconut Grove,124,,,,,,,,
MIAGRV125,0,1945,2435.0,Coconut Grove,125,,,,,,,,
MIAGRV125,1,1945,2150.0,Coconut Grove,125,,,,,,,,
MIAGRV125,2,2125,2150.0,Coconut Grove,125,,,,,,,,
MIAGRV125,3,2125,2435.0,Coconut Grove,125,,,,,,,,
MIAGRV113,0,1395,2905.0,Coconut Grove,113,,,,,,,,
MIAGRV113,1,1395,2745.0,Coconut Grove,113,,,,,,,,
MIAGRV113,2,1220,2745.0,Coconut Grove,113,,,,,,,,
MIAGRV113,3,1220,2905.0,Coconut Grove,113,,,,,,,,
MIAGRV115,0,1220,2905.0,Coconut Grove,115,,,,,,,,
MIAGRV115,1,1220,3020.0,Coconut Grove,115,,,,,,,,
MIAGRV115,2,1345,3020.0,Coconut Grove,115,,,,,,,,
MIAGRV115,3,1345,2905.0,Coconut Grove,115,,,,,,,,
MIAGRV118,0,1345,2905.0,Coconut Grove,118,,,,,,,,
MIAGRV118,1,1485,2905.0,Coconut Grove,118,,,,,,,,
MIAGRV118,2,1485,3020.0,Coconut Grove,118,,,,,,,,
MIAGRV118,3,1345,3020.0,Coconut Grove,118,,,,,,,,
MIAGRV127,0,1395,2905.0,Coconut Grove,127,,,,,,,,
MIAGRV127,1,1545,2905.0,Coconut Grove,127,,,,,,,,
MIAGRV127,2,1545,2745.0,Coconut Grove,127,,,,,,,,
MIAGRV127,3,1395,2745.0,Coconut Grove,127,,,,,,,,
MIAGRV120,0,1485,2905.0,Coconut Grove,120,,,,,,,,
MIAGRV120,1,1695,2905.0,Coconut Grove,120,,,,,,,,
MIAGRV120,2,1695,3020.0,Coconut Grove,120,,,,,,,,
MIAGRV120,3,1485,3020.0,Coconut Grove,120,,,,,,,,
MIAGRV126,0,1545,2905.0,Coconut Grove,126,,,,,,,,
MIAGRV126,1,1695,2905.0,Coconut Grove,126,,,,,,,,
MIAGRV126,2,1695,2745.0,Coconut Grove,126,,,,,,,,
MIAGRV126,3,1545,2745.0,Coconut Grove,126,,,,,,,,
MIAGRV123,0,1695,3020.0,Coconut Grove,123,,,,,,,,
MIAGRV123,1,1725,3020.0,Coconut Grove,123,,,,,,,,
MIAGRV123,2,1885,2860.0,Coconut Grove,123,,,,,,,,
MIAGRV123,3,1885,2745.0,Coconut Grove,123,,,,,,,,
MIAGRV123,4,1695,2745.0,Coconut Grove,123,,,,,,,,
MIAGRV201,0,585,25.0,Coconut Grove,201,,,,,,,,
MIAGRV201,1,735,25.0,Coconut Grove,201,,,,,,,,
MIAGRV201,2,735,130.0,Coconut Grove,201,,,,,,,,
MIAGRV201,3,585,130.0,Coconut Grove,201,,,,,,,,
MIAGRV202,0,735,25.0,Coconut Grove,202,,,,,,,,
MIAGRV202,1,980,25.0,Coconut Grove,202,,,,,,,,
MIAGRV202,2,980,210.0,Coconut Grove,202,,,,,,,,
MIAGRV202,3,735,210.0,Coconut Grove,202,,,,,,,,
MIAGRV204,0,980,210.0,Coconut Grove,204,,,,,,,,
MIAGRV204,1,1125,210.0,Coconut Grove,204,,,,,,,,
MIAGRV204,2,1125,25.0,Coconut Grove,204,,,,,,,,
MIAGRV204,3,980,25.0,Coconut Grove,204,,,,,,,,
MIAGRV206,0,1125,25.0,Coconut Grove,205,,,,,,,,
MIAGRV206,1,1270,25.0,Coconut Grove,205,,,,,,,,
MIAGRV206,2,1270,210.0,Coconut Grove,205,,,,,,,,
MIAGRV206,3,1125,210.0,Coconut Grove,205,,,,,,,,
MIAGRV208,0,1270,25.0,Coconut Grove,208,,,,,,,,
MIAGRV208,1,1415,25.0,Coconut Grove,208,,,,,,,,
MIAGRV208,2,1415,210.0,Coconut Grove,208,,,,,,,,
MIAGRV208,3,1270,210.0,Coconut Grove,208,,,,,,,,
MIAGRV209,0,1415,25.0,Coconut Grove,209,,,,,,,,
MIAGRV209,1,1560,25.0,Coconut Grove,209,,,,,,,,
MIAGRV209,2,1560,210.0,Coconut Grove,209,,,,,,,,
MIAGRV209,3,1415,210.0,Coconut Grove,209,,,,,,,,
MIAGRV210,0,1560,25.0,Coconut Grove,210,,,,,,,,
MIAGRV210,1,1705,25.0,Coconut Grove,210,,,,,,,,
MIAGRV210,2,1705,210.0,Coconut Grove,210,,,,,,,,
MIAGRV210,3,1560,210.0,Coconut Grove,210,,,,,,,,
MIAGRV211,0,1705,210.0,Coconut Grove,211,,,,,,,,
MIAGRV211,1,1880,210.0,Coconut Grove,211,,,,,,,,
MIAGRV211,2,1880,55.0,Coconut Grove,211,,,,,,,,
MIAGRV211,3,1705,55.0,Coconut Grove,211,,,,,,,,
MIAGRV212,0,1880,55.0,Coconut Grove,212,,,,,,,,
MIAGRV212,1,2115,55.0,Coconut Grove,212,,,,,,,,
MIAGRV212,2,2115,275.0,Coconut Grove,212,,,,,,,,
MIAGRV212,3,1895,275.0,Coconut Grove,212,,,,,,,,
MIAGRV212,4,1895,210.0,Coconut Grove,212,,,,,,,,
MIAGRV212,5,1880,210.0,Coconut Grove,212,,,,,,,,
MIAGRV213,0,2115,275.0,Coconut Grove,213,,,,,,,,
MIAGRV213,1,2115,425.0,Coconut Grove,213,,,,,,,,
MIAGRV213,2,1895,425.0,Coconut Grove,213,,,,,,,,
MIAGRV213,3,1895,275.0,Coconut Grove,213,,,,,,,,
MIAGRV214,0,2115,425.0,Coconut Grove,214,,,,,,,,
MIAGRV214,1,2115,705.0,Coconut Grove,214,,,,,,,,
MIAGRV214,2,1895,705.0,Coconut Grove,214,,,,,,,,
MIAGRV214,3,1895,425.0,Coconut Grove,214,,,,,,,,
MIAGRV215,0,2115,705.0,Coconut Grove,215,,,,,,,,
MIAGRV215,1,2115,890.0,Coconut Grove,215,,,,,,,,
MIAGRV215,2,1895,890.0,Coconut Grove,215,,,,,,,,
