Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
COLMER901,0,468,761.0,Columbus - 875 N High,,,,,,,,,
COLMER001,0,575.015625,585.5,Columbus - 875 N High,,,,,,,,,
COLMER001,1,672.015625,585.5,Columbus - 875 N High,,,,,,,,,
COLMER001,2,672.015625,604.5,Columbus - 875 N High,,,,,,,,,
COLMER001,3,659.015625,604.5,Columbus - 875 N High,,,,,,,,,
COLMER001,4,659.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER001,5,576.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER002,0,659.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER002,1,744.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER002,2,744.015625,584.5,Columbus - 875 N High,,,,,,,,,
COLMER002,3,672.015625,585.5,Columbus - 875 N High,,,,,,,,,
COLMER002,4,672.015625,604.5,Columbus - 875 N High,,,,,,,,,
COLMER002,5,659.015625,604.5,Columbus - 875 N High,,,,,,,,,
COLMER003,0,744.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER003,1,839.515625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER003,2,841.015625,585.5,Columbus - 875 N High,,,,,,,,,
COLMER003,3,744.015625,584.5,Columbus - 875 N High,,,,,,,,,
COLMER004,0,839.515625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER004,1,935.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER004,2,935.015625,584.5,Columbus - 875 N High,,,,,,,,,
COLMER004,3,841.015625,585.5,Columbus - 875 N High,,,,,,,,,
COLMER005,0,935.015625,584.5,Columbus - 875 N High,,,,,,,,,
COLMER005,1,1054.015625,584.5,Columbus - 875 N High,,,,,,,,,
COLMER005,2,1054.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER005,3,935.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER006,0,1054.015625,584.5,Columbus - 875 N High,,,,,,,,,
COLMER006,1,1148.015625,584.5,Columbus - 875 N High,,,,,,,,,
COLMER006,2,1148.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER006,3,1054.015625,717.5,Columbus - 875 N High,,,,,,,,,
COLMER007,0,1148.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER007,1,1265.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER007,2,1265.015625,586.5,Columbus - 875 N High,,,,,,,,,
COLMER007,3,1148.015625,584.5,Columbus - 875 N High,,,,,,,,,
COLMER008,0,1265.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER008,1,1435.015625,716.5,Columbus - 875 N High,,,,,,,,,
COLMER008,2,1436.015625,585.5,Columbus - 875 N High,,,,,,,,,
COLMER008,3,1265.015625,586.5,Columbus - 875 N High,,,,,,,,,
COLMER009,0,715.015625,923.5,Columbus - 875 N High,,,,,,,,,
COLMER009,1,850.015625,923.5,Columbus - 875 N High,,,,,,,,,
COLMER009,2,850.015625,770.5,Columbus - 875 N High,,,,,,,,,
COLMER009,3,715.015625,769.5,Columbus - 875 N High,,,,,,,,,
COLMER010,0,850.015625,770.5,Columbus - 875 N High,,,,,,,,,
COLMER010,1,938.015625,770.5,Columbus - 875 N High,,,,,,,,,
COLMER010,2,938.015625,924.5,Columbus - 875 N High,,,,,,,,,
COLMER010,3,850.015625,923.5,Columbus - 875 N High,,,,,,,,,
COLMER011,0,938.015625,770.5,Columbus - 875 N High,,,,,,,,,
COLMER011,1,1032.015625,770.5,Columbus - 875 N High,,,,,,,,,
COLMER011,2,1032.015625,903.5,Columbus - 875 N High,,,,,,,,,
COLMER011,3,938.015625,903.5,Columbus - 875 N High,,,,,,,,,
COLMER012,0,1032.015625,770.5,Columbus - 875 N High,,,,,,,,,
COLMER012,1,1128.015625,770.5,Columbus - 875 N High,,,,,,,,,
